D2 geenrated ligands docking res;D2 chembl ligands;dd2 random zinc docking score
-8.693;-9.977;-9.193
-8.635;-9.898;-8.68
-8.478;-9.844;-8.339
-8.422;-9.803;-8.313
-8.253;-9.746;-8.297
-8.236;-9.657;-8.219
-8.156;-9.589;-8.068
-8.132;-9.582;-7.94
-8.104;-9.557;-7.935
-8.046;-9.557;-7.874
-7.937;-9.55;-7.853
-7.893;-9.501;-7.804
-7.864;-9.486;-7.794
-7.847;-9.486;-7.775
-7.839;-9.48;-7.743
-7.804;-9.48;-7.716
-7.781;-9.472;-7.683
-7.734;-9.467;-7.631
-7.717;-9.426;-7.63
-7.693;-9.381;-7.629
-7.679;-9.344;-7.597
-7.661;-9.289;-7.57
-7.645;-9.247;-7.57
-7.635;-9.238;-7.544
-7.635;-9.191;-7.54
-7.634;-9.19;-7.534
-7.632;-9.188;-7.507
-7.631;-9.163;-7.478
-7.612;-9.159;-7.46
-7.61;-9.149;-7.442
-7.553;-9.149;-7.433
-7.531;-9.126;-7.419
-7.529;-9.112;-7.418
-7.511;-9.111;-7.417
-7.508;-9.105;-7.406
-7.478;-9.096;-7.396
-7.478;-9.085;-7.388
-7.47;-9.053;-7.382
-7.469;-9.053;-7.381
-7.464;-9.053;-7.368
-7.457;-9.048;-7.355
-7.451;-8.963;-7.354
-7.45;-8.942;-7.345
-7.433;-8.935;-7.342
-7.428;-8.917;-7.335
-7.416;-8.91;-7.299
-7.413;-8.91;-7.293
-7.407;-8.907;-7.265
-7.406;-8.897;-7.212
-7.396;-8.868;-7.212
-7.385;-8.848;-7.166
-7.385;-8.84;-7.145
-7.383;-8.838;-7.145
-7.381;-8.838;-7.135
-7.376;-8.838;-7.129
-7.374;-8.837;-7.126
-7.36;-8.822;-7.123
-7.356;-8.822;-7.117
-7.352;-8.787;-7.117
-7.351;-8.782;-7.111
-7.345;-8.774;-7.11
-7.343;-8.773;-7.101
-7.342;-8.731;-7.095
-7.319;-8.731;-7.083
-7.319;-8.719;-7.077
-7.299;-8.707;-7.071
-7.299;-8.707;-7.07
-7.298;-8.701;-7.062
-7.293;-8.692;-7.04
-7.289;-8.679;-7.031
