SMILES,fps
O=C/C=C/C=CN(CCCC)CCC1CC1,"[0, 125, 188, 227, 296, 297, 340, 343, 361, 381, 465, 604, 668, 2261, 2974, 2985, 3009, 3024, 3057, 3223, 3368, 3439, 3454, 3639, 3658, 3675, 3691, 3705, 3728, 3732, 3739, 3740, 3749, 3750, 3751, 3772, 3781, 3881, 3883, 3925, 3939, 4079, 4230, 4330]"
CCC1=CC=CC=C1CCCN(CCCC2)CC2CCCCC,"[0, 296, 297, 340, 343, 345, 353, 361, 381, 437, 465, 604, 619, 668, 1565, 1566, 2261, 2974, 3152, 3223, 3368, 3395, 3595, 3639, 3658, 3659, 3681, 3691, 3703, 3705, 3711, 3718, 3721, 3728, 3732, 3739, 3740, 3749, 3750, 3751, 3756, 3772, 3781, 3881, 3883, 3925, 4079]"
C=CC=C(CCCN(CCCC)C=CCCCC)C1C=C1,"[0, 125, 137, 296, 337, 340, 343, 361, 381, 465, 604, 668, 2261, 2974, 2985, 3223, 3368, 3439, 3639, 3658, 3691, 3705, 3711, 3728, 3732, 3739, 3740, 3749, 3750, 3751, 3772, 3781, 3881, 3883, 3925, 3939, 4079, 4230]"
CC=CN=C(CC)CCCCCCCCC1=C=C1,"[125, 296, 340, 343, 345, 346, 347, 465, 668, 2974, 2985, 3012, 3223, 3228, 3439, 3442, 3639, 3691, 3705, 3711, 3718, 3721, 3881, 3906, 4079, 4230]"
FC=CC=C(CCCC(CCCC)CCCCCCCC)CCCCC1CC1,"[0, 125, 227, 296, 297, 340, 343, 345, 346, 347, 348, 349, 353, 361, 381, 465, 668, 2259, 2974, 2985, 3057, 3223, 3368, 3439, 3639, 3658, 3659, 3675, 3691, 3705, 3711, 3718, 3721, 4031]"
C1C=CC=C(CCCC(CCCC)CCCCCCCC)CCCCCC=C1,"[0, 125, 296, 297, 337, 340, 343, 345, 346, 347, 348, 349, 353, 361, 381, 465, 668, 2974, 2985, 3223, 3368, 3439, 3639, 3658, 3659, 3691, 3705, 3711, 3718, 3721]"
OCCNN(CC)CCCCCCCCC=1C=C=1,"[296, 340, 343, 345, 346, 347, 382, 397, 433, 465, 466, 493, 604, 606, 668, 676, 775, 1123, 1147, 2261, 2948, 2974, 2985, 3223, 3439, 3639, 3691, 3705, 3711, 3718, 3721, 3728, 3732, 3739, 3749, 3772, 3781, 3787, 3881, 3925, 3948, 3955, 4079, 4294, 4300, 4330]"
FC1=CC=CN=C1CCCC(CCCC)C2=CC2,"[0, 296, 297, 340, 343, 361, 381, 465, 668, 1633, 2259, 2974, 2985, 3223, 3368, 3439, 3607, 3639, 3658, 3659, 3691, 3705, 3711, 3718, 3721, 4031]"
C1=CC=C(CCCCCCCCC(C)CC2CC2)CCCC=C1,"[0, 13, 125, 227, 296, 297, 298, 337, 340, 343, 345, 346, 347, 668, 2974, 2985, 3057, 3223, 3368, 3439, 3639, 3658, 3659, 3675, 3691, 3705, 3711, 3718, 3721]"
CCN=C=C(CCCCCCCCCCC=1)C=C=1,"[296, 340, 343, 345, 346, 347, 465, 668, 2974, 2985, 3012, 3223, 3439, 3639, 3691, 3705, 3711, 3718, 3721, 3749, 3767, 3881, 3906, 4079]"
