KEYS,5ht1a,5ht7,beta2,d2,h1,SMARTS
KLEK_1,1145,578,385,3636,548,[!#1][CH]([!#1])[!#1]
KLEK_2,126,75,25,499,55,[!#1][CH]([!#1])[CH]([!#1])[!#1]
KLEK_3,0,0,0,0,0,[!#1][CH]([!#1])[CH]([!#1])C([CH3])([CH3])[CH3]
KLEK_4,0,0,0,0,0,[!#1][CH]([!#1])[CH](C(=O)O[CH3])C(=O)O[CH3]
KLEK_5,0,0,0,0,0,[!#1][CH]([!#1])[CH]1[CH2][CH]([CH]([!#1])[!#1])[CH]([CH]1C(=O)[!#1])C(=O)[OH]
KLEK_6,0,0,0,0,0,[!#1][CH]([!#1])[CH2][CH]([CH]([CH2][CH]([!#1])[!#1])C(=O)[!#1])C(=O)[!#1]
KLEK_7,1,3,6,10,1,[!#1][CH]([!#1])[CH2][CH2][CH3]
KLEK_8,1,0,0,2,2,[!#1][CH]([!#1])[CH2][CH2]C([!#1])([!#1])[CH3]
KLEK_9,0,0,0,0,0,[!#1][CH]([!#1])[CH2]C(=N[NH]C(=S)[NH2])[CH2][CH3]
KLEK_10,29,11,1,155,11,[!#1][CH]([!#1])[CH2]C(=O)[!#1]
KLEK_11,0,0,0,0,0,[!#1][CH]([!#1])[CH2]C(=O)[CH2][CH3]
KLEK_12,0,0,0,0,0,[!#1][CH]([!#1])[CH2]C(=O)[CH3]
KLEK_13,1,0,0,19,0,[!#1][CH]([!#1])[CH2]N([!#1])[CH2][CH]([!#1])[!#1]
KLEK_14,180,133,155,459,140,[!#1][CH]([!#1])[CH3]
KLEK_15,0,0,0,0,0,[!#1][CH]([!#1])[N+](=O)[O-]
KLEK_16,39,37,11,614,47,[!#1][CH]([!#1])[NH]C(=O)[!#1]
KLEK_17,145,55,324,241,26,[!#1][CH]([!#1])[OH]
KLEK_18,25,24,7,55,19,[!#1][CH]([!#1])C([!#1])([!#1])[!#1]
KLEK_19,1,0,0,11,1,[!#1][CH]([!#1])C([!#1])([CH3])[CH3]
KLEK_20,84,69,16,248,131,[!#1][CH]([!#1])C(=O)[!#1]
KLEK_21,1,0,0,0,1,[!#1][CH]([!#1])C(=O)[CH]([!#1])[!#1]
KLEK_22,0,0,0,0,0,[!#1][CH]([!#1])C(=O)[CH2]C([CH3])([CH3])[CH2]C([!#1])([!#1])[!#1]
KLEK_23,0,0,0,0,0,[!#1][CH]([!#1])C(=O)[CH3]
KLEK_24,0,0,0,0,0,[!#1][CH]([!#1])C(=O)[NH][NH]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2][CH3]
KLEK_25,4,0,6,8,22,[!#1][CH]([!#1])C(=O)[OH]
KLEK_26,0,0,1,0,0,[!#1][CH]([!#1])C(=O)c1[cH][cH][cH][cH][cH]1
KLEK_27,2,2,0,23,62,[!#1][CH]([!#1])C(=O)c1[cH][cH]c([!#1])[cH][cH]1
KLEK_28,0,0,0,0,0,[!#1][CH]([!#1])C(=O)c1[cH][cH]c(Cl)[cH][cH]1
KLEK_29,0,0,0,0,0,[!#1][CH]([!#1])C(=O)c1c([CH3])[cH]c([CH3])[nH]c1=O
KLEK_30,0,0,0,0,0,[!#1][CH]([!#1])C(=O)c1c([CH3])[nH]c2[cH][cH][cH][cH]c12
KLEK_31,0,0,0,0,0,[!#1][CH]([!#1])C(=O)c1c([OH])[cH]c([CH3])oc1=O
KLEK_32,0,0,0,0,0,[!#1][CH]([!#1])C(=O)O[CH2][CH2]N([CH2][CH3])[CH2][CH3]
KLEK_33,49,28,2,192,46,[!#1][CH]([!#1])c1[cH][cH][cH][cH][cH]1
KLEK_34,73,25,7,166,15,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1[!#1]
KLEK_35,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1[N+](=O)[O-]
KLEK_36,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1[OH]
KLEK_37,0,0,1,1,0,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1Cl
KLEK_38,0,0,0,0,1,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1F
KLEK_39,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1N([!#1])c2[cH][cH][cH][cH]c2[CH]([!#1])[!#1]
KLEK_40,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]
KLEK_41,0,0,0,1,0,[!#1][CH]([!#1])c1[cH][cH][cH]c(Br)[cH]1
KLEK_42,0,0,2,0,3,[!#1][CH]([!#1])c1[cH][cH][cH]n[cH]1
KLEK_43,4,4,2,1,1,[!#1][CH]([!#1])c1[cH][cH][cH]o1
KLEK_44,2,0,0,0,1,[!#1][CH]([!#1])c1[cH][cH][cH]s1
KLEK_45,28,27,10,223,22,[!#1][CH]([!#1])c1[cH][cH]c([!#1])[cH][cH]1
KLEK_46,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH]c([!#1])o1
KLEK_47,0,0,0,0,1,[!#1][CH]([!#1])c1[cH][cH]c([cH][cH]1)[CH]([!#1])[!#1]
KLEK_48,1,0,0,0,1,[!#1][CH]([!#1])c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]
KLEK_49,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH]c([cH][cH]1)N([!#1])[CH3]
KLEK_50,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH]c([CH3])[cH]c1[CH3]
KLEK_51,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH]c([CH3])o1
KLEK_52,4,4,1,3,0,[!#1][CH]([!#1])c1[cH][cH]c([OH])[cH][cH]1
KLEK_53,0,0,0,4,2,[!#1][CH]([!#1])c1[cH][cH]c(Br)[cH][cH]1
KLEK_54,6,3,4,25,5,[!#1][CH]([!#1])c1[cH][cH]c(Cl)[cH][cH]1
KLEK_55,0,0,0,2,0,[!#1][CH]([!#1])c1[cH][cH]c(Cl)[cH]c1Cl
KLEK_56,6,12,2,45,6,[!#1][CH]([!#1])c1[cH][cH]c(F)[cH][cH]1
KLEK_57,1,1,0,0,0,[!#1][CH]([!#1])c1[cH][cH]c2O[CH2]Oc2[cH]1
KLEK_58,0,0,0,0,2,[!#1][CH]([!#1])c1[cH][cH]n[cH][cH]1
KLEK_59,9,13,0,11,0,[!#1][CH]([!#1])c1[cH][nH]c2[cH][cH][cH][cH]c12
KLEK_60,0,0,0,0,0,[!#1][CH]([!#1])c1[cH]c([!#1])nn1[!#1]
KLEK_61,0,0,0,0,0,[!#1][CH]([!#1])c1[cH]c([cH][cH]c1[OH])[N+](=O)[O-]
KLEK_62,0,0,0,0,0,[!#1][CH]([!#1])c1[cH]c(Br)[cH]c(Br)c1[OH]
KLEK_63,0,0,0,0,0,[!#1][CH]([!#1])C1=C([OH])[CH2]C([CH3])([CH3])[CH2]C1=O
KLEK_64,0,0,0,0,0,[!#1][CH]([!#1])c1c([OH])[cH][cH]c2[cH][cH][cH][cH]c12
KLEK_65,0,0,0,0,0,[!#1][CH]([!#1])c1c2[cH][cH][cH][cH]c2[cH]c3[cH][cH][cH][cH]c13
KLEK_66,0,0,0,0,0,[!#1][CH]([!#1])c1sc2[cH][cH][cH][cH]c2[n+]1[CH2][CH2][CH2]S(=O)(=O)[OH]
KLEK_67,103,43,8,215,19,[!#1][CH]([!#1])N([!#1])[CH3]
KLEK_68,0,1,0,12,0,[!#1][CH]([!#1])N([!#1])c1[cH][cH][cH][cH][cH]1
KLEK_69,21,15,0,11,2,[!#1][CH]([!#1])N([CH3])[CH3]
KLEK_70,0,2,0,0,0,[!#1][CH]([!#1])N1[CH2][CH2]O[CH2][CH2]1
KLEK_71,0,0,0,0,1,[!#1][CH]([!#1])O[CH2][CH2]N([CH3])[CH3]
KLEK_72,3,6,1,12,1,[!#1][CH]([!#1])OC(=O)[!#1]
KLEK_73,1,4,0,22,1,[!#1][CH]([!#1])S(=O)(=O)[!#1]
KLEK_74,0,0,1,0,0,[!#1][CH]([CH]([CH3])[CH3])C(=O)[OH]
KLEK_75,0,0,0,0,0,[!#1][CH]([CH]=[CH]c1[cH][cH]c(Cl)[cH]c1Cl)C([CH3])([CH3])[CH3]
KLEK_76,0,0,0,0,0,[!#1][CH]([CH2][CH2]C(=O)[OH])C(=O)[OH]
KLEK_77,0,0,0,0,0,[!#1][CH]([CH2][CH2]S[CH3])C(=O)[OH]
KLEK_78,0,0,0,0,0,[!#1][CH]([CH2][N+](=O)[O-])SC(=O)[CH3]
KLEK_79,0,0,0,0,0,[!#1][CH]([CH2]C(=N[NH]C(=O)[!#1])[!#1])C(=O)[OH]
KLEK_80,0,0,0,0,0,[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH][cH][cH][cH]1
KLEK_81,0,0,0,0,0,[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH][cH]c([CH3])[cH]1
KLEK_82,0,0,0,0,0,[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH][cH]c(Br)[cH]1
KLEK_83,0,0,0,0,0,[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH][cH]c(Cl)[cH]1
KLEK_84,0,0,0,0,0,[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]
KLEK_85,0,0,0,0,0,[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH]c([cH][cH]1)C(=O)[OH]
KLEK_86,0,0,0,0,0,[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH]c(Br)[cH][cH]1
KLEK_87,0,0,0,0,0,[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH]c(Cl)[cH][cH]1
KLEK_88,0,0,0,0,0,[!#1][CH]([CH2]C(=O)[NH2])C(=O)[OH]
KLEK_89,0,0,0,0,0,[!#1][CH]([CH2]C(=O)[OH])[NH]C(=O)C(F)(F)F
KLEK_90,0,0,0,2,0,[!#1][CH]([CH2]C(=O)[OH])C(=O)[OH]
KLEK_91,1,3,1,8,0,[!#1][CH]([CH3])[CH2][CH3]
KLEK_92,78,35,36,158,44,[!#1][CH]([CH3])[CH3]
KLEK_93,4,0,0,21,18,[!#1][CH]([CH3])[NH]C(=O)[!#1]
KLEK_94,0,0,0,0,0,[!#1][CH]([CH3])[NH]C(=O)[NH][CH2]C(=O)O[CH2][CH3]
KLEK_95,0,0,0,1,2,[!#1][CH]([CH3])[NH]C(=S)[!#1]
KLEK_96,0,0,0,0,0,[!#1][CH]([CH3])[NH]C(=S)[NH]C([!#1])([!#1])[!#1]
KLEK_97,0,0,2,0,0,[!#1][CH]([CH3])[NH]S(=O)(=O)[!#1]
KLEK_98,2,2,0,28,13,[!#1][CH]([CH3])C(=O)[!#1]
KLEK_99,0,0,0,0,0,[!#1][CH]([CH3])C(=O)[OH]
KLEK_100,0,0,0,0,0,[!#1][CH]([CH3])C(=O)O[CH2]C(=O)[!#1]
KLEK_101,5,6,0,11,8,[!#1][CH]([CH3])c1[cH][cH][cH][cH][cH]1
KLEK_102,5,0,2,75,9,[!#1][CH]([CH3])N([!#1])C(=O)[!#1]
KLEK_103,0,0,0,0,0,[!#1][CH]([NH]C(=O)[!#1])[NH]C(=O)[!#1]
KLEK_104,0,0,3,3,0,[!#1][CH]([NH]C(=O)[!#1])C(=O)[OH]
KLEK_105,0,0,0,0,0,[!#1][CH]([NH]C(=O)[!#1])C(Br)(Br)Br
KLEK_106,0,0,0,0,0,[!#1][CH]([NH]C(=O)[!#1])C(Cl)(Cl)Cl
KLEK_107,0,0,0,0,0,[!#1][CH]([NH]C(=O)[CH2][CH2][CH2][CH2][CH3])C(Cl)(Cl)Cl
KLEK_108,0,0,0,0,0,[!#1][CH]([NH]S(=O)(=O)[!#1])C(Cl)(Cl)Cl
KLEK_109,0,0,0,0,3,[!#1][CH]([NH2])[CH2][CH3]
KLEK_110,0,0,0,0,0,[!#1][CH]([NH2])[CH2]C(=O)[OH]
KLEK_111,0,0,0,1,1,[!#1][CH]([NH2])C(=O)[OH]
KLEK_112,0,0,0,0,0,[!#1][CH]([OH])[CH]([NH2])[CH2][OH]
KLEK_113,0,0,0,0,7,[!#1][CH]([OH])[CH2][NH]C(=O)[!#1]
KLEK_114,0,0,23,1,0,[!#1][CH]([OH])[CH2][NH2]
KLEK_115,0,0,0,0,0,[!#1][CH]([OH])[CH2][OH]
KLEK_116,0,0,0,0,0,[!#1][CH]([OH])C(=N[NH]C(=O)[!#1])[!#1]
KLEK_117,0,0,0,0,0,[!#1][CH]([OH])C(Cl)(Cl)Cl
KLEK_118,0,0,0,7,0,[!#1][CH]([OH])C(F)(F)F
KLEK_119,8,1,0,2,1,[!#1][CH]([OH])c1[cH][cH][cH][cH][cH]1
KLEK_120,0,0,0,0,0,[!#1][CH](C(=O)[CH3])C(=O)[CH3]
KLEK_121,0,0,0,0,0,[!#1][CH](C(=O)O[CH2][CH3])C(=O)O[CH2][CH3]
KLEK_122,0,0,0,0,0,[!#1][CH](C(=O)O[CH3])C(=O)O[CH3]
KLEK_123,0,0,0,0,0,[!#1][CH](F)C(F)(F)F
KLEK_124,0,0,0,0,0,[!#1][CH](F)OC(F)(F)F
KLEK_125,0,0,0,0,0,[!#1][CH](OC(=O)[CH3])OC(=O)[CH3]
KLEK_126,41,22,3,166,18,[!#1][CH]=[CH][!#1]
KLEK_127,0,0,0,0,0,[!#1][CH]=[CH][CH]([!#1])C([CH3])([CH3])[CH3]
KLEK_128,0,0,0,0,0,[!#1][CH]=[CH][CH]=C1SC(=S)N([!#1])C1=O
KLEK_129,0,0,0,0,0,[!#1][CH]=[CH][CH]=N[!#1]
KLEK_130,0,0,0,0,0,[!#1][CH]=[CH][CH]=N[NH]C(=O)[!#1]
KLEK_131,0,0,0,0,0,[!#1][CH]=[CH]C(=N[NH]C(=O)[!#1])[!#1]
KLEK_132,0,0,0,0,0,[!#1][CH]=[CH]C(=N[NH]C(=O)[!#1])[CH3]
KLEK_133,24,12,2,72,11,[!#1][CH]=[CH]C(=O)[!#1]
KLEK_134,0,0,0,0,0,[!#1][CH]=[CH]C(=O)[NH][NH]C(=O)[!#1]
KLEK_135,0,0,0,0,0,[!#1][CH]=[CH]C(=O)[NH]C(=S)[!#1]
KLEK_136,13,7,1,11,7,[!#1][CH]=[CH]C(=O)[OH]
KLEK_137,0,0,0,0,0,[!#1][CH]=[CH]N([!#1])[CH3]
KLEK_138,61,11,8,51,15,[!#1][CH]=[CH2]
KLEK_139,1,1,0,0,0,[!#1][CH]=C([NH]C(=O)[!#1])C(=O)[!#1]
KLEK_140,0,0,0,0,0,[!#1][CH]=C([NH]C(=O)[!#1])C(=O)[NH][CH2][CH2][CH2]N([CH3])[CH3]
KLEK_141,0,0,0,15,0,[!#1][CH]=C(C#N)C#N
KLEK_142,0,0,0,0,0,[!#1][CH]=C(C#N)C(=O)[NH2]
KLEK_143,0,0,0,0,0,[!#1][CH]=C(C#N)C(=O)O[CH2][CH3]
KLEK_144,0,0,0,0,0,[!#1][CH]=C(Cl)Cl
KLEK_145,0,0,0,0,0,[!#1][CH]=C1[CH2]N([!#1])[CH2]C(=[CH][!#1])C1=O
KLEK_146,0,0,0,0,0,[!#1][CH]=c1[nH]c(=O)c(=[CH][!#1])[nH]c1=O
KLEK_147,0,0,0,0,0,[!#1][CH]=C1C(=NN(C1=O)c2[cH][cH]c([!#1])[cH][cH]2)[!#1]
KLEK_148,0,0,0,0,0,[!#1][CH]=C1C(=O)[NH]C(=O)[NH]C1=O
KLEK_149,0,0,0,0,0,[!#1][CH]=C1C(=O)[NH]C(=O)N([!#1])C1=O
KLEK_150,0,0,0,0,0,[!#1][CH]=C1C(=O)[NH]C(=O)N(C1=O)c2[cH][cH][cH]c3[cH][cH][cH][cH]c23
KLEK_151,0,0,0,0,0,[!#1][CH]=C1C(=O)c2[cH][cH][cH][cH]c2C1=O
