SMILES,Ki,fps
NCCCNCCSP(O)(O)=O,,"[296, 340, 343, 362, 365, 382, 396, 457, 466, 475, 492, 664, 676, 768, 1145, 1147, 2854, 2948, 2974, 3223, 3639, 3739, 3749, 3772, 3781, 3808, 3881, 3925, 4018, 4079, 4295, 4330, 4842]"
CCc1cc2CC(Cc2cc1CC)NC[C@H](O)c1ccc(O)c2NC(=O)CCc12,45.0,"[0, 16, 296, 297, 299, 340, 400, 402, 465, 466, 503, 505, 668, 676, 677, 757, 838, 1147, 1192, 1645, 1930, 2948, 2974, 3024, 3176, 3223, 3294, 3401, 3429, 3454, 3527, 3528, 3559, 3560, 3573, 3586, 3589, 3590, 3595, 3601, 3639, 3646, 3670, 3680, 3681, 3703, 3739, 3749, 3772, 3781, 3785, 3787, 3881, 3925, 3936, 3942, 3947, 3955, 4079, 4236, 4267, 4294, 4330, 4520, 4768, 4812]"
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,570.0,"[0, 16, 296, 297, 299, 466, 476, 668, 676, 757, 820, 821, 825, 828, 1145, 1147, 1153, 1155, 1159, 1172, 1931, 1988, 2258, 2948, 2974, 3223, 3352, 3368, 3401, 3429, 3549, 3584, 3639, 3681, 3749, 3772, 3781, 3785, 3787, 3820, 3865, 3868, 3881, 3925, 3935, 3936, 3947, 3955, 4079, 4266, 4294, 4330, 4812]"
NC(=O)C([C@@H]1CCN(CCc2ccc3OCCc3c2)C1)(c1ccccc1)c1ccccc1,15.9,"[0, 17, 296, 297, 340, 437, 443, 604, 619, 646, 1145, 1153, 1157, 1192, 1404, 1563, 1644, 2261, 2546, 2711, 2974, 2978, 3024, 3155, 3223, 3294, 3368, 3381, 3384, 3389, 3395, 3454, 3553, 3559, 3573, 3605, 3639, 3646, 3658, 3659, 3670, 3680, 3681, 3691, 3692, 3700, 3703, 3705, 3706, 3708, 3709, 3728, 3732, 3739, 3740, 3749, 3750, 3751, 3756, 3772, 3781, 3787, 3881, 3883, 3913, 3925, 3955, 3999, 4079, 4236, 4330, 4469, 4515, 4819]"
CC(C(O)=O)c1cccc(c1)C(=O)c1ccccc1,,"[0, 13, 19, 24, 97, 98, 668, 1147, 1192, 1405, 1425, 1437, 1563, 1590, 2948, 2974, 2978, 3024, 3223, 3327, 3381, 3454, 3573, 3578, 3639, 3653, 3670, 3681, 3743, 3787, 3955, 4330, 4335, 4515, 4658, 4694, 4819]"
C(Cc1ccccc1)N1CCCC1,,"[296, 340, 343, 412, 437, 565, 604, 619, 1563, 2261, 2413, 2974, 3155, 3223, 3639, 3681, 3691, 3732, 3739, 3740, 3749, 3750, 3751, 3756, 3772, 3781, 3881, 3883, 3913, 3925, 4079]"
Nc1ccc(cc1)S(=O)(=O)NC(=O)c1ccccc1,,"[676, 838, 1138, 1143, 1144, 1145, 1192, 1403, 1425, 1563, 1641, 1723, 1766, 2780, 2854, 2885, 2974, 3024, 3881, 3954, 4079, 4236, 4245, 4246, 4286, 4319, 4325, 4327, 4328, 4330, 4580, 4590, 4842, 4852]"
COC(=O)Nc1nc2cc(ccc2[nH]1)[S+]([O-])c1ccccc1,,"[668, 676, 838, 923, 931, 1146, 1192, 1523, 1563, 1644, 2148, 2199, 2546, 2666, 2672, 2854, 2884, 2974, 3024, 3033, 3205, 3881, 3955, 3956, 3967, 3970, 4079, 4204, 4236, 4330, 4694, 4842, 4852]"
COc1ccc2c3CCNCc3[nH]c2c1,10000.0,"[296, 340, 382, 466, 475, 668, 676, 1644, 2036, 2546, 2666, 2974, 3053, 3065, 3077, 3223, 3477, 3489, 3522, 3563, 3674, 3749, 3772, 3881, 3925, 3955, 3999, 4079, 4330]"
COc1cc(CCNCCc2ccc(O)c(O)c2)ccc1OCCCc1ccccc1,53.0,"[296, 340, 343, 374, 382, 412, 413, 443, 466, 475, 565, 592, 646, 668, 676, 781, 1147, 1563, 1644, 1652, 1770, 1772, 2546, 2666, 2711, 2713, 2948, 2974, 3223, 3558, 3559, 3590, 3639, 3679, 3680, 3681, 3703, 3743, 3749, 3772, 3781, 3787, 3881, 3925, 3955, 3999, 4004, 4005, 4079, 4330, 4769]"
