"SMILES", "Ki"
"Oc1ccc(cc1)-c1ccc(CNCCc2c[nH]c3cc(F)ccc23)o1","2730.0"
"O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(CC1)c1nsc2ccccc12","0.5"
"CNCc1cc2OCOc2c(c1)-c1ccccc1OC","1476.0"
"O=C1NCN(c2ccccc2)C11CCN(CCCCc2nc3ccccc3o2)CC1","1584.89"
"Cl.Fc1ccc2CC(CCN3CCc4ccccc4C3)Cc2c1","86.0"
"O=C(CCCN1CCc2ccccc2C1)c1ccc(cc1)C#N","755.0"
"Cc1cc(-c2ccc3CCN(CCCSc4nnc(-c5cccc6nc(C)ccc56)n4C)CCc3c2)n(C)n1","1995.26"
"CCn1cncc1-c1c[nH]c2ccc(Br)cc12","20.0"
"Clc1ccccc1-c1c2CCCCn2c(=O)n(CCCCN2CCCC(C2)c2c[nH]c3ccccc23)c1=O","1361.0"
"CCn1cncc1-c1c[nH]c2ccc(Cl)c(F)c12","53.0"
"COc1ccccc1-c1cc(CN2CCC(C)CC2)cc2OCOc12","691.0"
"Fc1ccc(cc1)S(=O)(=O)NCC1CCN(CCOc2ccccc2-c2ccccc2)CC1","13.0"
"O=C(CCOCCN1CCN(CC1)c1ccccc1-c1ccccc1)NCc1ccc(cc1)C#N","16.0"
"O=C(CCCN1CCc2ccccc2C1)c1ccc2NC(=O)Cc2c1","127.0"
"Cl.O=C1C(CCN2CCc3ccccc3C2)Cc2ccccc12","265.0"
"CC(=O)c1ccccc1N1CCN(CCCCC23CCCc4cccc(NC2=O)c34)CC1","7.943"
"O=S(=O)(NCCCCN1CCc2ccccc2C1)c1ccc2ncccc2c1","224.0"
"C[C@H](Nc1ccnc(NCCc2ccccc2)c1)c1ccccc1","0.3"
"C1Cc2[nH]nc(c2CCN1)-c1ccccc1","322.0"
"O=C1Nc2cccc3CCCC1(CCCCN1CCc4c(C1)[nH]c1ccccc41)c23","5.754"
"CNc1ccccc1C1=N[C@@H](CO)[C@H](C)S1","10000.0"
"Cl.Cl.Cl.Clc1cccc(c1)N1CCN(CCCCn2cnc3c4ccccc4ncc3c2=O)CC1","184.0"
"COc1c(OCCF)cccc1C(=O)C1CCN(CCc2ccc(cc2)[N+]([O-])=O)CC1","6241.0"
"C[C@H](Nc1nc(F)nc(NCCOc2ccccc2)n1)c1ccccc1","10.0"
"COc1ccc2[nH]c(c(CCN(C)C)c2c1)-c1ccccc1","155.0"
"NC(=O)Cn1c2CN(CCCCC34CCCc5cccc(NC3=O)c45)CCc2c2ccccc12","8.71"
"Cl.CC1(NC(=O)N(CC(O)CN2CCN(CC2)c2ccccc2C#N)C1=O)c1ccc(Cl)cc1","9.0"
"CCOc1ccccc1N1CCN(CCCCCCN2C(=O)c3cccc4cccc2c34)CC1","84.0"
"CC(NCCC(c1ccco1)c1ccc(C)cc1)c1ccc(Cl)cc1","8400.0"
"Cl.COc1cc2CCN(CCCCc3nc4cc(Cl)ccc4s3)Cc2cc1OC","67.0"
