SMILES,Ki,Klek
NCCCNCCSP(O)(O)=O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658965E0>
CCc1cc2CC(Cc2cc1CC)NC[C@H](O)c1ccc(O)c2NC(=O)CCc12,45.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896590>
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,570.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65833F90>
NC(=O)C([C@@H]1CCN(CCc2ccc3OCCc3c2)C1)(c1ccccc1)c1ccccc1,15.9,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658966D0>
CC(C(O)=O)c1cccc(c1)C(=O)c1ccccc1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658024A0>
C(Cc1ccccc1)N1CCCC1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896540>
Nc1ccc(cc1)S(=O)(=O)NC(=O)c1ccccc1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896680>
COC(=O)Nc1nc2cc(ccc2[nH]1)[S+]([O-])c1ccccc1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896770>
COc1ccc2c3CCNCc3[nH]c2c1,10000.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896720>
COc1cc(CCNCCc2ccc(O)c(O)c2)ccc1OCCCc1ccccc1,53.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658964F0>
CC[C@H](Cc1ccc(O)cc1)NC[C@H](O)c1cc(O)cc(O)c1,1270.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658967C0>
C\\C(\\C=C\\C1=C(C)CCCC1(C)C)=C/C=C/C(C)=CC(O)=O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896810>
Oc1ccc(OCc2ccccc2)cc1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896860>
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658968B0>
CCCC[C@H](C)NC[C@@H](O)c1cc(O)cc(O)c1,56234.13,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896900>
CCCCN1CCC(COC(=O)c2cc(Cl)c(N)c3OCCOc23)CC1,1000.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896950>
Cc1nccn1CC1CCc2c(C1=O)c1ccccc1n2C,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658969A0>
COc1cc(cc(OC)c1OC)[C@H]1[C@@H]2[C@H](COC2=O)[C@@H](O)c2cc3OCOc3cc12,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658969F0>
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896A40>
CCCOc1ccccc1-c1nc2[nH]nnc2c(=O)[nH]1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896A90>
COc1ccccc1OCCNC[C@@H](O)Cc1ccc(O)c(O)c1,740.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896AE0>
Cl.NCC1CC1c1cc(F)c(F)cc1OCC=C,807.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896B30>
CC1Nc2cc(Cl)c(cc2C(=O)N1c1ccccc1C)S(N)(=O)=O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896B80>
COC(=O)COc1ccc(C[C@@H](C)NC[C@H](O)c2cccc(Cl)c2)cc1,3.2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896BD0>
CN1CCN(CC1)C(c1ccccc1)c1ccccc1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896C20>
C(N1CCCC1)c1ccccc1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896C70>
Cn1c2nc[nH]c2c(=O)n(C)c1=O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896CC0>
COc1ccc(cc1)[C@@H](Cc1ccccc1)NC[C@H](O)Cc1ccc(O)c(NS(C)(=O)=O)c1,3100.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896D10>
CS(=O)(=O)Nc1ccc(cc1Oc1ccccc1)[N+]([O-])=O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896D60>
CN(C)C=O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896DB0>
COc1ccc2n(C)cc(CCN)c2c1,20400.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896E00>
C\\C1=C/CC[C@@]2(C)O[C@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B65896E50>
