Key,Difference
SubFP214,-6.3872
SubFP171,-5.7393
SubFP180,-5.4707
SubFP1,-4.4867
SubFP287,-3.4606
SubFP143,-2.7372
SubFP5,-2.5735
SubFP292,-2.3896
SubFP182,-2.1843
SubFP181,-1.9293
SubFP151,-1.8274
SubFP303,-1.6892
SubFP28,-1.5655
SubFP294,-1.3816
SubFP200,-1.3467
SubFP49,-1.1509
SubFP21,-1.1353
SubFP9,-0.9295
SubFP15,-0.916
SubFP109,-0.8682
SubFP298,-0.8028
SubFP296,-0.8028
SubFP299,-0.755
SubFP297,-0.755
SubFP188,-0.7357
SubFP96,-0.7196
SubFP13,-0.7082
SubFP16,-0.6713
SubFP173,-0.6308
SubFP4,-0.6059
SubFP6,-0.4723
SubFP170,-0.4583
SubFP174,-0.3876
SubFP275,-0.3356
SubFP136,-0.2868
SubFP74,-0.2754
SubFP288,-0.2624
SubFP210,-0.2052
SubFP169,-0.2032
SubFP127,-0.1912
SubFP150,-0.1912
SubFP8,-0.1912
SubFP133,-0.1808
SubFP55,-0.1574
SubFP281,-0.1574
SubFP274,-0.1522
SubFP72,-0.1434
SubFP286,-0.1434
SubFP285,-0.1434
SubFP282,-0.1434
SubFP76,-0.1096
SubFP201,-0.1039
SubFP41,-0.0956
SubFP283,-0.0956
SubFP85,-0.0779
SubFP62,-0.0618
SubFP196,-0.0618
SubFP276,-0.0478
SubFP48,-0.0478
SubFP198,-0.0478
SubFP39,-0.0421
SubFP52,-0.0281
SubFP293,-0.0281
SubFP53,-0.0281
SubFP295,0.0
SubFP307,0.0
SubFP54,0.0197
SubFP209,0.0338
SubFP60,0.0395
SubFP37,0.0452
SubFP301,0.0478
SubFP300,0.0478
SubFP224,0.0592
SubFP65,0.0675
SubFP155,0.0675
SubFP78,0.0675
SubFP66,0.0675
SubFP17,0.0847
SubFP147,0.092
SubFP212,0.093
SubFP20,0.094
SubFP38,0.094
SubFP175,0.1013
SubFP190,0.1351
SubFP100,0.2748
SubFP139,0.3014
SubFP19,0.3299
SubFP11,0.3377
SubFP153,0.3751
SubFP84,0.5133
SubFP86,0.5274
SubFP12,0.6359
SubFP103,0.8957
SubFP184,1.0519
SubFP279,1.0568
SubFP280,1.0568
SubFP126,1.2413
SubFP63,1.2449
SubFP56,1.3571
SubFP302,1.5374
SubFP172,1.6355
SubFP99,2.0253
SubFP14,2.218
SubFP40,2.349
SubFP135,2.4503
SubFP101,4.5629
SubFP32,4.6517
SubFP183,4.7821
SubFP23,4.8368
SubFP26,5.0088
SubFP137,5.764
SubFP179,5.8451
SubFP3,6.0457
SubFP88,11.1764
SubFP18,11.38
SubFP2,11.5129
SubFP33,12.5039
