Key,Difference
SubFP292,-8.1293
SubFP135,-7.4341
SubFP137,-7.1162
SubFP180,-4.9503
SubFP287,-4.8071
SubFP184,-4.7707
SubFP28,-3.5003
SubFP18,-3.4741
SubFP101,-3.375
SubFP49,-3.0525
SubFP143,-3.0357
SubFP88,-2.971
SubFP147,-2.8568
SubFP12,-2.2492
SubFP32,-2.088
SubFP100,-2.0643
SubFP9,-1.9663
SubFP294,-1.8249
SubFP85,-1.3293
SubFP103,-1.3148
SubFP298,-1.2619
SubFP296,-1.2619
SubFP120,-1.2355
SubFP15,-1.2157
SubFP297,-1.1892
SubFP299,-1.1892
SubFP188,-1.1787
SubFP200,-0.9422
SubFP109,-0.8219
SubFP74,-0.7267
SubFP275,-0.6882
SubFP19,-0.6752
SubFP181,-0.618
SubFP99,-0.6106
SubFP126,-0.5814
SubFP13,-0.551
SubFP173,-0.5379
SubFP6,-0.514
SubFP279,-0.4942
SubFP280,-0.4942
SubFP63,-0.4572
SubFP38,-0.4441
SubFP20,-0.4441
SubFP52,-0.436
SubFP59,-0.436
SubFP14,-0.4151
SubFP303,-0.3714
SubFP96,-0.3649
SubFP17,-0.2233
SubFP55,-0.218
SubFP37,-0.1506
SubFP41,-0.1453
SubFP127,-0.1453
SubFP293,-0.1453
SubFP150,-0.0833
SubFP48,-0.078
SubFP8,-0.0727
SubFP281,-0.0727
SubFP27,-0.0727
SubFP78,-0.0727
SubFP212,-0.0727
SubFP35,-0.0727
SubFP136,-0.0727
SubFP170,-0.0727
SubFP1,-0.0494
SubFP84,-0.049
SubFP274,-0.0357
SubFP139,-0.0159
SubFP11,-0.0053
SubFP295,0.0
SubFP307,0.0
SubFP174,0.0198
SubFP62,0.0515
SubFP65,0.0674
SubFP149,0.0674
SubFP66,0.0674
SubFP300,0.0727
SubFP301,0.0727
SubFP86,0.1348
SubFP201,0.1348
SubFP209,0.1348
SubFP153,0.3567
SubFP40,0.3698
SubFP151,0.4517
SubFP133,0.5787
SubFP288,0.5787
SubFP169,0.6366
SubFP21,0.6884
SubFP183,1.0631
SubFP16,1.0648
SubFP302,1.1299
SubFP182,1.8786
SubFP171,2.1552
SubFP179,2.181
SubFP3,2.4725
SubFP5,3.0519
SubFP172,4.7518
SubFP33,5.0206
SubFP2,6.2733
SubFP214,6.6635
SubFP4,6.8784
SubFP23,10.3006
SubFP26,11.1648
