Key,Difference
KRFP1926,-20.1316
KRFP1975,-19.7766
KRFP3520,-19.3853
KRFP4752,-18.5298
KRFP1642,-17.4218
KRFP299,-14.7126
KRFP669,-11.123
KRFP3821,-10.6347
KRFP582,-10.5552
KRFP3591,-9.7421
KRFP1146,-7.786
KRFP1645,-7.4371
KRFP4032,-6.9393
KRFP2260,-6.9393
KRFP3703,-6.6248
KRFP4328,-6.4624
KRFP4320,-6.4624
KRFP4329,-6.4624
KRFP2781,-6.2058
KRFP4294,-5.9364
KRFP3892,-5.7397
KRFP2259,-5.5686
KRFP1771,-5.4507
KRFP494,-5.0681
KRFP114,-5.0661
KRFP3869,-4.9078
KRFP3430,-4.8876
KRFP1406,-4.8094
KRFP1769,-4.7731
KRFP4067,-4.6383
KRFP1724,-4.6256
KRFP3402,-4.571
KRFP382,-4.5164
KRFP3179,-4.4673
KRFP2711,-4.3258
KRFP1653,-4.2962
KRFP2886,-4.2342
KRFP3921,-4.0267
KRFP4326,-4.0139
KRFP4591,-3.9284
KRFP1139,-3.9048
KRFP1145,-3.9048
KRFP1144,-3.9048
KRFP4813,-3.8974
KRFP1773,-3.8556
KRFP3574,-3.8213
KRFP2264,-3.7209
KRFP1811,-3.6973
KRFP2428,-3.6717
KRFP608,-3.537
KRFP3600,-3.5242
KRFP3200,-3.4879
KRFP3781,-3.4791
KRFP1141,-3.4515
KRFP14,-3.4252
KRFP4021,-3.3659
KRFP1452,-3.3168
KRFP2265,-3.2204
KRFP4053,-3.2184
KRFP1536,-3.2184
KRFP810,-3.1329
KRFP3942,-3.015
KRFP3554,-3.0002
KRFP3328,-2.9746
KRFP548,-2.9126
KRFP683,-2.8607
KRFP610,-2.8163
KRFP493,-2.8163
KRFP3163,-2.7779
KRFP3585,-2.656
KRFP578,-2.6432
KRFP704,-2.6432
KRFP3654,-2.6068
KRFP1616,-2.4721
KRFP3763,-2.4485
KRFP3928,-2.4485
KRFP2796,-2.4485
KRFP2815,-2.4229
KRFP1725,-2.4229
KRFP4023,-2.4121
KRFP3937,-2.4047
KRFP362,-2.3502
KRFP3919,-2.3374
KRFP4734,-2.3374
KRFP4286,-2.3374
KRFP435,-2.301
KRFP4193,-2.2154
KRFP3985,-2.2026
KRFP3543,-2.2026
KRFP3542,-2.2026
KRFP3662,-2.1663
KRFP1154,-2.1447
KRFP2876,-2.1427
KRFP3546,-2.1171
KRFP3404,-2.0807
KRFP3764,-2.0316
KRFP3933,-1.9952
KRFP20,-1.9952
KRFP3648,-1.9096
KRFP2721,-1.8968
KRFP3955,-1.8968
KRFP3775,-1.8733
KRFP4717,-1.8113
KRFP3779,-1.7749
KRFP2729,-1.7621
KRFP2014,-1.7621
KRFP4725,-1.7621
KRFP3785,-1.7621
KRFP4046,-1.7621
KRFP1767,-1.7621
KRFP4197,-1.6766
KRFP1786,-1.6766
KRFP3787,-1.6766
KRFP592,-1.6678
KRFP3550,-1.655
KRFP466,-1.6314
KRFP3895,-1.5419
KRFP4243,-1.5419
KRFP679,-1.5419
KRFP829,-1.5183
KRFP3661,-1.5136
KRFP302,-1.5055
KRFP3159,-1.5055
KRFP4291,-1.4563
KRFP2435,-1.3216
KRFP3625,-1.3216
KRFP354,-1.3216
