Key,Difference
KRFP3369,-10.4503
KRFP3058,-9.4503
KRFP3659,-8.1943
KRFP2218,-7.7624
KRFP1,-7.6491
KRFP4019,-7.4566
KRFP3660,-6.9478
KRFP1564,-6.9351
KRFP458,-6.9268
KRFP669,-6.8409
KRFP665,-6.7538
KRFP3396,-6.5573
KRFP3809,-6.4527
KRFP381,-6.3769
KRFP1642,-6.07
KRFP1154,-5.9572
KRFP4053,-5.4393
KRFP1536,-5.4393
KRFP298,-4.8169
KRFP4250,-4.5269
KRFP2438,-4.3145
KRFP4287,-4.1245
KRFP3062,-3.5915
KRFP3195,-3.4697
KRFP4046,-3.2728
KRFP3847,-3.2073
KRFP3917,-3.2073
KRFP3786,-3.0525
KRFP3336,-2.8853
KRFP3957,-2.8035
KRFP45,-2.7916
KRFP3789,-2.7483
KRFP3657,-2.7426
KRFP1156,-2.7405
KRFP3399,-2.7342
KRFP3529,-2.7318
KRFP2440,-2.7062
KRFP642,-2.6906
KRFP3682,-2.5949
KRFP1591,-2.5306
KRFP2855,-2.4964
KRFP3538,-2.4781
KRFP3395,-2.4396
KRFP3596,-2.3515
KRFP428,-2.252
KRFP33,-2.2176
KRFP2977,-2.2144
KRFP1153,-2.2144
KRFP300,-2.2093
KRFP476,-2.133
KRFP4843,-2.114
KRFP3379,-2.0906
KRFP4113,-2.0874
KRFP3157,-2.0267
KRFP3349,-2.0145
KRFP2263,-1.9977
KRFP3676,-1.9958
KRFP3191,-1.9656
KRFP4081,-1.9124
KRFP17,-1.9082
KRFP3402,-1.9056
KRFP3404,-1.9033
KRFP4295,-1.8793
KRFP3180,-1.8603
KRFP3435,-1.8561
KRFP3948,-1.8481
KRFP1931,-1.8434
KRFP2711,-1.8216
KRFP2703,-1.8134
KRFP3730,-1.809
KRFP3759,-1.7864
KRFP3772,-1.7437
KRFP3710,-1.7337
KRFP1160,-1.7301
KRFP331,-1.7281
KRFP3949,-1.7259
KRFP2979,-1.7122
KRFP3717,-1.6954
KRFP3922,-1.6801
KRFP3081,-1.6767
KRFP4552,-1.6745
KRFP4301,-1.6644
KRFP3467,-1.6583
KRFP588,-1.6125
KRFP2564,-1.5821
KRFP2950,-1.5686
KRFP1621,-1.5666
KRFP3568,-1.5406
KRFP1150,-1.5311
KRFP326,-1.5281
KRFP3593,-1.5098
KRFP1786,-1.5047
KRFP2969,-1.4822
KRFP3200,-1.4363
KRFP4489,-1.4302
KRFP4516,-1.429
KRFP4820,-1.4145
KRFP435,-1.4118
KRFP566,-1.4015
KRFP430,-1.3427
KRFP2766,-1.3208
KRFP1173,-1.3082
KRFP3907,-1.274
KRFP4264,-1.2712
KRFP437,-1.2707
KRFP1811,-1.2541
KRFP3617,-1.2427
KRFP3894,-1.2238
KRFP4537,-1.2229
KRFP3760,-1.2197
KRFP3415,-1.1871
KRFP2434,-1.1842
KRFP3727,-1.1623
KRFP3758,-1.153
KRFP3893,-1.1416
KRFP3753,-1.1416
KRFP3222,-1.1291
KRFP4318,-1.1207
KRFP1947,-1.1052
KRFP1407,-1.0968
KRFP3564,-1.0945
KRFP4709,-1.0864
KRFP3610,-1.0812
KRFP640,-1.0749
KRFP2151,-1.0749
KRFP4197,-1.0656
KRFP3360,-1.052
KRFP2885,-1.0489
KRFP3382,-1.0372
KRFP3540,-1.0363
KRFP3573,-1.0281
KRFP1124,-1.0249
KRFP4313,-1.0167
KRFP3722,-0.9847
KRFP4317,-0.9832
KRFP2005,-0.9781
KRFP4023,-0.9726
KRFP3381,-0.9625
KRFP3643,-0.95
KRFP3268,-0.95
KRFP1438,-0.9426
KRFP3523,-0.9384
KRFP4020,-0.9364
KRFP3768,-0.9302
KRFP1948,-0.9271
KRFP2820,-0.9197
KRFP232,-0.9096
KRFP3150,-0.9054
KRFP413,-0.8968
KRFP201,-0.8832
KRFP4065,-0.875
KRFP3549,-0.8719
KRFP3160,-0.8719
KRFP223,-0.8718
KRFP1799,-0.8604
KRFP4156,-0.8582
KRFP2264,-0.8542
KRFP4486,-0.8468
KRFP3010,-0.8332
KRFP3888,-0.8259
KRFP3665,-0.8249
KRFP3775,-0.824
KRFP3625,-0.8218
KRFP3600,-0.802
KRFP577,-0.7989
KRFP1933,-0.7957
KRFP3375,-0.785
KRFP3050,-0.7811
KRFP3914,-0.7805
KRFP2267,-0.7768
KRFP4810,-0.774
KRFP4842,-0.7729
KRFP3937,-0.7642
KRFP102,-0.7614
KRFP2548,-0.7589
KRFP4602,-0.7531
KRFP2773,-0.7531
KRFP3916,-0.7479
KRFP3550,-0.7403
KRFP2,-0.7401
KRFP1474,-0.7333
KRFP4827,-0.7291
KRFP3207,-0.7281
KRFP3905,-0.7198
KRFP1583,-0.7125
KRFP4022,-0.7104
KRFP4523,-0.7093
KRFP4823,-0.701
KRFP2419,-0.6927
KRFP1776,-0.6906
KRFP1654,-0.6884
KRFP591,-0.6875
KRFP3609,-0.6791
KRFP4755,-0.6771
KRFP4539,-0.6739
KRFP822,-0.6729
KRFP1999,-0.6687
KRFP4736,-0.6677
KRFP3590,-0.6488
KRFP4225,-0.6417
KRFP1311,-0.626
KRFP3887,-0.6248
KRFP4061,-0.6177
KRFP3918,-0.6177
KRFP4288,-0.6176
KRFP2968,-0.6094
KRFP992,-0.6052
KRFP3630,-0.6041
KRFP4051,-0.6031
KRFP2884,-0.6031
KRFP4050,-0.6031
KRFP2819,-0.6031
KRFP433,-0.6008
KRFP4269,-0.6
KRFP3013,-0.5996
KRFP1939,-0.5989
KRFP1151,-0.5979
KRFP3339,-0.5958
KRFP3121,-0.5802
KRFP3293,-0.5708
KRFP608,-0.57
KRFP1634,-0.5687
KRFP3443,-0.5635
KRFP2155,-0.5625
KRFP3944,-0.5625
