Key,Difference
SubFP49,-16.386
SubFP1,-13.8036
SubFP181,-10.7548
SubFP143,-10.6353
SubFP101,-10.0636
SubFP38,-9.3124
SubFP20,-9.3124
SubFP18,-9.3082
SubFP182,-8.9927
SubFP184,-8.9336
SubFP137,-8.8778
SubFP32,-6.9382
SubFP279,-6.7372
SubFP280,-6.7372
SubFP28,-6.0292
SubFP151,-5.8105
SubFP133,-5.0799
SubFP153,-4.7739
SubFP2,-4.2406
SubFP292,-4.1796
SubFP288,-3.7765
SubFP96,-3.5656
SubFP9,-3.3264
SubFP179,-2.9685
SubFP294,-2.942
SubFP302,-2.388
SubFP183,-1.9867
SubFP173,-1.622
SubFP15,-1.521
SubFP63,-1.0493
SubFP103,-0.7345
SubFP59,-0.7345
SubFP139,-0.5639
SubFP54,-0.3148
SubFP62,-0.3148
SubFP55,-0.2579
SubFP299,-0.2491
SubFP298,-0.2491
SubFP297,-0.2491
SubFP99,-0.2491
SubFP85,-0.2491
SubFP296,-0.2491
SubFP33,-0.247
SubFP200,-0.1745
SubFP188,-0.153
SubFP147,-0.153
SubFP273,-0.1049
SubFP246,-0.1049
SubFP174,-0.1049
SubFP41,-0.1049
SubFP237,-0.1049
SubFP105,-0.1049
SubFP210,-0.1049
SubFP86,-0.1049
SubFP281,-0.1049
SubFP149,-0.1049
SubFP120,-0.1049
SubFP53,-0.1049
SubFP295,0.0
SubFP307,0.0
SubFP169,0.0088
SubFP126,0.0569
SubFP150,0.0569
SubFP209,0.0569
SubFP196,0.0569
SubFP293,0.1618
SubFP35,0.1618
SubFP27,0.1618
SubFP154,0.1618
SubFP301,0.2099
SubFP300,0.2099
SubFP74,0.2187
SubFP214,0.3246
SubFP6,0.7394
SubFP275,0.7423
SubFP37,1.1896
SubFP17,1.1896
SubFP303,1.2033
SubFP13,1.2161
SubFP125,1.4436
SubFP180,1.7045
SubFP19,1.7495
SubFP76,1.8456
SubFP100,1.8996
SubFP12,3.0019
SubFP172,3.0255
SubFP4,3.0931
SubFP3,3.4278
SubFP274,3.7775
SubFP135,3.9855
SubFP14,4.1728
SubFP40,4.2778
SubFP109,4.4346
SubFP21,4.9289
SubFP287,5.864
SubFP84,7.9789
SubFP16,8.1966
SubFP23,11.4875
SubFP88,11.5145
SubFP26,12.0602
SubFP5,12.5096
SubFP171,19.8462
