Key,Frequency
KRFP4080,100.0
KRFP2975,100.0
KRFP3882,99.7439
KRFP297,98.8476
KRFP3224,98.7196
KRFP3750,98.5915
KRFP4331,95.3905
KRFP3926,95.0064
KRFP3773,93.9821
KRFP3956,90.525
KRFP1,90.1408
KRFP3782,89.7567
KRFP298,89.3726
KRFP3788,86.2996
KRFP2949,85.5314
KRFP1148,85.5314
KRFP677,85.4033
KRFP4295,83.7388
KRFP3640,82.0743
KRFP3948,80.5378
KRFP17,80.5378
KRFP467,80.4097
KRFP300,79.5134
KRFP3786,78.233
KRFP3682,75.4161
KRFP669,72.2151
KRFP758,71.5749
KRFP341,62.9962
KRFP3740,61.2036
KRFP2547,60.6914
KRFP4000,55.5698
KRFP3402,54.0333
KRFP3560,53.137
KRFP4813,52.1127
KRFP3937,51.8566
KRFP678,51.3444
KRFP3681,50.1921
KRFP3430,49.936
KRFP3591,43.2778
KRFP3704,43.0218
KRFP647,42.8937
KRFP3744,39.8207
KRFP3692,39.4366
KRFP3025,37.644
KRFP1193,35.8515
KRFP3408,35.3393
KRFP1642,33.6748
KRFP3946,33.0346
KRFP3434,33.0346
KRFP14,32.2663
KRFP3733,32.1383
KRFP4237,32.1383
KRFP383,30.8579
KRFP4293,30.4738
KRFP3706,30.2177
KRFP1645,29.7055
KRFP4829,28.6812
KRFP326,28.5531
KRFP2262,27.7849
KRFP3729,27.7849
KRFP683,27.6569
KRFP3436,27.1447
KRFP2564,27.0166
KRFP4284,26.7606
KRFP3947,26.7606
KRFP476,26.3764
KRFP336,25.9923
KRFP1564,25.4802
KRFP3784,25.4802
KRFP3943,25.3521
KRFP582,25.096
KRFP605,24.5839
KRFP3661,23.8156
KRFP1566,23.6876
KRFP327,23.5595
KRFP839,23.4315
KRFP3587,22.6633
KRFP344,22.5352
KRFP2667,21.895
KRFP4268,21.6389
KRFP761,20.9987
KRFP3455,19.9744
KRFP3606,19.7183
KRFP3369,19.4622
KRFP4752,19.3342
KRFP2711,19.3342
KRFP3157,19.0781
KRFP299,18.9501
KRFP3884,18.5659
KRFP3751,17.9257
KRFP2855,17.6697
KRFP4843,17.6697
KRFP1771,17.5416
KRFP3752,17.4136
KRFP1646,17.2855
KRFP4287,17.1575
KRFP4769,17.1575
KRFP3590,17.1575
KRFP1926,16.9014
KRFP3520,16.7734
KRFP3703,16.3892
KRFP3406,16.3892
KRFP1975,16.3892
KRFP444,16.1332
KRFP232,15.8771
KRFP3295,14.8528
KRFP4019,14.5967
KRFP4770,14.5967
KRFP3741,14.5967
KRFP3942,14.5967
KRFP3757,14.4686
KRFP1592,13.9565
KRFP3671,13.9565
KRFP3659,13.7004
KRFP3058,13.7004
KRFP1146,13.7004
KRFP3596,13.3163
KRFP620,12.6761
KRFP3710,12.548
KRFP92,12.42
KRFP3781,12.42
KRFP438,12.2919
KRFP3680,12.2919
KRFP3559,12.2919
KRFP3660,11.7798
KRFP3712,11.7798
KRFP466,11.6517
KRFP3574,11.3956
KRFP566,11.2676
KRFP3561,11.1396
KRFP3647,11.0115
KRFP592,10.7554
KRFP3602,10.7554
KRFP2695,10.3713
KRFP4853,10.3713
KRFP1154,10.1152
KRFP3957,9.9872
KRFP3396,9.9872
KRFP3789,9.7311
