Key,Frequency
SubFP307,100.0
SubFP295,100.0
SubFP301,99.8684
SubFP300,99.8684
SubFP274,99.6053
SubFP302,99.4737
SubFP12,81.3158
SubFP40,81.0526
SubFP14,80.7895
SubFP2,78.2895
SubFP169,55.5263
SubFP18,54.3421
SubFP275,54.2105
SubFP1,53.0263
SubFP287,27.8947
SubFP88,27.3684
SubFP184,25.7895
SubFP23,19.7368
SubFP137,17.3684
SubFP26,16.7105
SubFP3,15.2632
SubFP181,14.7368
SubFP143,14.2105
SubFP183,10.9211
SubFP96,10.0
SubFP170,9.0789
SubFP13,7.8947
SubFP179,7.8947
SubFP214,7.5
SubFP100,7.3684
SubFP16,5.9211
SubFP171,5.0
SubFP5,4.7368
SubFP172,4.3421
SubFP33,4.0789
SubFP84,4.0789
SubFP182,3.8158
SubFP180,3.8158
SubFP135,3.5526
SubFP28,3.1579
SubFP9,3.0263
SubFP103,3.0263
SubFP153,2.8947
SubFP292,2.3684
SubFP294,2.2368
SubFP4,1.9737
SubFP49,1.9737
SubFP101,1.7105
SubFP32,1.7105
SubFP99,1.5789
SubFP39,1.5789
SubFP298,1.5789
SubFP224,1.5789
SubFP296,1.5789
SubFP85,1.4474
SubFP174,1.3158
SubFP297,1.1842
SubFP299,1.1842
SubFP173,1.0526
SubFP17,0.9211
SubFP37,0.9211
SubFP303,0.7895
SubFP63,0.7895
SubFP62,0.6579
SubFP210,0.6579
SubFP133,0.6579
SubFP38,0.5263
SubFP273,0.5263
SubFP288,0.5263
SubFP20,0.5263
SubFP76,0.3947
SubFP200,0.3947
SubFP279,0.3947
SubFP280,0.3947
SubFP15,0.3947
SubFP235,0.2632
SubFP6,0.2632
SubFP19,0.2632
SubFP151,0.2632
SubFP35,0.2632
SubFP53,0.2632
SubFP155,0.2632
SubFP136,0.2632
SubFP212,0.2632
SubFP27,0.2632
SubFP21,0.2632
SubFP41,0.1316
SubFP291,0.1316
SubFP56,0.1316
SubFP65,0.1316
SubFP66,0.1316
SubFP74,0.1316
SubFP109,0.1316
SubFP125,0.1316
SubFP230,0.1316
SubFP139,0.1316
SubFP229,0.1316
SubFP286,0.1316
SubFP285,0.1316
SubFP283,0.1316
SubFP282,0.1316
SubFP281,0.1316
SubFP150,0.1316
SubFP276,0.1316
SubFP188,0.1316
SubFP250,0.1316
SubFP247,0.1316
SubFP147,0.1316
