Key,Frequency
SubFP307,100.0
SubFP295,100.0
SubFP301,99.9688
SubFP300,99.9688
SubFP274,98.2117
SubFP302,97.7958
SubFP275,95.5084
SubFP23,90.2163
SubFP26,89.3949
SubFP2,85.5687
SubFP287,48.3261
SubFP88,45.4668
SubFP184,42.0254
SubFP1,37.1803
SubFP18,35.7871
SubFP33,33.4893
SubFP137,30.5573
SubFP3,28.9561
SubFP181,26.0345
SubFP100,25.1716
SubFP171,24.7037
SubFP180,17.8519
SubFP172,15.4398
SubFP169,10.5115
SubFP182,9.7422
SubFP135,9.3055
SubFP9,8.744
SubFP96,8.692
SubFP183,8.6089
SubFP214,8.5569
SubFP179,8.4737
SubFP143,8.141
SubFP12,7.4652
SubFP5,6.9557
SubFP38,6.5918
SubFP20,6.5918
SubFP294,6.2903
SubFP4,6.2903
SubFP16,6.2487
SubFP49,5.9472
SubFP288,4.9698
SubFP292,4.3044
SubFP280,4.0029
SubFP279,4.0029
SubFP133,3.4519
SubFP32,3.3999
SubFP15,3.3999
SubFP14,3.2023
SubFP101,3.088
SubFP109,2.7449
SubFP84,2.5785
SubFP173,2.5473
SubFP28,2.4121
SubFP303,2.329
SubFP6,1.9443
SubFP126,1.9131
SubFP40,1.8819
SubFP200,1.7883
SubFP170,1.7051
SubFP147,1.6428
SubFP85,1.4036
SubFP99,1.2892
SubFP103,1.2165
SubFP298,1.2061
SubFP296,1.2061
SubFP297,1.1749
SubFP299,1.1749
SubFP153,1.0709
SubFP13,1.0709
SubFP127,1.0605
SubFP151,1.0397
SubFP174,1.0189
SubFP17,0.915
SubFP21,0.8942
SubFP139,0.7902
SubFP37,0.7486
SubFP212,0.707
SubFP155,0.6654
SubFP74,0.6446
SubFP48,0.6134
SubFP188,0.603
SubFP63,0.5095
SubFP136,0.4887
SubFP62,0.4575
SubFP55,0.4263
SubFP201,0.4159
SubFP86,0.4055
SubFP19,0.3951
SubFP54,0.3951
SubFP150,0.3327
SubFP52,0.3327
SubFP128,0.2807
SubFP224,0.2079
SubFP120,0.1664
SubFP262,0.156
SubFP76,0.1456
SubFP129,0.1248
SubFP39,0.1248
SubFP71,0.1144
SubFP66,0.104
SubFP209,0.104
SubFP65,0.104
SubFP24,0.0936
SubFP281,0.0936
SubFP125,0.0832
SubFP41,0.0728
SubFP196,0.0624
SubFP8,0.0624
SubFP210,0.0416
SubFP59,0.0416
SubFP25,0.0416
SubFP286,0.0416
SubFP285,0.0416
SubFP283,0.0416
SubFP282,0.0416
SubFP149,0.0416
SubFP35,0.0416
SubFP293,0.0312
SubFP265,0.0312
SubFP10,0.0312
SubFP278,0.0208
SubFP264,0.0208
SubFP72,0.0208
SubFP27,0.0208
SubFP34,0.0208
SubFP197,0.0208
SubFP190,0.0208
SubFP78,0.0104
SubFP284,0.0104
SubFP36,0.0104
SubFP56,0.0104
SubFP44,0.0104
SubFP273,0.0104
SubFP57,0.0104
SubFP105,0.0104
SubFP175,0.0104
SubFP53,0.0104
SubFP154,0.0104
