Key,Frequency
SubFP307,100.0
SubFP295,100.0
SubFP301,99.8727
SubFP300,99.8727
SubFP302,98.536
SubFP274,97.7085
SubFP275,95.9898
SubFP2,87.5239
SubFP23,83.3227
SubFP26,82.8135
SubFP287,49.8409
SubFP18,39.4653
SubFP1,38.9561
SubFP88,36.219
SubFP184,33.7365
SubFP3,31.254
SubFP137,29.9809
SubFP181,25.7798
SubFP171,25.0159
SubFP172,14.8313
SubFP143,14.704
SubFP180,13.3673
SubFP49,13.1763
SubFP5,12.4761
SubFP183,11.0757
SubFP84,10.6938
SubFP101,10.3119
SubFP96,9.93
SubFP182,8.5296
SubFP33,8.4023
SubFP12,8.2113
SubFP135,7.1292
SubFP16,7.0019
SubFP100,6.9383
SubFP38,6.62
SubFP20,6.62
SubFP288,6.1744
SubFP4,5.7288
SubFP32,5.6652
SubFP133,5.3469
SubFP279,5.2196
SubFP280,5.2196
SubFP9,5.0923
SubFP153,4.8377
SubFP14,4.2648
SubFP40,4.2011
SubFP214,4.0102
SubFP151,4.0102
SubFP28,3.8192
SubFP294,3.5646
SubFP292,3.1827
SubFP303,2.9917
SubFP15,2.8644
SubFP21,2.6735
SubFP179,2.6098
SubFP109,2.1642
SubFP125,2.0369
SubFP6,1.655
SubFP19,1.5277
SubFP13,1.5277
SubFP200,1.4004
SubFP173,1.1458
SubFP76,1.1458
SubFP139,0.8275
SubFP298,0.6365
SubFP299,0.6365
SubFP85,0.6365
SubFP297,0.6365
SubFP296,0.6365
SubFP63,0.6365
SubFP99,0.6365
SubFP17,0.5729
SubFP37,0.5729
SubFP59,0.4456
SubFP103,0.4456
SubFP55,0.3183
SubFP169,0.3183
SubFP188,0.2546
SubFP147,0.2546
SubFP62,0.191
SubFP74,0.191
SubFP54,0.191
SubFP196,0.1273
SubFP209,0.1273
SubFP150,0.1273
SubFP126,0.1273
SubFP174,0.0637
SubFP41,0.0637
SubFP35,0.0637
SubFP27,0.0637
SubFP53,0.0637
SubFP105,0.0637
SubFP293,0.0637
SubFP86,0.0637
SubFP281,0.0637
SubFP120,0.0637
SubFP273,0.0637
SubFP246,0.0637
SubFP237,0.0637
SubFP154,0.0637
SubFP210,0.0637
SubFP149,0.0637
