Key,Difference
KRFP1642,-13.1956
KRFP3415,-8.5008
KRFP4287,-7.951
KRFP2855,-7.8621
KRFP4843,-7.8012
KRFP3821,-7.6397
KRFP2781,-7.3016
KRFP4853,-7.2707
KRFP4591,-6.9384
KRFP1564,-6.2188
KRFP435,-6.0118
KRFP608,-5.7424
KRFP2264,-5.7086
KRFP2259,-5.5265
KRFP3869,-5.2426
KRFP3382,-4.804
KRFP2981,-4.6707
KRFP2711,-4.5736
KRFP232,-4.1767
KRFP638,-4.1252
KRFP669,-4.1039
KRFP4516,-4.061
KRFP1798,-3.8265
KRFP1786,-3.696
KRFP1156,-3.6809
KRFP3559,-3.6364
KRFP3680,-3.6205
KRFP2438,-3.5476
KRFP433,-3.4578
KRFP2986,-3.4445
KRFP3407,-3.3401
KRFP1811,-3.1283
KRFP3440,-3.1231
KRFP428,-3.0726
KRFP566,-3.0721
KRFP3013,-3.0704
KRFP2885,-3.0537
KRFP1144,-3.031
KRFP1145,-3.031
KRFP1139,-3.031
KRFP4250,-3.0042
KRFP2820,-2.9363
KRFP4320,-2.8983
KRFP4329,-2.8983
KRFP4328,-2.8983
KRFP3081,-2.5669
KRFP4326,-2.5329
KRFP582,-2.4744
KRFP466,-2.4139
KRFP67,-2.345
KRFP3897,-2.2779
KRFP2419,-2.119
KRFP4254,-2.0815
KRFP2444,-2.0784
KRFP1606,-2.0263
KRFP3349,-2.0233
KRFP3895,-2.01
KRFP4291,-2.0028
KRFP2886,-1.9994
KRFP3399,-1.9738
KRFP821,-1.9676
KRFP1933,-1.9623
KRFP3761,-1.9623
KRFP3888,-1.9337
KRFP4122,-1.9314
KRFP2306,-1.8625
KRFP1793,-1.8511
KRFP2263,-1.8449
KRFP678,-1.8229
KRFP1407,-1.8171
KRFP822,-1.7937
KRFP577,-1.735
KRFP4387,-1.7275
KRFP3010,-1.7177
KRFP823,-1.7094
KRFP629,-1.6997
KRFP3610,-1.6877
KRFP483,-1.6515
KRFP1154,-1.6018
KRFP4046,-1.6012
KRFP1311,-1.5844
KRFP3682,-1.5641
KRFP2703,-1.557
KRFP3743,-1.5523
KRFP3847,-1.5522
KRFP3917,-1.5522
KRFP4197,-1.5459
KRFP3159,-1.5155
KRFP3779,-1.4791
KRFP1724,-1.4785
KRFP442,-1.4776
KRFP362,-1.4701
KRFP1160,-1.4431
KRFP4053,-1.4237
KRFP1536,-1.4237
KRFP648,-1.4153
KRFP1931,-1.3989
KRFP34,-1.3981
KRFP3949,-1.3725
KRFP4301,-1.3649
KRFP642,-1.358
KRFP4285,-1.3564
KRFP2440,-1.3248
KRFP3082,-1.316
KRFP3945,-1.3127
KRFP4288,-1.3023
KRFP3955,-1.3011
KRFP92,-1.2965
KRFP3787,-1.2777
KRFP3887,-1.2465
KRFP4193,-1.2429
KRFP4735,-1.2277
KRFP3933,-1.212
KRFP430,-1.1999
KRFP3550,-1.1861
KRFP126,-1.1796
KRFP2407,-1.1584
KRFP4826,-1.142
KRFP3767,-1.093
KRFP4259,-1.0628
KRFP1616,-1.0352
KRFP4810,-1.0185
