Key,Difference
MACCSFP80,-14.0298
MACCSFP106,-10.8289
MACCSFP102,-8.9304
MACCSFP64,-8.8279
MACCSFP149,-8.8036
MACCSFP59,-8.7003
MACCSFP112,-8.3843
MACCSFP103,-7.8432
MACCSFP130,-7.8327
MACCSFP16,-7.7122
MACCSFP51,-7.6347
MACCSFP61,-7.6014
MACCSFP73,-7.5623
MACCSFP60,-7.5029
MACCSFP55,-7.5029
MACCSFP58,-7.3827
MACCSFP136,-7.1749
MACCSFP124,-7.1019
MACCSFP134,-6.4035
MACCSFP116,-6.2927
MACCSFP94,-6.1796
MACCSFP107,-5.1107
MACCSFP67,-5.0682
MACCSFP74,-4.7171
MACCSFP115,-4.2128
MACCSFP87,-4.1494
MACCSFP141,-3.9305
MACCSFP160,-3.7316
MACCSFP32,-3.697
MACCSFP33,-3.5435
MACCSFP119,-3.5388
MACCSFP88,-3.4072
MACCSFP69,-3.3474
MACCSFP99,-3.3442
MACCSFP81,-3.1699
MACCSFP93,-3.1471
MACCSFP25,-3.0724
MACCSFP78,-3.0104
MACCSFP53,-2.8234
MACCSFP19,-2.7944
MACCSFP114,-2.3286
MACCSFP52,-2.0804
MACCSFP150,-2.0307
MACCSFP166,-1.6674
MACCSFP108,-1.5541
MACCSFP76,-1.5446
MACCSFP71,-1.4738
MACCSFP66,-1.4307
MACCSFP37,-1.2575
MACCSFP77,-0.9477
MACCSFP45,-0.7978
MACCSFP34,-0.7571
MACCSFP49,-0.7513
MACCSFP47,-0.7091
MACCSFP24,-0.6862
MACCSFP63,-0.6616
MACCSFP70,-0.6557
MACCSFP56,-0.595
MACCSFP46,-0.5282
MACCSFP28,-0.5183
MACCSFP50,-0.4745
MACCSFP17,-0.4561
MACCSFP148,-0.4507
MACCSFP121,-0.4501
MACCSFP40,-0.2027
MACCSFP43,-0.1733
MACCSFP162,-0.155
MACCSFP3,-0.1057
MACCSFP41,-0.1054
MACCSFP39,-0.1042
MACCSFP48,-0.0709
MACCSFP125,-0.0464
MACCSFP30,-0.0463
MACCSFP14,-0.0391
MACCSFP165,-0.0333
MACCSFP13,-0.0261
MACCSFP27,-0.0013
MACCSFP22,0.0
MACCSFP35,0.0333
MACCSFP163,0.0594
MACCSFP146,0.1202
MACCSFP84,0.1416
MACCSFP137,0.1557
MACCSFP89,0.2442
MACCSFP122,0.2965
MACCSFP26,0.3071
MACCSFP42,0.742
MACCSFP75,0.7705
MACCSFP161,0.7878
MACCSFP8,0.84
MACCSFP139,0.8727
MACCSFP83,0.8925
MACCSFP23,0.9053
MACCSFP142,0.9622
MACCSFP11,1.3644
MACCSFP54,1.3998
MACCSFP158,1.8536
MACCSFP85,1.9762
MACCSFP156,2.0102
MACCSFP140,2.7157
MACCSFP123,2.7598
MACCSFP97,3.1366
MACCSFP38,3.2546
MACCSFP65,3.2645
MACCSFP96,3.3319
MACCSFP98,3.4372
MACCSFP145,3.9963
MACCSFP153,4.5353
MACCSFP79,4.8324
MACCSFP126,5.0831
MACCSFP36,5.1659
MACCSFP164,5.4163
MACCSFP117,5.4312
MACCSFP127,5.4378
MACCSFP143,5.4378
MACCSFP159,5.4616
MACCSFP104,5.522
MACCSFP132,5.5388
MACCSFP82,5.5637
MACCSFP100,5.7068
MACCSFP147,5.9962
MACCSFP118,6.0093
MACCSFP152,6.0774
MACCSFP131,6.2378
MACCSFP135,6.3847
MACCSFP144,6.6464
MACCSFP111,6.7784
MACCSFP90,6.817
MACCSFP133,6.8724
MACCSFP86,7.3103
MACCSFP151,7.5084
MACCSFP157,7.9525
MACCSFP155,8.2673
MACCSFP129,8.6259
MACCSFP105,9.1792
MACCSFP62,9.5432
MACCSFP120,9.9966
MACCSFP128,10.0433
MACCSFP57,10.1274
MACCSFP138,10.1404
MACCSFP92,10.8891
MACCSFP72,11.5405
MACCSFP109,11.8441
MACCSFP154,12.1677
MACCSFP110,12.2481
MACCSFP95,12.8071
MACCSFP113,13.1138
MACCSFP91,13.3309
