Key,Difference
KRFP3956,-5.8247
KRFP3942,-5.2725
KRFP3821,-5.0091
KRFP3744,-4.8927
KRFP2265,-4.7501
KRFP3550,-4.6786
KRFP3025,-4.6478
KRFP435,-4.5803
KRFP1193,-4.5744
KRFP401,-4.5027
KRFP3781,-4.2424
KRFP504,-4.1564
KRFP476,-4.1261
KRFP368,-4.0923
KRFP3662,-3.999
KRFP1146,-3.971
KRFP3737,-3.9689
KRFP3139,-3.9059
KRFP2547,-3.8723
KRFP1642,-3.8195
KRFP2264,-3.8028
KRFP669,-3.6616
KRFP2885,-3.6465
KRFP2820,-3.5767
KRFP3889,-3.5731
KRFP608,-3.5695
KRFP2444,-3.5178
KRFP4193,-3.2559
KRFP3591,-3.1606
KRFP3933,-3.1091
KRFP1564,-3.0035
KRFP3404,-2.9398
KRFP3399,-2.8903
KRFP610,-2.8519
KRFP2512,-2.8205
KRFP3296,-2.7544
KRFP3730,-2.7502
KRFP2667,-2.7436
KRFP4000,-2.7349
KRFP3742,-2.6936
KRFP3726,-2.5148
KRFP4254,-2.4607
KRFP3013,-2.4222
KRFP2438,-2.3826
KRFP3768,-2.3799
KRFP3619,-2.3794
KRFP2068,-2.3685
KRFP3788,-2.3672
KRFP1623,-2.3247
KRFP2,-2.3091
KRFP4291,-2.2321
KRFP3887,-2.2206
KRFP3606,-2.2014
KRFP4813,-2.1914
KRFP2014,-2.1633
KRFP1452,-2.1555
KRFP347,-2.1483
KRFP1148,-2.1296
KRFP2949,-2.1296
KRFP4770,-2.1034
KRFP1263,-2.042
KRFP4005,-2.0336
KRFP4264,-2.0274
KRFP4006,-2.0191
KRFP4286,-1.9701
KRFP2151,-1.9461
KRFP2155,-1.9316
KRFP3200,-1.9092
KRFP3560,-1.8675
KRFP4279,-1.8654
KRFP3944,-1.8654
KRFP3215,-1.8654
KRFP3610,-1.8217
KRFP3177,-1.816
KRFP1536,-1.7805
KRFP4053,-1.7805
KRFP3592,-1.7738
KRFP3735,-1.7733
KRFP3897,-1.7727
KRFP3150,-1.766
KRFP1427,-1.7655
KRFP3779,-1.7577
KRFP3888,-1.7404
KRFP566,-1.7399
KRFP2712,-1.7144
KRFP2194,-1.7076
KRFP382,-1.7035
KRFP1786,-1.6988
KRFP3049,-1.667
KRFP3630,-1.6561
KRFP3353,-1.6488
KRFP4197,-1.5889
KRFP3907,-1.5712
KRFP3430,-1.5712
KRFP3159,-1.5681
KRFP3153,-1.5644
KRFP16,-1.5238
KRFP1157,-1.5056
KRFP551,-1.4983
KRFP442,-1.4978
KRFP3971,-1.491
KRFP1920,-1.4873
KRFP2856,-1.4837
KRFP2703,-1.4832
KRFP4763,-1.4727
KRFP360,-1.4702
KRFP161,-1.4655
KRFP1471,-1.4212
KRFP4046,-1.4134
KRFP3806,-1.3993
KRFP4735,-1.3993
KRFP4262,-1.3988
KRFP1013,-1.3957
KRFP3180,-1.3879
KRFP3816,-1.3806
KRFP348,-1.3613
KRFP223,-1.3514
KRFP3727,-1.3478
KRFP4494,-1.3441
KRFP4281,-1.3384
KRFP890,-1.3295
KRFP3665,-1.2811
KRFP4504,-1.2743
KRFP1999,-1.267
KRFP2308,-1.2665
KRFP3789,-1.2436
KRFP3208,-1.2004
KRFP3564,-1.1676
KRFP3936,-1.1603
KRFP4168,-1.1348
KRFP428,-1.1301
KRFP4117,-1.1275
KRFP2380,-1.1275
KRFP672,-1.1275
KRFP1622,-1.1265
KRFP4288,-1.1202
KRFP1662,-1.1202
KRFP3478,-1.0942
KRFP3553,-1.0869
KRFP18,-1.0796
KRFP1584,-1.0759
KRFP4833,-1.0577
KRFP2934,-1.0577
KRFP629,-1.0567
KRFP3523,-1.028
KRFP45,-1.0171
KRFP1571,-1.0134
KRFP4857,-1.0129
KRFP3681,-1.0124
KRFP1147,-0.9952
KRFP2135,-0.9806
KRFP4293,-0.9754
KRFP3945,-0.9749
KRFP2037,-0.9692
KRFP4497,-0.9364
KRFP4581,-0.9364
KRFP494,-0.9364
KRFP2315,-0.9364
KRFP3867,-0.9181
KRFP3593,-0.9176
KRFP4760,-0.9108
KRFP2263,-0.8957
KRFP3917,-0.8952
KRFP3847,-0.8952
KRFP3559,-0.8952
KRFP4139,-0.8666
KRFP3184,-0.8447
KRFP3395,-0.8411
KRFP2564,-0.8333
KRFP2418,-0.8296
KRFP4059,-0.826
KRFP1583,-0.8223
KRFP3990,-0.8187
KRFP2440,-0.8036
KRFP4538,-0.8004
KRFP642,-0.7999
KRFP4765,-0.7931
KRFP4003,-0.7931
KRFP4551,-0.7822
KRFP4448,-0.7822
KRFP4243,-0.7822
KRFP3769,-0.7822
KRFP2673,-0.7744
KRFP3609,-0.7713
KRFP4269,-0.7713
KRFP3959,-0.7713
KRFP4336,-0.7676
KRFP1926,-0.7676
KRFP4829,-0.7671
KRFP2950,-0.763
KRFP362,-0.7307
KRFP1160,-0.7301
KRFP3561,-0.7229
KRFP4695,-0.7223
KRFP3957,-0.7218
KRFP424,-0.7197
KRFP2125,-0.7124
KRFP4824,-0.7088
KRFP432,-0.7088
KRFP2419,-0.7078
KRFP1767,-0.7051
KRFP1634,-0.7015
KRFP4747,-0.6978
KRFP3443,-0.6978
KRFP4244,-0.6978
KRFP2150,-0.6978
KRFP3548,-0.6958
KRFP4113,-0.6937
KRFP4331,-0.6826
KRFP1405,-0.6822
KRFP4296,-0.6817
KRFP3149,-0.6718
KRFP2433,-0.6682
KRFP1621,-0.6645
KRFP4258,-0.6645
KRFP2969,-0.664
KRFP2039,-0.6536
KRFP3328,-0.6531
KRFP582,-0.6526
KRFP59,-0.6426
KRFP3721,-0.6421
KRFP4301,-0.638
KRFP3568,-0.6353
KRFP3554,-0.6353
KRFP4754,-0.6353
KRFP3949,-0.6343
KRFP3746,-0.6281
KRFP4552,-0.6281
KRFP3389,-0.6281
KRFP665,-0.627
KRFP1150,-0.6161
KRFP992,-0.6093
KRFP3283,-0.6083
KRFP1173,-0.6057
KRFP4541,-0.602
KRFP2306,-0.6005
KRFP430,-0.5979
KRFP3680,-0.5869
KRFP4388,-0.5838
KRFP4519,-0.5838
KRFP3732,-0.5656
KRFP1438,-0.5656
KRFP3749,-0.5656
KRFP599,-0.5656
KRFP2699,-0.5619
KRFP1820,-0.5619
KRFP4261,-0.5619
KRFP3152,-0.5619
KRFP1418,-0.5583
KRFP2305,-0.5583
KRFP208,-0.5583
KRFP4472,-0.5583
KRFP4803,-0.5583
KRFP3145,-0.5583
KRFP3390,-0.5286
KRFP375,-0.5281
KRFP1923,-0.5177
KRFP3121,-0.5177
KRFP3866,-0.5177
KRFP4411,-0.5177
KRFP2714,-0.514
KRFP3940,-0.514
KRFP4231,-0.514
KRFP3074,-0.5067
KRFP2242,-0.5062
KRFP10,-0.5031
KRFP1769,-0.4994
KRFP1670,-0.4958
KRFP3367,-0.4958
KRFP3360,-0.4958
KRFP4318,-0.4958
KRFP622,-0.4921
KRFP3708,-0.4921
KRFP2976,-0.4921
KRFP4764,-0.4885
KRFP3394,-0.4885
KRFP613,-0.4885
KRFP1018,-0.4885
