Key,Difference
MACCSFP77,-8.7558
MACCSFP166,-7.9385
MACCSFP97,-6.2359
MACCSFP132,-6.2027
MACCSFP149,-5.6728
MACCSFP113,-5.6445
MACCSFP103,-5.5963
MACCSFP89,-5.5432
MACCSFP157,-5.2326
MACCSFP93,-5.0033
MACCSFP115,-4.8522
MACCSFP25,-4.8372
MACCSFP154,-4.6661
MACCSFP84,-4.206
MACCSFP95,-4.1412
MACCSFP65,-3.6478
MACCSFP119,-3.5831
MACCSFP160,-3.5698
MACCSFP131,-3.5282
MACCSFP110,-3.495
MACCSFP126,-3.4236
MACCSFP92,-3.3322
MACCSFP47,-3.3289
MACCSFP37,-3.0166
MACCSFP38,-2.7874
MACCSFP134,-2.7442
MACCSFP72,-2.6146
MACCSFP78,-2.4967
MACCSFP141,-2.4635
MACCSFP152,-2.3106
MACCSFP139,-2.0266
MACCSFP80,-2.0233
MACCSFP164,-1.8754
MACCSFP140,-1.6113
MACCSFP24,-1.4435
MACCSFP159,-1.3804
MACCSFP143,-1.3505
MACCSFP127,-1.3505
MACCSFP54,-1.3488
MACCSFP70,-1.3156
MACCSFP49,-1.3106
MACCSFP63,-1.1578
MACCSFP56,-1.1578
MACCSFP137,-1.1379
MACCSFP123,-0.9734
MACCSFP46,-0.8272
MACCSFP28,-0.8256
MACCSFP121,-0.7625
MACCSFP146,-0.6296
MACCSFP45,-0.5399
MACCSFP17,-0.505
MACCSFP36,-0.4336
MACCSFP74,-0.3953
MACCSFP52,-0.3854
MACCSFP109,-0.2757
MACCSFP3,-0.2143
MACCSFP34,-0.1877
MACCSFP19,-0.108
MACCSFP48,-0.0714
MACCSFP39,-0.0714
MACCSFP30,-0.0714
MACCSFP165,-0.0664
MACCSFP162,-0.0365
MACCSFP22,0.0
MACCSFP27,0.0166
MACCSFP40,0.0615
MACCSFP161,0.0714
MACCSFP116,0.0764
MACCSFP163,0.0814
MACCSFP11,0.191
MACCSFP108,0.2458
MACCSFP23,0.3488
MACCSFP53,0.4518
MACCSFP156,0.4585
MACCSFP41,0.5748
MACCSFP26,0.5781
MACCSFP57,0.5914
MACCSFP43,0.6811
MACCSFP8,0.7309
MACCSFP136,0.9767
MACCSFP114,1.0781
MACCSFP79,1.098
MACCSFP105,1.1645
MACCSFP144,1.2807
MACCSFP158,1.3571
MACCSFP142,1.412
MACCSFP76,1.6478
MACCSFP145,1.6761
MACCSFP148,1.686
MACCSFP99,1.7641
MACCSFP83,1.9468
MACCSFP88,2.1578
MACCSFP106,2.2259
MACCSFP120,2.2375
MACCSFP81,2.2741
MACCSFP50,2.4684
MACCSFP62,2.5947
MACCSFP71,2.5997
MACCSFP125,2.6645
MACCSFP122,2.7625
MACCSFP111,2.9236
MACCSFP135,2.9252
MACCSFP138,3.2724
MACCSFP153,3.4468
MACCSFP133,3.4934
MACCSFP82,3.8056
MACCSFP42,3.9186
MACCSFP96,4.0615
MACCSFP86,4.0681
MACCSFP75,4.0963
MACCSFP147,4.2226
MACCSFP118,4.294
MACCSFP107,4.3256
MACCSFP102,4.3904
MACCSFP129,4.6163
MACCSFP130,4.7458
MACCSFP100,4.7824
MACCSFP66,4.7924
MACCSFP98,4.8605
MACCSFP104,4.9153
MACCSFP124,5.2907
MACCSFP87,5.5216
MACCSFP16,5.5332
MACCSFP59,5.8007
MACCSFP94,5.8189
MACCSFP128,5.907
MACCSFP60,5.9136
MACCSFP51,5.9136
MACCSFP55,5.9136
MACCSFP58,5.9136
MACCSFP73,5.9136
MACCSFP85,5.9867
MACCSFP61,6.0465
MACCSFP117,6.2508
MACCSFP155,6.3289
MACCSFP67,6.691
MACCSFP151,7.2791
MACCSFP150,7.3073
MACCSFP64,7.3289
MACCSFP90,7.3439
MACCSFP32,7.5598
MACCSFP91,7.6661
MACCSFP33,7.6927
MACCSFP112,7.7359
MACCSFP69,8.0831
