Key,Difference
MACCSFP89,-24.2362
MACCSFP53,-23.7051
MACCSFP115,-20.7719
MACCSFP134,-13.6761
MACCSFP160,-11.2597
MACCSFP103,-10.5825
MACCSFP108,-9.0801
MACCSFP107,-9.0712
MACCSFP112,-8.9484
MACCSFP69,-8.7477
MACCSFP93,-8.6043
MACCSFP84,-8.0132
MACCSFP16,-7.8637
MACCSFP102,-7.7231
MACCSFP79,-7.4173
MACCSFP116,-7.334
MACCSFP42,-7.0691
MACCSFP32,-6.5981
MACCSFP51,-6.3503
MACCSFP60,-6.3503
MACCSFP61,-6.3503
MACCSFP73,-6.3503
MACCSFP55,-6.3503
MACCSFP124,-6.3435
MACCSFP87,-6.3346
MACCSFP148,-6.3162
MACCSFP130,-6.3012
MACCSFP94,-6.0534
MACCSFP33,-5.9865
MACCSFP58,-5.7387
MACCSFP166,-5.721
MACCSFP67,-4.7141
MACCSFP59,-3.8035
MACCSFP64,-3.2745
MACCSFP80,-3.2363
MACCSFP77,-2.4171
MACCSFP85,-1.9168
MACCSFP43,-1.4553
MACCSFP114,-1.3502
MACCSFP38,-1.3168
MACCSFP48,-1.3147
MACCSFP37,-1.2075
MACCSFP122,-1.14
MACCSFP28,-1.1161
MACCSFP75,-1.0976
MACCSFP49,-1.0915
MACCSFP18,-0.8929
MACCSFP136,-0.7898
MACCSFP11,-0.7277
MACCSFP8,-0.6696
MACCSFP29,-0.6696
MACCSFP26,-0.5045
MACCSFP50,-0.5045
MACCSFP35,-0.4464
MACCSFP24,-0.4464
MACCSFP17,-0.4464
MACCSFP19,-0.4219
MACCSFP25,-0.3638
MACCSFP119,-0.2812
MACCSFP71,-0.2567
MACCSFP52,-0.2567
MACCSFP56,-0.2232
MACCSFP13,-0.2232
MACCSFP63,-0.2232
MACCSFP68,-0.2232
MACCSFP78,-0.058
MACCSFP41,-0.058
MACCSFP161,0.0
MACCSFP22,0.0
MACCSFP165,0.0
MACCSFP39,0.0246
MACCSFP40,0.0246
MACCSFP30,0.0826
MACCSFP141,0.17
MACCSFP163,0.2232
MACCSFP46,0.3304
MACCSFP45,0.3884
MACCSFP76,0.4956
MACCSFP57,0.6096
MACCSFP162,0.6696
MACCSFP62,0.6724
MACCSFP149,0.7263
MACCSFP70,1.0
MACCSFP14,1.0246
MACCSFP66,1.114
MACCSFP100,1.654
MACCSFP153,1.9844
MACCSFP158,2.0089
MACCSFP123,2.2792
MACCSFP27,2.5291
MACCSFP34,2.884
MACCSFP99,3.1564
MACCSFP144,3.1707
MACCSFP151,3.6718
MACCSFP111,3.7073
MACCSFP135,4.0431
MACCSFP65,4.0609
MACCSFP146,5.3947
MACCSFP156,5.4172
MACCSFP106,5.5073
MACCSFP82,5.9305
MACCSFP23,6.0582
MACCSFP155,6.4486
MACCSFP164,6.6138
MACCSFP129,6.8077
MACCSFP92,7.5162
MACCSFP133,7.7197
MACCSFP81,8.4426
MACCSFP88,8.6146
MACCSFP98,9.2241
MACCSFP145,9.3122
MACCSFP152,9.8795
MACCSFP125,10.2788
MACCSFP150,10.4276
MACCSFP74,10.9314
MACCSFP127,11.1696
MACCSFP143,11.1696
MACCSFP157,11.2187
MACCSFP90,11.7334
MACCSFP113,12.0044
MACCSFP131,12.4106
MACCSFP140,12.6106
MACCSFP86,12.9321
MACCSFP120,13.1171
MACCSFP104,13.3437
MACCSFP36,13.6345
MACCSFP159,13.7321
MACCSFP47,13.9492
MACCSFP54,14.0488
MACCSFP95,14.3035
MACCSFP132,14.8659
MACCSFP83,16.6639
MACCSFP96,17.4319
MACCSFP97,18.5725
MACCSFP72,19.2244
MACCSFP139,19.2633
MACCSFP147,20.0709
MACCSFP118,20.0709
MACCSFP138,20.5753
MACCSFP128,20.8675
MACCSFP142,22.0129
MACCSFP137,22.1064
MACCSFP154,22.1105
MACCSFP121,23.4211
MACCSFP117,23.5815
MACCSFP91,24.017
MACCSFP110,26.2444
MACCSFP109,27.5304
MACCSFP126,29.495
MACCSFP105,30.7537
