Key,Difference
SubFP1,-6.8678
SubFP214,-5.4695
SubFP84,-5.461
SubFP171,-4.9037
SubFP172,-4.8399
SubFP180,-4.4655
SubFP33,-4.3833
SubFP292,-4.1096
SubFP13,-3.999
SubFP135,-3.47
SubFP170,-3.3594
SubFP294,-3.3424
SubFP9,-3.0957
SubFP28,-2.7851
SubFP32,-2.4292
SubFP101,-1.8903
SubFP297,-1.5159
SubFP299,-1.5159
SubFP169,-1.506
SubFP23,-1.3755
SubFP296,-1.1231
SubFP298,-1.1231
SubFP273,-0.9132
SubFP49,-0.7303
SubFP280,-0.6849
SubFP279,-0.6849
SubFP21,-0.4566
SubFP155,-0.4566
SubFP6,-0.4566
SubFP235,-0.4566
SubFP63,-0.2921
SubFP181,-0.2439
SubFP125,-0.2283
SubFP188,-0.2283
SubFP109,-0.2283
SubFP229,-0.2283
SubFP247,-0.2283
SubFP66,-0.2283
SubFP291,-0.2283
SubFP286,-0.2283
SubFP285,-0.2283
SubFP283,-0.2283
SubFP230,-0.2283
SubFP281,-0.2283
SubFP282,-0.2283
SubFP147,-0.2283
SubFP41,-0.2283
SubFP56,-0.2283
SubFP65,-0.2283
SubFP250,-0.2283
SubFP150,-0.2283
SubFP15,-0.1461
SubFP133,-0.0638
SubFP210,-0.0638
SubFP62,-0.0638
SubFP295,0.0
SubFP307,0.0
SubFP19,0.0822
SubFP27,0.0822
SubFP136,0.0822
SubFP35,0.0822
SubFP151,0.0822
SubFP53,0.0822
SubFP212,0.0822
SubFP38,0.1645
SubFP20,0.1645
SubFP288,0.1645
SubFP301,0.2283
SubFP300,0.2283
SubFP303,0.2467
SubFP276,0.3106
SubFP74,0.3106
SubFP139,0.3106
SubFP173,0.329
SubFP182,0.3843
SubFP76,0.3928
SubFP99,0.4935
SubFP274,0.6849
SubFP4,0.8863
SubFP302,0.9132
SubFP200,0.9317
SubFP183,0.9884
SubFP224,1.0324
SubFP39,1.0324
SubFP26,1.1813
SubFP17,1.635
SubFP37,1.635
SubFP85,1.7995
SubFP100,2.303
SubFP5,2.5582
SubFP174,2.5667
SubFP103,2.8319
SubFP184,3.7494
SubFP3,4.7704
SubFP137,5.4284
SubFP153,6.2934
SubFP2,6.9557
SubFP16,6.9699
SubFP179,7.3173
SubFP88,9.0927
SubFP96,14.9806
SubFP287,15.7236
SubFP12,18.9484
SubFP40,19.405
SubFP14,19.8616
SubFP143,21.1464
SubFP275,21.2541
SubFP18,25.8757
