Key,Difference
SubFP3,-6.8833
SubFP38,-6.2913
SubFP20,-6.2913
SubFP9,-6.0736
SubFP4,-6.0727
SubFP1,-6.0589
SubFP180,-5.1635
SubFP294,-5.1433
SubFP96,-4.0871
SubFP292,-3.6364
SubFP279,-3.1966
SubFP280,-3.1966
SubFP40,-2.3136
SubFP16,-2.2883
SubFP133,-2.2675
SubFP14,-2.1324
SubFP288,-1.7839
SubFP101,-1.7274
SubFP181,-1.7054
SubFP173,-1.5232
SubFP109,-1.3978
SubFP303,-1.3939
SubFP200,-0.9684
SubFP74,-0.7253
SubFP32,-0.7235
SubFP212,-0.6484
SubFP13,-0.5688
SubFP52,-0.3129
SubFP182,-0.2853
SubFP150,-0.2687
SubFP120,-0.2671
SubFP63,-0.2427
SubFP28,-0.1997
SubFP201,-0.1809
SubFP296,-0.1662
SubFP298,-0.1662
SubFP262,-0.1619
SubFP297,-0.1604
SubFP299,-0.1604
SubFP62,-0.1592
SubFP39,-0.1561
SubFP281,-0.1503
SubFP170,-0.1267
SubFP41,-0.1169
SubFP129,-0.0676
SubFP286,-0.0668
SubFP285,-0.0668
SubFP35,-0.0668
SubFP149,-0.0668
SubFP282,-0.0668
SubFP59,-0.0668
SubFP283,-0.0668
SubFP55,-0.0649
SubFP196,-0.0559
SubFP293,-0.0501
SubFP10,-0.0501
SubFP209,-0.0342
SubFP190,-0.0334
SubFP72,-0.0334
SubFP27,-0.0334
SubFP34,-0.0334
SubFP278,-0.0334
SubFP197,-0.0334
SubFP86,-0.0315
SubFP224,-0.0241
SubFP210,-0.0225
SubFP105,-0.0167
SubFP53,-0.0167
SubFP273,-0.0167
SubFP57,-0.0167
SubFP44,-0.0167
SubFP78,-0.0167
SubFP284,-0.0167
SubFP154,-0.0167
SubFP56,-0.0167
SubFP71,-0.0066
SubFP295,0.0
SubFP307,0.0
SubFP264,0.0109
SubFP36,0.0276
SubFP175,0.0276
SubFP19,0.0295
SubFP265,0.0384
SubFP302,0.0429
SubFP301,0.0501
SubFP300,0.0501
SubFP139,0.059
SubFP25,0.066
SubFP76,0.0761
SubFP8,0.1211
SubFP99,0.1428
SubFP125,0.1762
SubFP188,0.1824
SubFP147,0.1948
SubFP24,0.2038
SubFP100,0.2556
SubFP65,0.2756
SubFP66,0.2756
SubFP155,0.3035
SubFP6,0.3302
SubFP153,0.3606
SubFP85,0.4017
SubFP12,0.4056
SubFP128,0.5229
SubFP136,0.5431
SubFP151,0.5434
SubFP37,0.7011
SubFP17,0.788
SubFP48,0.8296
SubFP54,0.8704
SubFP174,1.0194
SubFP179,1.2646
SubFP103,1.2776
SubFP127,1.3067
SubFP184,1.3419
SubFP275,1.4585
SubFP274,1.4995
SubFP21,1.6623
SubFP49,2.0463
SubFP143,2.2857
SubFP5,2.8169
SubFP126,2.903
SubFP84,2.941
SubFP15,3.2597
SubFP135,3.691
SubFP214,3.698
SubFP183,4.0571
SubFP171,4.6803
SubFP169,5.2508
SubFP23,5.84
SubFP88,5.9511
SubFP172,6.2777
SubFP26,6.9818
SubFP137,7.0096
SubFP2,8.5669
SubFP287,11.1853
SubFP18,11.2258
SubFP33,14.0744
