Key,Difference
MACCSFP106,-20.2165
MACCSFP117,-18.6199
MACCSFP110,-16.3717
MACCSFP84,-15.2238
MACCSFP65,-14.8471
MACCSFP136,-13.9881
MACCSFP109,-13.8207
MACCSFP47,-13.781
MACCSFP152,-13.157
MACCSFP79,-13.0575
MACCSFP83,-11.8231
MACCSFP64,-11.1365
MACCSFP114,-10.922
MACCSFP151,-10.7518
MACCSFP92,-10.463
MACCSFP77,-8.2284
MACCSFP62,-8.1952
MACCSFP97,-7.0903
MACCSFP142,-7.0445
MACCSFP82,-6.9403
MACCSFP143,-6.8482
MACCSFP127,-6.8482
MACCSFP164,-6.4841
MACCSFP155,-6.2728
MACCSFP88,-6.1466
MACCSFP59,-6.1205
MACCSFP166,-6.0522
MACCSFP156,-5.9961
MACCSFP159,-5.9634
MACCSFP96,-5.6765
MACCSFP146,-5.668
MACCSFP43,-5.6204
MACCSFP81,-5.5157
MACCSFP112,-5.3843
MACCSFP57,-5.2109
MACCSFP126,-5.1198
MACCSFP80,-5.0403
MACCSFP41,-4.9875
MACCSFP141,-4.8375
MACCSFP25,-4.6286
MACCSFP140,-4.3837
MACCSFP104,-4.2635
MACCSFP23,-4.2579
MACCSFP75,-4.2504
MACCSFP38,-2.9955
MACCSFP128,-2.959
MACCSFP121,-2.9095
MACCSFP11,-2.68
MACCSFP53,-2.5585
MACCSFP37,-2.5375
MACCSFP119,-2.0645
MACCSFP154,-2.0532
MACCSFP66,-1.9612
MACCSFP78,-1.9266
MACCSFP46,-1.913
MACCSFP135,-1.8967
MACCSFP149,-1.6747
MACCSFP34,-1.4592
MACCSFP132,-1.3447
MACCSFP52,-1.2489
MACCSFP130,-1.2353
MACCSFP28,-1.2227
MACCSFP111,-1.0713
MACCSFP138,-1.0451
MACCSFP26,-0.7296
MACCSFP133,-0.5048
MACCSFP129,-0.4898
MACCSFP113,-0.4781
MACCSFP73,-0.3286
MACCSFP49,-0.315
MACCSFP70,-0.315
MACCSFP48,-0.1972
MACCSFP108,-0.1589
MACCSFP8,-0.1561
MACCSFP56,-0.1379
MACCSFP63,-0.1379
MACCSFP89,-0.1122
MACCSFP39,-0.0986
MACCSFP18,-0.0986
MACCSFP40,-0.0986
MACCSFP29,-0.0986
MACCSFP31,-0.0986
MACCSFP22,0.0
MACCSFP165,0.0
MACCSFP27,0.0594
MACCSFP161,0.0986
MACCSFP147,0.1313
MACCSFP51,0.3024
MACCSFP30,0.316
MACCSFP120,0.3309
MACCSFP58,0.3618
MACCSFP55,0.3618
MACCSFP61,0.3618
MACCSFP60,0.3618
MACCSFP118,0.4272
MACCSFP124,0.5585
MACCSFP71,0.7352
MACCSFP67,0.7371
MACCSFP17,0.7717
MACCSFP72,0.7773
MACCSFP102,0.8404
MACCSFP42,0.8525
MACCSFP24,0.8712
MACCSFP153,0.9067
MACCSFP91,0.9572
MACCSFP94,1.0699
MACCSFP32,1.0904
MACCSFP33,1.1498
MACCSFP131,1.3082
MACCSFP158,1.3807
MACCSFP137,1.3961
MACCSFP95,1.4447
MACCSFP13,1.6401
MACCSFP69,1.7233
MACCSFP45,1.7588
MACCSFP100,1.9915
MACCSFP157,2.4734
MACCSFP123,3.0203
MACCSFP163,3.0572
MACCSFP160,3.5676
MACCSFP162,3.7475
MACCSFP36,4.6155
MACCSFP90,5.1759
MACCSFP16,8.0087
MACCSFP54,8.636
MACCSFP19,10.4307
MACCSFP148,11.0005
MACCSFP122,11.0991
MACCSFP139,11.1776
MACCSFP85,11.5922
MACCSFP116,12.24
MACCSFP150,12.3143
MACCSFP145,12.4625
MACCSFP50,13.5524
MACCSFP74,13.6585
MACCSFP98,13.9881
MACCSFP99,14.4648
MACCSFP93,14.7513
MACCSFP76,15.6263
MACCSFP105,15.8843
MACCSFP86,16.705
MACCSFP115,17.1336
MACCSFP125,18.4016
MACCSFP134,20.5792
MACCSFP103,20.6974
MACCSFP107,21.0513
MACCSFP87,24.8572
MACCSFP144,36.2933
