,idx,smiles,largest_ring,num_rings,qed,no_unwanted_frags,mol_wt,num_HBA,num_HBD,logP,num_rotatable_bonds,tpsa,bridgehead_atoms,spiro_atoms,score,max_train_similarity
0,7635,COC1=NOCC=C1C(O)C2=CC=NC=C2N3CC=CC=C3OCC=C,6,3,0.7901707541600481,True,355.153206152,7,1,2.4517000000000007,6,76.41,0,0,-6.89006,0.32
1,6484,CCNS(=O)(=O)CCC1=CC=CC=C1CC,6,1,0.8241770759719849,True,241.113649848,2,1,1.7307999999999997,6,46.17,0,0,-7.17283,0.42
2,240,OC(C)C=NC=C(N1C=NC(C2=CC=CC=N2)=N1)C(CF)F,6,2,0.8269790583048005,True,307.12446654,6,1,1.8977,6,76.19,0,0,-7.68856,0.39
3,3427,C=1NCCCC=1S(=O)(C)CCC(CF)F,6,1,0.7128713133842337,True,239.115541668,2,2,1.5554,5,29.1,0,0,-6.94619,0.27
4,91,CCCS(=O)(=O)C1=CC=CC=C1N2C=NCC2S,6,2,0.8601186919384228,True,284.065319752,5,1,1.9745000000000004,4,49.74,0,0,-5.92116,0.41
5,215,O=C(O)C1=CC=CC=C1C2=CC=CC#C2,6,2,0.8012192155971888,True,196.052429496,1,1,2.6521800000000013,2,37.3,0,0,-8.9605,0.58
6,871,C=C1C=CC(Br)=C1NS(=O)(=O)C2=CC=CC=C2F,6,2,0.9263437031600896,True,328.952139848,2,1,2.836500000000001,3,46.17,0,0,-7.98055,0.53
7,2831,O=CCC(C1=CC=CC=C1OC=O)C,6,1,0.6691568856183142,True,192.078644244,3,0,1.9143,5,43.370000000000005,0,0,-6.68876,0.43
8,4480,CCCC1=CC=CC=C1NC(=O)CC=NC(CF)(F)F,6,1,0.6036175484210394,True,286.129297824,2,1,3.600800000000002,7,41.46,0,0,-7.50495,0.49
9,751,COC1CCCCC1CNC(=O)C2=CC=C3C#CC=CC3=C2OCO,6,3,0.792952127537278,True,341.162708216,4,2,2.7037800000000005,6,67.79,0,0,-8.89332,0.39
