smiles,fps
CN(Cc1ccco1)S(=O)(=O)c1nnc(NC(=O)c2ccccc2)s1,"[296, 579, 607, 630, 668, 676, 838, 1192, 1425, 1563, 1636, 2220, 2261, 2263, 2313, 2780, 2854, 2974, 3024, 3158, 3218, 3609, 3881, 3900, 3925, 3954, 4079, 4236, 4279, 4286, 4287, 4319, 4327, 4328, 4330, 4842]"
CN(CCOc1ccc(CC(Nc2ccccc2)C(=O)O)cc1)c1nc2ccccc2o1,"[0, 19, 24, 296, 297, 301, 303, 340, 434, 443, 581, 591, 607, 646, 668, 676, 677, 971, 1147, 1192, 1405, 1563, 1565, 1641, 2192, 2261, 2263, 2546, 2710, 2948, 2974, 3024, 3194, 3206, 3223, 3327, 3401, 3413, 3454, 3559, 3639, 3653, 3670, 3680, 3681, 3702, 3703, 3743, 3749, 3772, 3787, 3881, 3925, 3942, 3947, 3955, 3999, 4079, 4282, 4285, 4294, 4330, 4520, 4664, 4694, 4727]"
O=C1c2c(cccc2OCC2CCCCC2)CC1Cc1ccc(O)cc1,"[0, 19, 213, 296, 297, 301, 340, 343, 345, 581, 646, 1147, 1192, 1591, 1641, 1768, 2546, 2563, 2948, 2974, 3024, 3149, 3223, 3282, 3284, 3368, 3374, 3398, 3454, 3559, 3590, 3592, 3595, 3597, 3605, 3639, 3644, 3658, 3659, 3670, 3680, 3681, 3691, 3702, 3703, 3705, 3711, 3718, 3726, 3729, 3736, 3743, 3787, 3955, 3999, 4330, 4520, 4727, 4762]"
N#CSCCCCCNc1c2c(nc3ccccc13)CCCC2,"[296, 340, 343, 345, 346, 360, 362, 380, 382, 457, 466, 664, 676, 1152, 1565, 2112, 2185, 2854, 2974, 2976, 3142, 3223, 3568, 3607, 3608, 3639, 3684, 3687, 3691, 3705, 3728, 3732, 3738, 3739, 3749, 3808, 3815, 3881, 4018, 4079, 4842]"
N#CC=C1c2ccccc2N=C(N2CCOCC2)c2ccccc21,"[296, 340, 443, 604, 646, 647, 1152, 1565, 2261, 2447, 2546, 2974, 2976, 2978, 2985, 3012, 3190, 3223, 3439, 3595, 3601, 3749, 3750, 3751, 3772, 3781, 3785, 3787, 3788, 3881, 3883, 3887, 3921, 3925, 3947, 3955, 3956, 4079, 4112, 4286, 4294, 4330]"
Cc1ccc(-c2noc(C3CCN(C(=O)CCC(F)(F)F)CC3)n2)cc1,"[0, 231, 296, 297, 340, 400, 503, 604, 609, 620, 668, 1153, 1192, 1535, 1641, 1749, 2259, 2261, 2264, 2974, 3024, 3156, 3223, 3294, 3454, 3639, 3646, 3647, 3670, 3691, 3692, 3700, 3705, 3728, 3732, 3734, 3739, 3740, 3741, 3749, 3750, 3751, 3755, 3756, 3772, 3774, 3776, 3780, 3781, 3881, 3883, 3888, 3914, 3925, 3927, 3941, 4031, 4052, 4079, 4236, 4330, 4538]"
O=C(c1cc(=O)c2c(O)cccc2o1)N1CCNCC1,"[296, 340, 382, 466, 475, 604, 609, 620, 676, 1147, 1192, 1591, 2261, 2264, 2418, 2948, 2974, 3024, 3178, 3223, 3492, 3749, 3750, 3751, 3755, 3772, 3780, 3781, 3881, 3883, 3888, 3920, 3925, 3941, 4079, 4236, 4293, 4330, 4417, 4540]"
Cc1cc(Br)cc(C)c1OCCCCN(C)C,"[296, 340, 343, 345, 373, 374, 434, 441, 443, 607, 628, 646, 668, 1149, 1931, 2085, 2261, 2263, 2305, 2546, 2766, 2949, 2968, 2974, 3223, 3498, 3508, 3572, 3573, 3605, 3639, 3691, 3732, 3736, 3739, 3740, 3743, 3749, 3750, 3772, 3787, 3881, 3883, 3925, 3955, 3999, 4079, 4330, 4708]"
O=C1C=C(C2CC=C(Cc3ccccc3)C(O)O2)C(O)O1,"[0, 16, 71, 296, 297, 565, 1147, 1192, 1563, 2546, 2547, 2672, 2948, 2974, 2985, 3009, 3024, 3223, 3327, 3407, 3439, 3454, 3639, 3667, 3681, 3691, 3703, 3705, 3729, 3730, 3736, 3737, 3743, 3745, 3787, 3788, 3789, 3805, 3955, 3956, 3958, 3970, 4330, 4609, 4694, 4809]"
CC(NC(=O)C(C#N)C(C)(C)C)c1ccccc1Cl,"[0, 13, 15, 17, 18, 19, 33, 36, 92, 668, 676, 677, 682, 838, 839, 1152, 1153, 1155, 1159, 1172, 1192, 1565, 1582, 2258, 2974, 2976, 3024, 3223, 3294, 3335, 3368, 3374, 3384, 3389, 3395, 3414, 3454, 3598, 3639, 3640, 3646, 3647, 3656, 3658, 3670, 3681, 3691, 3692, 3700, 3732, 3739, 3749, 3772, 3774, 3776, 3780, 3781, 3820, 3868, 3881, 3925, 3927, 3941, 4079, 4236, 4286, 4330, 4508]"
