Key,Frequency
MACCSFP22,100.0
MACCSFP165,99.9806
MACCSFP163,99.9419
MACCSFP161,99.6705
MACCSFP162,99.6318
MACCSFP158,99.2248
MACCSFP153,97.1705
MACCSFP100,96.6473
MACCSFP111,96.0659
MACCSFP137,95.2713
MACCSFP147,95.1938
MACCSFP118,95.155
MACCSFP145,94.8643
MACCSFP129,93.2946
MACCSFP121,91.8605
MACCSFP138,91.3953
MACCSFP128,90.7364
MACCSFP164,90.6395
MACCSFP156,90.4651
MACCSFP125,89.593
MACCSFP86,88.9147
MACCSFP148,87.5969
MACCSFP122,87.1512
MACCSFP155,87.0155
MACCSFP85,86.1822
MACCSFP142,84.3411
MACCSFP98,84.2054
MACCSFP75,80.2907
MACCSFP120,78.1977
MACCSFP105,73.876
MACCSFP127,69.0116
MACCSFP143,69.0116
MACCSFP62,67.4612
MACCSFP151,66.8798
MACCSFP152,65.2132
MACCSFP133,64.9806
MACCSFP144,64.9419
MACCSFP157,63.6628
MACCSFP159,63.3721
MACCSFP113,63.2364
MACCSFP160,62.2868
MACCSFP79,58.3721
MACCSFP150,57.345
MACCSFP96,57.2674
MACCSFP135,57.1899
MACCSFP117,53.3915
MACCSFP83,52.5581
MACCSFP91,52.5194
MACCSFP154,50.1744
MACCSFP126,49.8062
MACCSFP132,46.3178
MACCSFP95,45.3101
MACCSFP110,45.0775
MACCSFP134,42.9845
MACCSFP90,42.7519
MACCSFP92,41.1822
MACCSFP104,40.562
MACCSFP107,39.6124
MACCSFP97,39.1279
MACCSFP93,38.3915
MACCSFP87,37.345
MACCSFP109,35.8527
MACCSFP131,33.1008
MACCSFP65,32.1124
MACCSFP80,31.5504
MACCSFP146,30.3295
MACCSFP149,29.8643
MACCSFP82,28.3527
MACCSFP77,26.2791
MACCSFP136,26.0853
MACCSFP112,24.8256
MACCSFP106,24.5155
MACCSFP42,23.7403
MACCSFP88,22.5775
MACCSFP57,21.6473
MACCSFP81,21.2791
MACCSFP103,21.2016
MACCSFP115,20.1163
MACCSFP124,19.8256
MACCSFP72,19.4574
MACCSFP94,18.7403
MACCSFP108,18.6047
MACCSFP116,17.655
MACCSFP89,16.4535
MACCSFP139,16.124
MACCSFP16,15.7171
MACCSFP102,14.1279
MACCSFP38,13.8953
MACCSFP130,13.469
MACCSFP67,12.9457
MACCSFP59,12.7326
MACCSFP140,12.655
MACCSFP36,11.7636
MACCSFP33,11.6085
MACCSFP32,11.4729
MACCSFP64,11.4535
MACCSFP61,11.2403
MACCSFP51,11.2209
MACCSFP58,11.1822
MACCSFP73,11.124
MACCSFP55,11.0659
MACCSFP60,11.0659
MACCSFP66,10.8915
MACCSFP114,10.6008
MACCSFP141,9.2054
MACCSFP84,7.6357
MACCSFP74,7.6357
MACCSFP99,7.4612
MACCSFP123,7.0736
MACCSFP37,6.8217
MACCSFP54,6.1434
MACCSFP166,6.0271
MACCSFP69,5.9302
MACCSFP52,4.7674
MACCSFP76,4.4767
MACCSFP25,4.2829
MACCSFP19,4.1667
MACCSFP119,4.0116
MACCSFP53,3.7791
MACCSFP50,3.6628
MACCSFP47,3.2946
MACCSFP71,3.0814
MACCSFP43,3.0039
MACCSFP78,2.5581
MACCSFP46,2.5194
MACCSFP70,2.3062
MACCSFP41,2.2093
MACCSFP34,2.0155
MACCSFP49,1.8798
MACCSFP24,1.686
MACCSFP11,1.6279
MACCSFP23,1.4535
MACCSFP56,1.4147
MACCSFP63,1.376
MACCSFP28,0.9496
MACCSFP27,0.8333
MACCSFP45,0.8333
MACCSFP8,0.5814
MACCSFP40,0.4845
MACCSFP48,0.3295
MACCSFP39,0.3101
MACCSFP17,0.2907
MACCSFP26,0.2713
MACCSFP14,0.1163
MACCSFP13,0.0775
MACCSFP3,0.0775
MACCSFP30,0.0194
MACCSFP35,0.0194
