Key,Frequency
SubFP307,100.0
SubFP295,100.0
SubFP301,99.9802
SubFP300,99.9802
SubFP274,99.624
SubFP302,98.6543
SubFP275,95.8836
SubFP2,84.0887
SubFP23,82.9012
SubFP26,80.2296
SubFP18,52.1274
SubFP88,44.6467
SubFP287,42.9052
SubFP33,38.2545
SubFP184,37.4233
SubFP1,34.1777
SubFP3,25.8658
SubFP137,25.5096
SubFP172,20.1267
SubFP179,18.7216
SubFP171,17.5737
SubFP181,12.923
SubFP100,11.5377
SubFP214,10.3107
SubFP135,9.6576
SubFP183,9.6378
SubFP12,9.5983
SubFP143,9.1035
SubFP32,8.5098
SubFP14,7.8963
SubFP101,6.6891
SubFP180,6.6891
SubFP5,6.5704
SubFP40,6.4912
SubFP49,5.7787
SubFP169,5.5215
SubFP4,5.0465
SubFP9,4.809
SubFP292,4.6705
SubFP182,4.5518
SubFP103,4.4924
SubFP16,4.1955
SubFP96,3.6414
SubFP99,3.1466
SubFP294,2.6321
SubFP173,2.355
SubFP133,2.2363
SubFP288,2.2363
SubFP279,2.1967
SubFP280,2.1967
SubFP147,2.1571
SubFP298,1.9197
SubFP296,1.9197
SubFP297,1.8999
SubFP299,1.8999
SubFP63,1.7811
SubFP84,1.5436
SubFP303,1.5436
SubFP86,1.5041
SubFP56,1.4645
SubFP28,1.4249
SubFP188,1.3853
SubFP20,1.3457
SubFP38,1.3457
SubFP21,1.2468
SubFP153,1.128
SubFP151,1.128
SubFP15,1.0885
SubFP109,1.0687
SubFP85,0.9104
SubFP19,0.9104
SubFP126,0.8708
SubFP13,0.7322
SubFP200,0.6927
SubFP174,0.6333
SubFP139,0.4156
SubFP17,0.3364
SubFP74,0.3166
SubFP6,0.2969
SubFP170,0.2573
SubFP37,0.2177
SubFP212,0.1979
SubFP11,0.1979
SubFP201,0.1781
SubFP224,0.1781
SubFP60,0.1187
SubFP210,0.1187
SubFP39,0.1187
SubFP136,0.1187
SubFP281,0.099
SubFP55,0.099
SubFP190,0.0792
SubFP127,0.0792
SubFP150,0.0792
SubFP52,0.0792
SubFP53,0.0792
SubFP76,0.0792
SubFP293,0.0792
SubFP8,0.0792
SubFP54,0.0594
SubFP72,0.0594
SubFP286,0.0594
SubFP285,0.0594
SubFP282,0.0594
SubFP62,0.0594
SubFP196,0.0594
SubFP175,0.0594
SubFP283,0.0396
SubFP65,0.0396
SubFP66,0.0396
SubFP155,0.0396
SubFP41,0.0396
SubFP78,0.0396
SubFP209,0.0198
SubFP48,0.0198
SubFP198,0.0198
SubFP276,0.0198
