Key,Frequency
MACCSFP22,100.0
MACCSFP165,99.9656
MACCSFP161,99.9656
MACCSFP163,99.8279
MACCSFP162,99.5525
MACCSFP158,99.346
MACCSFP137,94.7676
MACCSFP153,94.2857
MACCSFP156,93.6661
MACCSFP125,93.6661
MACCSFP121,93.3907
MACCSFP100,92.9776
MACCSFP111,92.9432
MACCSFP145,92.0826
MACCSFP147,91.1876
MACCSFP118,91.1532
MACCSFP142,90.0172
MACCSFP148,89.0878
MACCSFP122,88.5026
MACCSFP86,87.6076
MACCSFP85,86.8158
MACCSFP129,85.7487
MACCSFP138,85.2668
MACCSFP164,84.957
MACCSFP155,83.9931
MACCSFP75,83.4079
MACCSFP128,82.2031
MACCSFP98,79.5181
MACCSFP120,77.6592
MACCSFP105,68.6747
MACCSFP62,66.0585
MACCSFP151,64.1997
MACCSFP133,63.167
MACCSFP96,61.0327
MACCSFP117,60.3098
MACCSFP79,60.0688
MACCSFP150,60.0
MACCSFP83,57.8657
MACCSFP160,56.9363
MACCSFP135,56.7298
MACCSFP159,56.2134
MACCSFP143,55.8003
MACCSFP127,55.8003
MACCSFP144,53.7349
MACCSFP134,50.2926
MACCSFP152,50.0172
MACCSFP80,45.0947
MACCSFP157,43.7177
MACCSFP91,43.6145
MACCSFP154,43.5112
MACCSFP90,43.3046
MACCSFP107,43.0981
MACCSFP113,41.79
MACCSFP87,40.8606
MACCSFP112,39.7935
MACCSFP106,39.7246
MACCSFP110,38.7608
MACCSFP136,37.9346
MACCSFP104,35.9036
MACCSFP88,35.9036
MACCSFP92,35.5594
MACCSFP81,35.2496
MACCSFP93,34.8365
MACCSFP65,33.253
MACCSFP126,33.012
MACCSFP132,32.358
MACCSFP124,31.6695
MACCSFP103,31.6007
MACCSFP95,31.4974
MACCSFP97,30.9122
MACCSFP94,30.0861
MACCSFP77,29.5353
MACCSFP149,28.8468
MACCSFP59,28.4337
MACCSFP102,27.9174
MACCSFP146,27.7453
MACCSFP16,27.3666
MACCSFP130,26.8158
MACCSFP67,26.6093
MACCSFP64,26.3683
MACCSFP61,25.9897
MACCSFP73,25.9208
MACCSFP55,25.9208
MACCSFP51,25.9208
MACCSFP58,25.9208
MACCSFP60,25.9208
MACCSFP131,25.8864
MACCSFP33,24.1997
MACCSFP32,24.1308
MACCSFP82,23.6145
MACCSFP116,22.7539
MACCSFP42,21.1015
MACCSFP115,19.4148
MACCSFP108,17.5559
MACCSFP109,17.1429
MACCSFP38,14.6988
MACCSFP36,14.5611
MACCSFP69,14.0448
MACCSFP66,12.8399
MACCSFP166,12.5301
MACCSFP139,11.8072
MACCSFP57,10.8778
MACCSFP141,10.2238
MACCSFP74,10.2238
MACCSFP89,9.9139
MACCSFP84,9.5353
MACCSFP114,8.9157
MACCSFP19,8.1583
MACCSFP25,7.7797
MACCSFP99,7.0568
MACCSFP140,7.0224
MACCSFP119,6.6437
MACCSFP37,6.4372
MACCSFP71,5.9897
MACCSFP47,5.9897
MACCSFP78,5.9208
MACCSFP72,5.6454
MACCSFP76,4.8537
MACCSFP52,4.3718
MACCSFP53,4.2341
MACCSFP50,3.9931
MACCSFP43,3.9243
MACCSFP123,3.9243
MACCSFP46,2.8571
MACCSFP54,2.4441
MACCSFP41,1.5835
MACCSFP11,1.1704
MACCSFP70,1.0327
MACCSFP49,0.9639
MACCSFP28,0.9294
MACCSFP23,0.895
MACCSFP24,0.895
MACCSFP45,0.7917
MACCSFP56,0.7573
MACCSFP63,0.7573
MACCSFP27,0.7229
MACCSFP34,0.6885
MACCSFP26,0.5852
MACCSFP8,0.3787
MACCSFP17,0.3098
MACCSFP40,0.1033
MACCSFP3,0.1033
MACCSFP30,0.0344
MACCSFP39,0.0344
MACCSFP48,0.0344
