Key,Frequency
SubFP307,100.0
SubFP295,100.0
SubFP301,99.965
SubFP300,99.965
SubFP274,99.5455
SubFP302,97.0979
SubFP275,95.2098
SubFP23,83.2517
SubFP26,81.0839
SubFP2,80.9441
SubFP287,52.4476
SubFP88,38.3566
SubFP184,38.0769
SubFP1,33.986
SubFP33,32.6923
SubFP18,31.1189
SubFP171,23.3566
SubFP214,23.007
SubFP3,19.1608
SubFP181,18.3566
SubFP172,17.7273
SubFP137,17.2378
SubFP180,11.7483
SubFP143,11.4336
SubFP292,11.1888
SubFP183,10.9441
SubFP179,9.1259
SubFP135,7.5524
SubFP4,7.2028
SubFP100,6.9231
SubFP182,6.6434
SubFP5,5.9441
SubFP101,5.7343
SubFP12,5.6643
SubFP32,5.3846
SubFP49,5.1748
SubFP96,4.8252
SubFP169,4.5455
SubFP9,3.7762
SubFP14,3.6364
SubFP151,3.2867
SubFP294,2.8322
SubFP28,2.7622
SubFP147,2.5874
SubFP16,2.5874
SubFP40,2.5175
SubFP99,2.5175
SubFP173,2.4825
SubFP200,2.2727
SubFP20,2.1678
SubFP38,2.1678
SubFP303,2.1329
SubFP103,1.6434
SubFP109,1.6084
SubFP288,1.6084
SubFP133,1.6084
SubFP84,1.5734
SubFP15,1.2587
SubFP21,1.0839
SubFP280,0.979
SubFP279,0.979
SubFP298,0.9441
SubFP296,0.9441
SubFP299,0.9091
SubFP297,0.9091
SubFP85,0.9091
SubFP153,0.8392
SubFP13,0.8042
SubFP188,0.7692
SubFP174,0.6643
SubFP19,0.5944
SubFP120,0.5944
SubFP63,0.4895
SubFP74,0.3497
SubFP6,0.3147
SubFP126,0.2797
SubFP62,0.2448
SubFP139,0.2098
SubFP59,0.2098
SubFP52,0.2098
SubFP17,0.1748
SubFP150,0.1748
SubFP37,0.1399
SubFP48,0.1049
SubFP55,0.1049
SubFP209,0.0699
SubFP11,0.0699
SubFP127,0.0699
SubFP41,0.0699
SubFP86,0.0699
SubFP201,0.0699
SubFP293,0.0699
SubFP27,0.035
SubFP35,0.035
SubFP170,0.035
SubFP65,0.035
SubFP66,0.035
SubFP8,0.035
SubFP281,0.035
SubFP136,0.035
SubFP149,0.035
SubFP212,0.035
SubFP78,0.035
