Key,Frequency
MACCSFP165,100.0
MACCSFP161,100.0
MACCSFP22,100.0
MACCSFP163,99.871
MACCSFP162,99.6129
MACCSFP158,98.8387
MACCSFP153,97.9355
MACCSFP100,96.9032
MACCSFP164,95.871
MACCSFP155,95.3548
MACCSFP152,93.6774
MACCSFP151,93.2903
MACCSFP157,92.9032
MACCSFP113,91.2258
MACCSFP127,91.0968
MACCSFP143,91.0968
MACCSFP159,90.8387
MACCSFP104,90.4516
MACCSFP156,88.0
MACCSFP95,86.8387
MACCSFP131,86.7097
MACCSFP139,85.8065
MACCSFP132,85.2903
MACCSFP82,84.6452
MACCSFP111,83.4839
MACCSFP125,83.3548
MACCSFP145,81.1613
MACCSFP129,80.7742
MACCSFP54,80.2581
MACCSFP146,78.8387
MACCSFP160,72.2581
MACCSFP142,64.6452
MACCSFP147,62.7097
MACCSFP118,62.7097
MACCSFP138,61.8065
MACCSFP126,59.0968
MACCSFP137,54.1935
MACCSFP121,52.5161
MACCSFP90,50.7097
MACCSFP86,50.3226
MACCSFP128,50.3226
MACCSFP150,49.9355
MACCSFP105,49.8065
MACCSFP91,49.4194
MACCSFP109,48.0
MACCSFP144,47.0968
MACCSFP140,46.8387
MACCSFP72,42.7097
MACCSFP116,41.5484
MACCSFP117,38.9677
MACCSFP97,38.1935
MACCSFP96,37.9355
MACCSFP149,37.8065
MACCSFP154,37.6774
MACCSFP120,37.6774
MACCSFP148,37.2903
MACCSFP133,36.5161
MACCSFP98,36.2581
MACCSFP83,34.7097
MACCSFP89,34.1935
MACCSFP110,34.0645
MACCSFP93,30.9677
MACCSFP115,30.9677
MACCSFP122,30.3226
MACCSFP85,29.5484
MACCSFP135,29.1613
MACCSFP88,27.7419
MACCSFP75,26.3226
MACCSFP53,25.9355
MACCSFP106,24.6452
MACCSFP65,24.2581
MACCSFP92,23.4839
MACCSFP62,21.9355
MACCSFP81,21.4194
MACCSFP74,18.4516
MACCSFP112,18.3226
MACCSFP136,18.1935
MACCSFP36,17.8065
MACCSFP80,17.1613
MACCSFP134,16.7742
MACCSFP108,16.2581
MACCSFP47,15.4839
MACCSFP141,14.5806
MACCSFP124,14.0645
MACCSFP77,13.9355
MACCSFP107,13.8065
MACCSFP84,13.8065
MACCSFP87,11.6129
MACCSFP114,11.4839
MACCSFP16,10.9677
MACCSFP94,10.8387
MACCSFP79,10.7097
MACCSFP102,10.5806
MACCSFP130,10.0645
MACCSFP67,10.0645
MACCSFP38,9.9355
MACCSFP69,9.0323
MACCSFP123,8.7742
MACCSFP58,8.5161
MACCSFP57,8.5161
MACCSFP103,8.2581
MACCSFP73,8.2581
MACCSFP55,8.2581
MACCSFP61,8.2581
MACCSFP51,8.2581
MACCSFP60,8.2581
MACCSFP33,7.7419
MACCSFP66,7.6129
MACCSFP32,7.4839
MACCSFP42,6.8387
MACCSFP99,4.9032
MACCSFP64,4.6452
MACCSFP59,4.6452
MACCSFP166,3.6129
MACCSFP34,3.2258
MACCSFP23,3.2258
MACCSFP37,2.8387
MACCSFP43,2.0645
MACCSFP52,1.6774
MACCSFP71,1.6774
MACCSFP48,1.6774
MACCSFP14,1.5484
MACCSFP76,1.5484
MACCSFP49,1.5484
MACCSFP27,1.2903
MACCSFP19,1.1613
MACCSFP11,1.0323
MACCSFP46,1.0323
MACCSFP39,0.9032
MACCSFP50,0.9032
MACCSFP26,0.9032
MACCSFP40,0.9032
MACCSFP119,0.7742
MACCSFP41,0.6452
MACCSFP28,0.6452
MACCSFP78,0.6452
MACCSFP70,0.6452
MACCSFP18,0.5161
MACCSFP25,0.5161
MACCSFP29,0.3871
MACCSFP45,0.3871
MACCSFP8,0.3871
MACCSFP35,0.2581
MACCSFP24,0.2581
MACCSFP30,0.2581
MACCSFP17,0.2581
MACCSFP56,0.129
MACCSFP63,0.129
MACCSFP68,0.129
MACCSFP13,0.129
