Key,Frequency
MACCSFP22,100.0
MACCSFP165,99.9799
MACCSFP161,99.859
MACCSFP163,99.6275
MACCSFP158,99.406
MACCSFP153,98.681
MACCSFP100,98.3286
MACCSFP162,98.2179
MACCSFP111,96.758
MACCSFP147,96.617
MACCSFP118,96.6069
MACCSFP129,95.6907
MACCSFP145,94.4825
MACCSFP137,94.4724
MACCSFP148,94.4019
MACCSFP86,94.0596
MACCSFP128,93.8683
MACCSFP122,93.8079
MACCSFP138,93.3749
MACCSFP85,92.9219
MACCSFP121,92.5191
MACCSFP156,89.9919
MACCSFP155,88.8341
MACCSFP125,87.6259
MACCSFP75,86.9513
MACCSFP164,86.1257
MACCSFP142,84.6657
MACCSFP98,80.4772
MACCSFP120,75.4128
MACCSFP105,71.909
MACCSFP62,70.9223
MACCSFP144,70.3081
MACCSFP160,63.9146
MACCSFP79,63.673
MACCSFP133,63.4313
MACCSFP152,62.4346
MACCSFP151,61.2867
MACCSFP96,59.4342
MACCSFP83,57.5614
MACCSFP157,57.0278
MACCSFP117,56.0209
MACCSFP159,55.8598
MACCSFP143,54.9134
MACCSFP127,54.9134
MACCSFP135,54.6718
MACCSFP150,54.5912
MACCSFP154,52.6178
MACCSFP113,49.5973
MACCSFP110,49.114
MACCSFP134,48.9126
MACCSFP91,47.211
MACCSFP107,45.4491
MACCSFP90,45.4289
MACCSFP104,43.8582
MACCSFP93,42.0258
MACCSFP92,41.613
MACCSFP87,39.7402
MACCSFP80,37.8071
MACCSFP97,37.2835
MACCSFP126,37.0721
MACCSFP132,36.0451
MACCSFP65,36.025
MACCSFP95,35.8337
MACCSFP77,32.4205
MACCSFP124,30.3262
MACCSFP149,29.994
MACCSFP82,29.7322
MACCSFP103,27.9299
MACCSFP106,27.6581
MACCSFP94,27.4265
MACCSFP131,27.0942
MACCSFP146,26.762
MACCSFP88,26.6915
MACCSFP112,26.5505
MACCSFP108,26.5203
MACCSFP81,24.8188
MACCSFP115,24.4563
MACCSFP109,24.0334
MACCSFP42,23.3286
MACCSFP57,21.7378
MACCSFP16,20.6706
MACCSFP136,19.9054
MACCSFP38,19.0999
MACCSFP139,18.7978
MACCSFP116,18.1434
MACCSFP59,17.1265
MACCSFP52,15.9887
MACCSFP64,15.7169
MACCSFP114,15.7068
MACCSFP130,15.294
MACCSFP102,14.5389
MACCSFP72,14.0254
MACCSFP66,13.0085
MACCSFP67,12.2332
MACCSFP140,11.9613
MACCSFP19,11.4781
MACCSFP89,11.0954
MACCSFP61,11.0854
MACCSFP51,10.9243
MACCSFP141,10.8639
MACCSFP73,10.7632
MACCSFP58,10.6726
MACCSFP55,10.6021
MACCSFP60,10.6021
MACCSFP36,10.592
MACCSFP47,9.5348
MACCSFP33,8.9106
MACCSFP54,8.8703
MACCSFP32,8.8099
MACCSFP99,7.8836
MACCSFP123,7.7326
MACCSFP74,7.6923
MACCSFP69,6.766
MACCSFP166,6.3834
MACCSFP37,6.0814
MACCSFP119,5.9807
MACCSFP84,5.7189
MACCSFP78,5.1651
MACCSFP71,4.8027
MACCSFP76,4.1885
MACCSFP50,3.8159
MACCSFP43,3.6649
MACCSFP53,3.5441
MACCSFP70,3.4434
MACCSFP41,3.4233
MACCSFP25,3.1917
MACCSFP46,2.8997
MACCSFP28,2.7789
MACCSFP17,1.9029
MACCSFP24,1.47
MACCSFP23,1.319
MACCSFP40,1.2485
MACCSFP49,1.178
MACCSFP27,1.0975
MACCSFP34,1.0572
MACCSFP11,0.9464
MACCSFP39,0.8256
MACCSFP48,0.8256
MACCSFP56,0.584
MACCSFP63,0.584
MACCSFP26,0.2618
MACCSFP30,0.2416
MACCSFP8,0.2416
MACCSFP45,0.1913
MACCSFP20,0.1812
MACCSFP14,0.1208
MACCSFP31,0.0906
MACCSFP101,0.0805
MACCSFP13,0.0705
MACCSFP3,0.0705
MACCSFP68,0.0201
MACCSFP18,0.0101
