Key,Frequency
MACCSFP165,100.0
MACCSFP22,100.0
MACCSFP161,99.9393
MACCSFP158,99.15
MACCSFP153,98.9678
MACCSFP100,98.2999
MACCSFP163,98.1178
MACCSFP162,97.6928
MACCSFP137,95.507
MACCSFP111,95.4463
MACCSFP147,94.2319
MACCSFP118,94.0498
MACCSFP121,93.2605
MACCSFP145,89.7996
MACCSFP86,88.7675
MACCSFP148,88.646
MACCSFP122,88.5853
MACCSFP85,88.2817
MACCSFP125,88.0389
MACCSFP156,86.946
MACCSFP155,86.6424
MACCSFP129,86.3995
MACCSFP142,85.0638
MACCSFP128,84.7602
MACCSFP138,84.2137
MACCSFP120,79.4171
MACCSFP98,77.9599
MACCSFP75,77.6563
MACCSFP164,74.9241
MACCSFP160,62.4165
MACCSFP105,62.4165
MACCSFP144,62.1736
MACCSFP79,57.8021
MACCSFP152,57.0735
MACCSFP96,56.8913
MACCSFP157,55.1913
MACCSFP151,54.6448
MACCSFP143,50.8197
MACCSFP127,50.8197
MACCSFP83,50.0911
MACCSFP154,49.6053
MACCSFP150,48.0267
MACCSFP132,47.9053
MACCSFP159,47.9053
MACCSFP62,46.7517
MACCSFP97,46.3874
MACCSFP113,46.2659
MACCSFP117,44.323
MACCSFP80,44.0194
MACCSFP126,43.5944
MACCSFP134,43.4123
MACCSFP110,42.623
MACCSFP107,42.0158
MACCSFP91,41.5908
MACCSFP133,40.4372
MACCSFP93,39.1014
MACCSFP87,39.0407
MACCSFP90,37.0978
MACCSFP95,36.5513
MACCSFP149,35.9441
MACCSFP77,35.3977
MACCSFP116,35.2763
MACCSFP115,34.0012
MACCSFP104,33.2726
MACCSFP108,32.4833
MACCSFP92,31.8761
MACCSFP135,31.8154
MACCSFP146,30.6618
MACCSFP65,29.9939
MACCSFP109,29.9939
MACCSFP106,29.5082
MACCSFP103,26.5938
MACCSFP88,26.5331
MACCSFP81,25.9866
MACCSFP19,24.2259
MACCSFP82,23.0723
MACCSFP136,22.0401
MACCSFP124,21.6151
MACCSFP139,21.5543
MACCSFP131,21.3115
MACCSFP38,20.6436
MACCSFP112,20.2186
MACCSFP94,20.0364
MACCSFP42,19.8543
MACCSFP123,16.9399
MACCSFP57,16.6363
MACCSFP74,16.3934
MACCSFP141,15.3005
MACCSFP59,15.3005
MACCSFP140,15.1791
MACCSFP36,13.9041
MACCSFP99,13.8434
MACCSFP47,13.5398
MACCSFP64,13.1755
MACCSFP16,12.4469
MACCSFP52,12.1433
MACCSFP84,11.9004
MACCSFP76,11.2325
MACCSFP114,10.9897
MACCSFP66,10.6861
MACCSFP50,10.1396
MACCSFP102,9.5932
MACCSFP54,8.7432
MACCSFP25,8.3789
MACCSFP37,7.4074
MACCSFP130,6.9217
MACCSFP119,6.8002
MACCSFP78,6.5574
MACCSFP72,6.3145
MACCSFP53,6.3145
MACCSFP166,6.2538
MACCSFP73,5.8895
MACCSFP67,5.7073
MACCSFP61,5.4645
MACCSFP60,5.4645
MACCSFP58,5.4645
MACCSFP55,5.4645
MACCSFP51,5.343
MACCSFP89,5.2823
MACCSFP41,5.2823
MACCSFP69,5.1002
MACCSFP23,4.6752
MACCSFP43,4.2502
MACCSFP33,4.1894
MACCSFP71,4.1287
MACCSFP32,4.068
MACCSFP11,3.7037
MACCSFP24,2.3072
MACCSFP45,1.7608
MACCSFP17,1.5786
MACCSFP8,1.5179
MACCSFP13,1.5179
MACCSFP46,1.3358
MACCSFP34,1.2143
MACCSFP28,0.9107
MACCSFP70,0.6679
MACCSFP49,0.6679
MACCSFP26,0.6072
MACCSFP56,0.2429
MACCSFP63,0.2429
MACCSFP27,0.1214
MACCSFP48,0.1214
MACCSFP30,0.1214
MACCSFP31,0.0607
MACCSFP39,0.0607
MACCSFP29,0.0607
MACCSFP40,0.0607
MACCSFP18,0.0607
