KEYS,5ht1a,5ht7,beta2,d2,h1,SMARTS
KLEK_1,1661,720,320,1812,450,[!#1][CH]([!#1])[!#1]
KLEK_2,212,42,46,261,41,[!#1][CH]([!#1])[CH]([!#1])[!#1]
KLEK_3,0,0,0,0,0,[!#1][CH]([!#1])[CH]([!#1])C([CH3])([CH3])[CH3]
KLEK_4,0,0,0,0,0,[!#1][CH]([!#1])[CH](C(=O)O[CH3])C(=O)O[CH3]
KLEK_5,0,0,0,0,0,[!#1][CH]([!#1])[CH]1[CH2][CH]([CH]([!#1])[!#1])[CH]([CH]1C(=O)[!#1])C(=O)[OH]
KLEK_6,0,0,0,0,0,[!#1][CH]([!#1])[CH2][CH]([CH]([CH2][CH]([!#1])[!#1])C(=O)[!#1])C(=O)[!#1]
KLEK_7,4,1,0,4,0,[!#1][CH]([!#1])[CH2][CH2][CH3]
KLEK_8,0,0,0,0,0,[!#1][CH]([!#1])[CH2][CH2]C([!#1])([!#1])[CH3]
KLEK_9,0,0,0,0,0,[!#1][CH]([!#1])[CH2]C(=N[NH]C(=S)[NH2])[CH2][CH3]
KLEK_10,28,4,0,70,6,[!#1][CH]([!#1])[CH2]C(=O)[!#1]
KLEK_11,0,0,0,0,0,[!#1][CH]([!#1])[CH2]C(=O)[CH2][CH3]
KLEK_12,0,0,0,0,0,[!#1][CH]([!#1])[CH2]C(=O)[CH3]
KLEK_13,5,0,0,7,0,[!#1][CH]([!#1])[CH2]N([!#1])[CH2][CH]([!#1])[!#1]
KLEK_14,250,186,99,302,65,[!#1][CH]([!#1])[CH3]
KLEK_15,0,0,0,0,0,[!#1][CH]([!#1])[N+](=O)[O-]
KLEK_16,101,16,13,335,4,[!#1][CH]([!#1])[NH]C(=O)[!#1]
KLEK_17,261,52,306,69,44,[!#1][CH]([!#1])[OH]
KLEK_18,23,9,5,18,9,[!#1][CH]([!#1])C([!#1])([!#1])[!#1]
KLEK_19,0,0,2,2,0,[!#1][CH]([!#1])C([!#1])([CH3])[CH3]
KLEK_20,175,102,5,169,41,[!#1][CH]([!#1])C(=O)[!#1]
KLEK_21,0,0,0,0,0,[!#1][CH]([!#1])C(=O)[CH]([!#1])[!#1]
KLEK_22,0,0,0,0,0,[!#1][CH]([!#1])C(=O)[CH2]C([CH3])([CH3])[CH2]C([!#1])([!#1])[!#1]
KLEK_23,0,0,0,0,0,[!#1][CH]([!#1])C(=O)[CH3]
KLEK_24,0,0,0,0,0,[!#1][CH]([!#1])C(=O)[NH][NH]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2][CH3]
KLEK_25,2,1,1,23,33,[!#1][CH]([!#1])C(=O)[OH]
KLEK_26,0,0,1,0,0,[!#1][CH]([!#1])C(=O)c1[cH][cH][cH][cH][cH]1
KLEK_27,0,8,2,2,2,[!#1][CH]([!#1])C(=O)c1[cH][cH]c([!#1])[cH][cH]1
KLEK_28,0,2,0,0,0,[!#1][CH]([!#1])C(=O)c1[cH][cH]c(Cl)[cH][cH]1
KLEK_29,0,0,0,0,0,[!#1][CH]([!#1])C(=O)c1c([CH3])[cH]c([CH3])[nH]c1=O
KLEK_30,0,0,0,0,0,[!#1][CH]([!#1])C(=O)c1c([CH3])[nH]c2[cH][cH][cH][cH]c12
KLEK_31,0,0,0,0,0,[!#1][CH]([!#1])C(=O)c1c([OH])[cH]c([CH3])oc1=O
KLEK_32,0,0,0,0,0,[!#1][CH]([!#1])C(=O)O[CH2][CH2]N([CH2][CH3])[CH2][CH3]
KLEK_33,43,44,17,26,35,[!#1][CH]([!#1])c1[cH][cH][cH][cH][cH]1
KLEK_34,59,78,12,82,43,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1[!#1]
KLEK_35,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1[N+](=O)[O-]
KLEK_36,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1[OH]
KLEK_37,1,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1Cl
KLEK_38,0,0,0,1,0,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1F
KLEK_39,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1N([!#1])c2[cH][cH][cH][cH]c2[CH]([!#1])[!#1]
KLEK_40,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]
KLEK_41,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH][cH]c(Br)[cH]1
KLEK_42,0,0,6,0,0,[!#1][CH]([!#1])c1[cH][cH][cH]n[cH]1
KLEK_43,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH][cH]o1
KLEK_44,1,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH][cH]s1
KLEK_45,12,12,4,25,32,[!#1][CH]([!#1])c1[cH][cH]c([!#1])[cH][cH]1
KLEK_46,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH]c([!#1])o1
KLEK_47,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH]c([cH][cH]1)[CH]([!#1])[!#1]
KLEK_48,1,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]
KLEK_49,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH]c([cH][cH]1)N([!#1])[CH3]
KLEK_50,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH]c([CH3])[cH]c1[CH3]
KLEK_51,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH]c([CH3])o1
KLEK_52,1,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH]c([OH])[cH][cH]1
KLEK_53,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH]c(Br)[cH][cH]1
KLEK_54,0,0,0,5,17,[!#1][CH]([!#1])c1[cH][cH]c(Cl)[cH][cH]1
KLEK_55,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH]c(Cl)[cH]c1Cl
KLEK_56,3,10,0,12,10,[!#1][CH]([!#1])c1[cH][cH]c(F)[cH][cH]1
KLEK_57,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH]c2O[CH2]Oc2[cH]1
KLEK_58,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH]n[cH][cH]1
KLEK_59,27,4,0,3,0,[!#1][CH]([!#1])c1[cH][nH]c2[cH][cH][cH][cH]c12
KLEK_60,0,0,0,0,0,[!#1][CH]([!#1])c1[cH]c([!#1])nn1[!#1]
KLEK_61,0,0,0,0,0,[!#1][CH]([!#1])c1[cH]c([cH][cH]c1[OH])[N+](=O)[O-]
KLEK_62,0,0,0,0,0,[!#1][CH]([!#1])c1[cH]c(Br)[cH]c(Br)c1[OH]
KLEK_63,0,0,0,0,0,[!#1][CH]([!#1])C1=C([OH])[CH2]C([CH3])([CH3])[CH2]C1=O
KLEK_64,0,0,0,0,0,[!#1][CH]([!#1])c1c([OH])[cH][cH]c2[cH][cH][cH][cH]c12
KLEK_65,0,0,0,0,0,[!#1][CH]([!#1])c1c2[cH][cH][cH][cH]c2[cH]c3[cH][cH][cH][cH]c13
KLEK_66,0,0,0,0,0,[!#1][CH]([!#1])c1sc2[cH][cH][cH][cH]c2[n+]1[CH2][CH2][CH2]S(=O)(=O)[OH]
