KEYS,5ht1a,5ht7,beta2,d2,h1,SMARTS
KLEK_1,2806,1298,705,5448,998,[!#1][CH]([!#1])[!#1]
KLEK_2,338,117,71,760,96,[!#1][CH]([!#1])[CH]([!#1])[!#1]
KLEK_3,0,0,0,0,0,[!#1][CH]([!#1])[CH]([!#1])C([CH3])([CH3])[CH3]
KLEK_4,0,0,0,0,0,[!#1][CH]([!#1])[CH](C(=O)O[CH3])C(=O)O[CH3]
KLEK_5,0,0,0,0,0,[!#1][CH]([!#1])[CH]1[CH2][CH]([CH]([!#1])[!#1])[CH]([CH]1C(=O)[!#1])C(=O)[OH]
KLEK_6,0,0,0,0,0,[!#1][CH]([!#1])[CH2][CH]([CH]([CH2][CH]([!#1])[!#1])C(=O)[!#1])C(=O)[!#1]
KLEK_7,5,4,6,14,1,[!#1][CH]([!#1])[CH2][CH2][CH3]
KLEK_8,1,0,0,2,2,[!#1][CH]([!#1])[CH2][CH2]C([!#1])([!#1])[CH3]
KLEK_9,0,0,0,0,0,[!#1][CH]([!#1])[CH2]C(=N[NH]C(=S)[NH2])[CH2][CH3]
KLEK_10,57,15,1,225,17,[!#1][CH]([!#1])[CH2]C(=O)[!#1]
KLEK_11,0,0,0,0,0,[!#1][CH]([!#1])[CH2]C(=O)[CH2][CH3]
KLEK_12,0,0,0,0,0,[!#1][CH]([!#1])[CH2]C(=O)[CH3]
KLEK_13,6,0,0,26,0,[!#1][CH]([!#1])[CH2]N([!#1])[CH2][CH]([!#1])[!#1]
KLEK_14,430,319,254,761,205,[!#1][CH]([!#1])[CH3]
KLEK_15,0,0,0,0,0,[!#1][CH]([!#1])[N+](=O)[O-]
KLEK_16,140,53,24,949,51,[!#1][CH]([!#1])[NH]C(=O)[!#1]
KLEK_17,406,107,630,310,70,[!#1][CH]([!#1])[OH]
KLEK_18,48,33,12,73,28,[!#1][CH]([!#1])C([!#1])([!#1])[!#1]
KLEK_19,1,0,2,13,1,[!#1][CH]([!#1])C([!#1])([CH3])[CH3]
KLEK_20,259,171,21,417,172,[!#1][CH]([!#1])C(=O)[!#1]
KLEK_21,1,0,0,0,1,[!#1][CH]([!#1])C(=O)[CH]([!#1])[!#1]
KLEK_22,0,0,0,0,0,[!#1][CH]([!#1])C(=O)[CH2]C([CH3])([CH3])[CH2]C([!#1])([!#1])[!#1]
KLEK_23,0,0,0,0,0,[!#1][CH]([!#1])C(=O)[CH3]
KLEK_24,0,0,0,0,0,[!#1][CH]([!#1])C(=O)[NH][NH]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2][CH3]
KLEK_25,6,1,7,31,55,[!#1][CH]([!#1])C(=O)[OH]
KLEK_26,0,0,2,0,0,[!#1][CH]([!#1])C(=O)c1[cH][cH][cH][cH][cH]1
KLEK_27,2,10,2,25,64,[!#1][CH]([!#1])C(=O)c1[cH][cH]c([!#1])[cH][cH]1
KLEK_28,0,2,0,0,0,[!#1][CH]([!#1])C(=O)c1[cH][cH]c(Cl)[cH][cH]1
KLEK_29,0,0,0,0,0,[!#1][CH]([!#1])C(=O)c1c([CH3])[cH]c([CH3])[nH]c1=O
KLEK_30,0,0,0,0,0,[!#1][CH]([!#1])C(=O)c1c([CH3])[nH]c2[cH][cH][cH][cH]c12
KLEK_31,0,0,0,0,0,[!#1][CH]([!#1])C(=O)c1c([OH])[cH]c([CH3])oc1=O
KLEK_32,0,0,0,0,0,[!#1][CH]([!#1])C(=O)O[CH2][CH2]N([CH2][CH3])[CH2][CH3]
KLEK_33,92,72,19,218,81,[!#1][CH]([!#1])c1[cH][cH][cH][cH][cH]1
KLEK_34,132,103,19,248,58,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1[!#1]
KLEK_35,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1[N+](=O)[O-]
KLEK_36,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1[OH]
KLEK_37,1,0,1,1,0,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1Cl
KLEK_38,0,0,0,1,1,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1F
KLEK_39,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1N([!#1])c2[cH][cH][cH][cH]c2[CH]([!#1])[!#1]
KLEK_40,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]
KLEK_41,0,0,0,1,0,[!#1][CH]([!#1])c1[cH][cH][cH]c(Br)[cH]1
KLEK_42,0,0,8,0,3,[!#1][CH]([!#1])c1[cH][cH][cH]n[cH]1
KLEK_43,4,4,2,1,1,[!#1][CH]([!#1])c1[cH][cH][cH]o1
KLEK_44,3,0,0,0,1,[!#1][CH]([!#1])c1[cH][cH][cH]s1
KLEK_45,40,39,14,248,54,[!#1][CH]([!#1])c1[cH][cH]c([!#1])[cH][cH]1
KLEK_46,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH]c([!#1])o1
KLEK_47,0,0,0,0,1,[!#1][CH]([!#1])c1[cH][cH]c([cH][cH]1)[CH]([!#1])[!#1]
KLEK_48,2,0,0,0,1,[!#1][CH]([!#1])c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]
KLEK_49,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH]c([cH][cH]1)N([!#1])[CH3]
KLEK_50,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH]c([CH3])[cH]c1[CH3]
KLEK_51,0,0,0,0,0,[!#1][CH]([!#1])c1[cH][cH]c([CH3])o1
KLEK_52,5,4,1,3,0,[!#1][CH]([!#1])c1[cH][cH]c([OH])[cH][cH]1
KLEK_53,0,0,0,4,2,[!#1][CH]([!#1])c1[cH][cH]c(Br)[cH][cH]1
KLEK_54,6,3,4,30,22,[!#1][CH]([!#1])c1[cH][cH]c(Cl)[cH][cH]1
KLEK_55,0,0,0,2,0,[!#1][CH]([!#1])c1[cH][cH]c(Cl)[cH]c1Cl
KLEK_56,9,22,2,57,16,[!#1][CH]([!#1])c1[cH][cH]c(F)[cH][cH]1
KLEK_57,1,1,0,0,0,[!#1][CH]([!#1])c1[cH][cH]c2O[CH2]Oc2[cH]1
KLEK_58,0,0,0,0,2,[!#1][CH]([!#1])c1[cH][cH]n[cH][cH]1
KLEK_59,36,17,0,14,0,[!#1][CH]([!#1])c1[cH][nH]c2[cH][cH][cH][cH]c12
KLEK_60,0,0,0,0,0,[!#1][CH]([!#1])c1[cH]c([!#1])nn1[!#1]
KLEK_61,0,0,0,0,0,[!#1][CH]([!#1])c1[cH]c([cH][cH]c1[OH])[N+](=O)[O-]
KLEK_62,0,0,0,0,0,[!#1][CH]([!#1])c1[cH]c(Br)[cH]c(Br)c1[OH]
KLEK_63,0,0,0,0,0,[!#1][CH]([!#1])C1=C([OH])[CH2]C([CH3])([CH3])[CH2]C1=O
KLEK_64,0,0,0,0,0,[!#1][CH]([!#1])c1c([OH])[cH][cH]c2[cH][cH][cH][cH]c12
KLEK_65,0,0,0,0,0,[!#1][CH]([!#1])c1c2[cH][cH][cH][cH]c2[cH]c3[cH][cH][cH][cH]c13
KLEK_66,0,0,0,0,0,[!#1][CH]([!#1])c1sc2[cH][cH][cH][cH]c2[n+]1[CH2][CH2][CH2]S(=O)(=O)[OH]
KLEK_67,175,140,10,341,62,[!#1][CH]([!#1])N([!#1])[CH3]
KLEK_68,1,1,0,12,0,[!#1][CH]([!#1])N([!#1])c1[cH][cH][cH][cH][cH]1
KLEK_69,38,35,0,17,9,[!#1][CH]([!#1])N([CH3])[CH3]
KLEK_70,0,2,0,0,0,[!#1][CH]([!#1])N1[CH2][CH2]O[CH2][CH2]1
KLEK_71,0,0,0,0,3,[!#1][CH]([!#1])O[CH2][CH2]N([CH3])[CH3]
KLEK_72,4,6,23,13,3,[!#1][CH]([!#1])OC(=O)[!#1]
KLEK_73,5,8,0,23,1,[!#1][CH]([!#1])S(=O)(=O)[!#1]
KLEK_74,0,0,1,0,0,[!#1][CH]([CH]([CH3])[CH3])C(=O)[OH]
KLEK_75,0,0,0,0,0,[!#1][CH]([CH]=[CH]c1[cH][cH]c(Cl)[cH]c1Cl)C([CH3])([CH3])[CH3]
KLEK_76,0,0,0,0,0,[!#1][CH]([CH2][CH2]C(=O)[OH])C(=O)[OH]
