KEYS,5ht1a,5ht7,beta2,d2,h1,SMARTS
KLEK_0,2806,1298,705,5448,998,[!#1][CH]([!#1])[!#1]
KLEK_1,338,117,71,760,96,[!#1][CH]([!#1])[CH]([!#1])[!#1]
KLEK_2,0,0,0,0,0,[!#1][CH]([!#1])[CH]([!#1])C([CH3])([CH3])[CH3]
KLEK_3,0,0,0,0,0,[!#1][CH]([!#1])[CH](C(=O)O[CH3])C(=O)O[CH3]
KLEK_4,0,0,0,0,0,[!#1][CH]([!#1])[CH]1[CH2][CH]([CH]([!#1])[!#1])[CH]([CH]1C(=O)[!#1])C(=O)[OH]
KLEK_5,0,0,0,0,0,[!#1][CH]([!#1])[CH2][CH]([CH]([CH2][CH]([!#1])[!#1])C(=O)[!#1])C(=O)[!#1]
KLEK_6,5,4,6,14,1,[!#1][CH]([!#1])[CH2][CH2][CH3]
KLEK_7,1,0,0,2,2,[!#1][CH]([!#1])[CH2][CH2]C([!#1])([!#1])[CH3]
KLEK_8,0,0,0,0,0,[!#1][CH]([!#1])[CH2]C(=N[NH]C(=S)[NH2])[CH2][CH3]
KLEK_9,57,15,1,225,17,[!#1][CH]([!#1])[CH2]C(=O)[!#1]
KLEK_10,0,0,0,0,0,[!#1][CH]([!#1])[CH2]C(=O)[CH2][CH3]
KLEK_11,0,0,0,0,0,[!#1][CH]([!#1])[CH2]C(=O)[CH3]
KLEK_12,6,0,0,26,0,[!#1][CH]([!#1])[CH2]N([!#1])[CH2][CH]([!#1])[!#1]
KLEK_13,430,319,254,761,205,[!#1][CH]([!#1])[CH3]
KLEK_14,0,0,0,0,0,[!#1][CH]([!#1])[N+](=O)[O-]
KLEK_15,140,53,24,949,51,[!#1][CH]([!#1])[NH]C(=O)[!#1]
KLEK_16,406,107,630,310,70,[!#1][CH]([!#1])[OH]
KLEK_17,48,33,12,73,28,[!#1][CH]([!#1])C([!#1])([!#1])[!#1]
KLEK_18,1,0,2,13,1,[!#1][CH]([!#1])C([!#1])([CH3])[CH3]
KLEK_19,259,171,21,417,172,[!#1][CH]([!#1])C(=O)[!#1]
KLEK_20,1,0,0,0,1,[!#1][CH]([!#1])C(=O)[CH]([!#1])[!#1]
