SMILES,Class,Ki,fps
Oc1ccc(cc1)-c1ccc(CNCCc2c[nH]c3cc(F)ccc23)o1,0,2730.0,"[296, 340, 382, 466, 475, 676, 1147, 1641, 1644, 1661, 1768, 1819, 2259, 2948, 2974, 3053, 3077, 3158, 3183, 3223, 3489, 3609, 3674, 3749, 3772, 3881, 3925, 4031, 4066, 4079, 4287, 4330]"
O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(CC1)c1nsc2ccccc12,1,0.5,"[0, 1, 19, 211, 296, 297, 340, 343, 345, 437, 604, 609, 619, 1192, 1565, 2261, 2264, 2427, 2974, 3024, 3073, 3148, 3149, 3155, 3178, 3223, 3294, 3368, 3374, 3384, 3389, 3392, 3395, 3397, 3454, 3503, 3592, 3639, 3646, 3647, 3658, 3659, 3662, 3670, 3691, 3692, 3697, 3700, 3705, 3706, 3708, 3711, 3712, 3717, 3718, 3720, 3721, 3724, 3725, 3728, 3732, 3734, 3739, 3740, 3741, 3749, 3750, 3751, 3755, 3756, 3762, 3772, 3774, 3776, 3780, 3781, 3881, 3883, 3888, 3913, 3920, 3925, 3927, 3941, 4079, 4168, 4236, 4293, 4330, 4387, 4410, 4491, 4494, 4518, 4524]"
CNCc1cc2OCOc2c(c1)-c1ccccc1OC,0,1476.0,"[296, 466, 646, 668, 676, 809, 1565, 1587, 1931, 2546, 2666, 2694, 2974, 3221, 3558, 3559, 3571, 3590, 3881, 3925, 3955, 3999, 4004, 4079, 4286, 4330, 4769]"
O=C1NCN(c2ccccc2)C11CCN(CCCCc2nc3ccccc3o2)CC1,0,1584.89,"[296, 340, 343, 345, 437, 466, 479, 604, 619, 676, 838, 1153, 1192, 1563, 1565, 2192, 2261, 2266, 2974, 3024, 3156, 3194, 3206, 3223, 3294, 3352, 3368, 3374, 3395, 3401, 3454, 3639, 3646, 3647, 3658, 3659, 3660, 3670, 3691, 3692, 3700, 3705, 3728, 3732, 3739, 3740, 3749, 3750, 3751, 3756, 3772, 3781, 3881, 3883, 3891, 3914, 3925, 3927, 3935, 3936, 3941, 3942, 3944, 4079, 4236, 4280, 4285, 4293, 4330]"
Cl.Fc1ccc2CC(CCN3CCc4ccccc4C3)Cc2c1,1,86.0,"[0, 296, 297, 340, 437, 604, 619, 1565, 1644, 2259, 2261, 2974, 3080, 3223, 3368, 3547, 3585, 3595, 3639, 3658, 3681, 3691, 3703, 3709, 3732, 3739, 3740, 3749, 3750, 3751, 3772, 3781, 3820, 3881, 3883, 3925, 4031, 4066, 4079, 4286]"
O=C(CCCN1CCc2ccccc2C1)c1ccc(cc1)C#N,0,755.0,"[296, 340, 343, 367, 400, 437, 503, 550, 604, 619, 1152, 1192, 1451, 1565, 1641, 2261, 2974, 2976, 3024, 3080, 3223, 3275, 3282, 3454, 3528, 3533, 3595, 3639, 3644, 3670, 3681, 3691, 3700, 3703, 3709, 3732, 3739, 3740, 3749, 3750, 3751, 3772, 3781, 3881, 3883, 3925, 4079, 4080, 4286, 4330]"
Cc1cc(-c2ccc3CCN(CCCSc4nnc(-c5cccc6nc(C)ccc56)n4C)CCc3c2)n(C)n1,0,1995.26,"[296, 340, 343, 380, 437, 457, 604, 619, 664, 668, 1591, 1644, 1646, 1944, 2217, 2261, 2854, 2974, 3142, 3223, 3568, 3595, 3607, 3639, 3681, 3739, 3740, 3749, 3750, 3751, 3756, 3772, 3781, 3808, 3881, 3883, 3915, 3925, 4018, 4079, 4842]"
CCn1cncc1-c1c[nH]c2ccc(Br)cc12,1,20.0,"[296, 465, 668, 1149, 1644, 1775, 1921, 2949, 2968, 2974, 3053, 3077, 3223]"
Clc1ccccc1-c1c2CCCCn2c(=O)n(CCCCN2CCCC(C2)c2c[nH]c3ccccc23)c1=O,0,1361.0,"[0, 58, 222, 296, 297, 340, 343, 345, 437, 604, 619, 1565, 1582, 1919, 2258, 2261, 2974, 3053, 3077, 3156, 3179, 3223, 3489, 3616, 3639, 3674, 3691, 3701, 3705, 3728, 3732, 3739, 3740, 3749, 3750, 3751, 3756, 3772, 3781, 3820, 3868, 3881, 3883, 3914, 3925, 4079, 4330]"
CCn1cncc1-c1c[nH]c2ccc(Cl)c(F)c12,1,53.0,"[296, 465, 668, 1645, 2258, 2259, 2974, 3053, 3077, 3223, 3820, 3868, 4031, 4066, 4070]"
COc1ccccc1-c1cc(CN2CCC(C)CC2)cc2OCOc12,0,691.0,"[0, 13, 231, 296, 297, 298, 340, 437, 604, 619, 637, 646, 668, 1565, 1587, 1931, 2261, 2407, 2546, 2666, 2694, 2974, 3156, 3221, 3223, 3368, 3558, 3559, 3571, 3590, 3639, 3658, 3659, 3691, 3705, 3728, 3732, 3739, 3740, 3749, 3750, 3751, 3772, 3781, 3881, 3883, 3914, 3925, 3955, 3999, 4004, 4079, 4286, 4330, 4769]"
Fc1ccc(cc1)S(=O)(=O)NCC1CCN(CCOc2ccccc2-c2ccccc2)CC1,1,13.0,"[0, 231, 296, 297, 340, 432, 437, 443, 466, 491, 604, 619, 637, 646, 676, 757, 1138, 1143, 1144, 1563, 1565, 1577, 1641, 1723, 1797, 2259, 2261, 2546, 2694, 2780, 2854, 2885, 2974, 3156, 3223, 3368, 3395, 3639, 3658, 3659, 3691, 3705, 3728, 3732, 3735, 3739, 3740, 3742, 3749, 3750, 3751, 3756, 3772, 3781, 3785, 3786, 3787, 3881, 3883, 3914, 3925, 3947, 3954, 3955, 3999, 4031, 4066, 4079, 4294, 4319, 4325, 4327, 4328, 4330, 4590, 4842, 4852]"
O=C(CCOCCN1CCN(CC1)c1ccccc1-c1ccccc1)NCc1ccc(cc1)C#N,1,16.0,"[296, 340, 400, 402, 432, 437, 443, 466, 479, 482, 503, 505, 581, 604, 619, 646, 647, 676, 838, 1152, 1192, 1563, 1565, 1577, 1641, 2261, 2427, 2434, 2546, 2974, 2976, 3024, 3162, 3178, 3223, 3294, 3454, 3528, 3639, 3646, 3647, 3670, 3739, 3743, 3749, 3750, 3751, 3756, 3762, 3772, 3781, 3785, 3787, 3788, 3881, 3883, 3891, 3918, 3920, 3925, 3927, 3941, 3942, 3947, 3955, 3956, 4079, 4080, 4236, 4286, 4292, 4293, 4294, 4330]"
O=C(CCCN1CCc2ccccc2C1)c1ccc2NC(=O)Cc2c1,0,127.0,"[296, 340, 343, 367, 400, 437, 503, 505, 604, 619, 676, 838, 1192, 1565, 1644, 2261, 2974, 3024, 3080, 3081, 3223, 3279, 3282, 3294, 3454, 3549, 3552, 3573, 3578, 3595, 3601, 3639, 3644, 3670, 3681, 3691, 3700, 3703, 3709, 3732, 3739, 3740, 3749, 3750, 3751, 3772, 3781, 3881, 3883, 3925, 3942, 4079, 4236, 4242, 4286, 4330, 4386, 4515]"
Cl.O=C1C(CCN2CCc3ccccc3C2)Cc2ccccc12,0,265.0,"[0, 19, 296, 297, 301, 340, 437, 604, 619, 1192, 1426, 1565, 2261, 2974, 3024, 3080, 3223, 3282, 3368, 3374, 3454, 3595, 3597, 3639, 3644, 3658, 3670, 3681, 3691, 3700, 3703, 3709, 3732, 3739, 3740, 3749, 3750, 3751, 3772, 3781, 3820, 3881, 3883, 3925, 4079, 4286, 4330, 4520]"
CC(=O)c1ccccc1N1CCN(CCCCC23CCCc4cccc(NC2=O)c34)CC1,1,7.943,"[296, 340, 343, 345, 437, 604, 619, 668, 676, 838, 1153, 1192, 1262, 1426, 1565, 1573, 1591, 2261, 2427, 2434, 2974, 3024, 3081, 3162, 3178, 3223, 3282, 3294, 3348, 3368, 3374, 3381, 3395, 3454, 3586, 3589, 3595, 3601, 3639, 3646, 3658, 3659, 3670, 3681, 3691, 3692, 3697, 3700, 3703, 3705, 3706, 3708, 3709, 3711, 3712, 3717, 3718, 3721, 3728, 3732, 3739, 3740, 3749, 3750, 3751, 3756, 3762, 3772, 3781, 3881, 3883, 3891, 3918, 3920, 3925, 3942, 4079, 4236, 4293, 4330, 4386, 4515]"
O=S(=O)(NCCCCN1CCc2ccccc2C1)c1ccc2ncccc2c1,0,224.0,"[296, 340, 343, 345, 362, 364, 382, 395, 437, 466, 491, 604, 619, 676, 1138, 1143, 1144, 1565, 1633, 1644, 1873, 2261, 2780, 2854, 2974, 3080, 3142, 3223, 3595, 3639, 3681, 3691, 3732, 3735, 3739, 3740, 3742, 3749, 3750, 3751, 3772, 3781, 3786, 3881, 3883, 3925, 3954, 4079, 4286, 4319, 4325, 4327, 4328, 4330, 4590, 4842, 4852]"
C[C@H](Nc1ccnc(NCCc2ccccc2)c1)c1ccccc1,1,0.3,"[0, 13, 32, 100, 296, 340, 382, 412, 466, 565, 668, 676, 677, 682, 707, 779, 1563, 1908, 2974, 3223, 3414, 3681, 3749, 3881, 4079, 4268, 4286]"
C1Cc2[nH]nc(c2CCN1)-c1ccccc1,0,322.0,"[296, 340, 382, 466, 475, 676, 1563, 2141, 2974, 3051, 3168, 3223, 3611, 3749, 3772, 3781, 3881, 3925, 4079]"
O=C1Nc2cccc3CCCC1(CCCCN1CCc4c(C1)[nH]c1ccccc41)c23,1,5.754,"[296, 340, 343, 345, 437, 604, 619, 676, 838, 1153, 1192, 1565, 1591, 2036, 2037, 2261, 2974, 3024, 3053, 3065, 3077, 3081, 3223, 3294, 3348, 3368, 3374, 3381, 3395, 3454, 3477, 3489, 3522, 3563, 3586, 3589, 3595, 3601, 3639, 3646, 3658, 3659, 3670, 3674, 3681, 3691, 3692, 3697, 3700, 3703, 3705, 3706, 3708, 3709, 3711, 3712, 3717, 3718, 3721, 3728, 3732, 3739, 3740, 3749, 3750, 3751, 3772, 3781, 3881, 3883, 3925, 3942, 4079, 4236, 4330, 4386, 4515]"
CNc1ccccc1C1=N[C@@H](CO)[C@H](C)S1,0,10000.0,"[0, 1, 13, 296, 297, 493, 668, 676, 809, 972, 1147, 1565, 2854, 2855, 2948, 2974, 3012, 3223, 3401, 3601, 3639, 3660, 3691, 3736, 3739, 3743, 3749, 3767, 3787, 3808, 3815, 3881, 3906, 3942, 3955, 4018, 4079, 4112, 4294, 4295, 4330, 4842, 4856]"
Cl.Cl.Cl.Clc1cccc(c1)N1CCN(CCCCn2cnc3c4ccccc4ncc3c2=O)CC1,0,184.0,"[296, 340, 343, 345, 437, 604, 619, 1565, 1590, 1615, 2258, 2261, 2427, 2974, 3106, 3142, 3162, 3178, 3179, 3223, 3639, 3691, 3732, 3739, 3740, 3749, 3750, 3751, 3756, 3762, 3772, 3781, 3820, 3868, 3881, 3883, 3891, 3918, 3920, 3925, 3942, 4079, 4258, 4293, 4330]"
COc1c(OCCF)cccc1C(=O)C1CCN(CCc2ccc(cc2)[N+]([O-])=O)CC1,0,6241.0,"[0, 19, 231, 296, 297, 301, 340, 437, 443, 581, 582, 604, 619, 637, 646, 668, 671, 1146, 1192, 1591, 1641, 1669, 2259, 2261, 2379, 2546, 2589, 2666, 2933, 2974, 3024, 3156, 3223, 3282, 3284, 3368, 3374, 3454, 3535, 3549, 3590, 3605, 3639, 3644, 3658, 3659, 3664, 3670, 3681, 3691, 3700, 3703, 3705, 3709, 3728, 3732, 3739, 3740, 3749, 3750, 3751, 3756, 3772, 3781, 3787, 3881, 3883, 3914, 3925, 3955, 3999, 4004, 4005, 4031, 4079, 4116, 4330, 4746, 4762, 4769, 4823, 4832]"
C[C@H](Nc1nc(F)nc(NCCOc2ccccc2)n1)c1ccccc1,1,10.0,"[0, 13, 32, 100, 296, 340, 382, 443, 466, 646, 668, 676, 677, 682, 707, 785, 1104, 1563, 2154, 2259, 2546, 2693, 2974, 3214, 3223, 3414, 3681, 3749, 3787, 3881, 3943, 3955, 3999, 4031, 4079, 4278, 4286, 4294, 4330]"
COc1ccc2[nH]c(c(CCN(C)C)c2c1)-c1ccccc1,0,155.0,"[296, 340, 434, 441, 607, 628, 668, 1563, 1644, 2036, 2038, 2261, 2263, 2305, 2546, 2666, 2974, 3053, 3077, 3223, 3489, 3673, 3674, 3749, 3750, 3772, 3881, 3883, 3925, 3955, 3989, 3999, 4079, 4330]"
NC(=O)Cn1c2CN(CCCCC34CCCc5cccc(NC3=O)c45)CCc2c2ccccc12,1,8.71,"[296, 340, 343, 345, 437, 503, 546, 604, 619, 676, 838, 1145, 1153, 1192, 1404, 1565, 1591, 2067, 2261, 2974, 3024, 3081, 3223, 3294, 3348, 3368, 3374, 3381, 3395, 3454, 3523, 3586, 3589, 3595, 3601, 3639, 3646, 3658, 3659, 3670, 3681, 3691, 3692, 3697, 3700, 3703, 3705, 3706, 3708, 3709, 3711, 3712, 3717, 3718, 3721, 3728, 3732, 3739, 3740, 3749, 3750, 3751, 3772, 3781, 3881, 3883, 3925, 3942, 4079, 4236, 4330, 4386, 4515]"
Cl.CC1(NC(=O)N(CC(O)CN2CCN(CC2)c2ccccc2C#N)C1=O)c1ccc(Cl)cc1,1,9.0,"[0, 16, 296, 297, 299, 325, 330, 340, 437, 604, 609, 619, 668, 676, 820, 821, 822, 838, 1147, 1152, 1153, 1155, 1192, 1310, 1406, 1565, 1572, 1641, 1785, 2258, 2261, 2264, 2427, 2434, 2948, 2974, 2976, 3024, 3162, 3178, 3223, 3294, 3381, 3401, 3403, 3407, 3414, 3417, 3433, 3434, 3454, 3545, 3601, 3639, 3646, 3647, 3670, 3681, 3739, 3740, 3741, 3749, 3750, 3751, 3755, 3756, 3758, 3762, 3766, 3772, 3774, 3776, 3778, 3780, 3781, 3785, 3787, 3820, 3868, 3881, 3883, 3886, 3888, 3891, 3896, 3918, 3920, 3925, 3927, 3932, 3936, 3941, 3942, 3944, 3945, 3947, 3955, 4079, 4080, 4192, 4196, 4236, 4280, 4285, 4286, 4293, 4294, 4330, 4515, 4530, 4825]"
CCOc1ccccc1N1CCN(CCCCCCN2C(=O)c3cccc4cccc2c34)CC1,1,84.0,"[296, 340, 343, 345, 346, 347, 359, 425, 437, 465, 604, 609, 619, 646, 668, 1192, 1565, 1591, 1622, 2261, 2264, 2427, 2434, 2546, 2594, 2694, 2974, 3024, 3138, 3162, 3178, 3223, 3591, 3639, 3691, 3705, 3711, 3725, 3728, 3732, 3734, 3739, 3740, 3741, 3749, 3750, 3751, 3756, 3762, 3768, 3772, 3780, 3781, 3787, 3881, 3883, 3891, 3918, 3920, 3925, 3941, 3942, 3955, 3999, 4003, 4079, 4167, 4236, 4261, 4267, 4286, 4293, 4330, 4447, 4493, 4550]"
CC(NCCC(c1ccco1)c1ccc(C)cc1)c1ccc(Cl)cc1,0,8400.0,"[0, 13, 42, 44, 53, 296, 297, 340, 382, 466, 668, 676, 677, 682, 1636, 1641, 1749, 1785, 2258, 2974, 3158, 3223, 3414, 3528, 3545, 3609, 3639, 3681, 3703, 3739, 3749, 3772, 3781, 3820, 3868, 3881, 3925, 4079, 4286]"
Cl.COc1cc2CCN(CCCCc3nc4cc(Cl)ccc4s3)Cc2cc1OC,1,67.0,"[296, 340, 343, 345, 437, 604, 619, 668, 1644, 1786, 1930, 1998, 2150, 2201, 2258, 2261, 2546, 2666, 2974, 3080, 3199, 3207, 3223, 3558, 3559, 3560, 3590, 3595, 3629, 3639, 3679, 3680, 3681, 3691, 3732, 3739, 3740, 3749, 3750, 3751, 3772, 3781, 3820, 3868, 3881, 3883, 3925, 3955, 3999, 4004, 4005, 4079, 4286, 4330, 4769]"
Cl.Clc1ccc(cc1)C(=CCCN1CCc2ccccc2C1)c1ccc(Cl)cc1,0,497.0,"[296, 340, 437, 604, 619, 1565, 1641, 1785, 2258, 2261, 2974, 2978, 2985, 3080, 3223, 3439, 3545, 3595, 3639, 3681, 3739, 3740, 3749, 3750, 3751, 3772, 3781, 3820, 3868, 3881, 3883, 3925, 4079, 4286]"
Clc1ccc2[nH]cc(C3=CCN(CCNS(=O)(=O)c4ccc5ccccc5c4)CC3)c2c1,1,69.0,"[296, 340, 382, 395, 417, 437, 466, 491, 604, 619, 676, 1138, 1143, 1144, 1565, 1644, 1786, 1823, 1921, 2258, 2261, 2419, 2780, 2839, 2854, 2974, 2985, 3053, 3056, 3077, 3138, 3223, 3439, 3489, 3639, 3674, 3701, 3739, 3740, 3749, 3750, 3751, 3756, 3762, 3772, 3781, 3786, 3820, 3868, 3881, 3883, 3925, 3954, 4079, 4284, 4293, 4319, 4325, 4327, 4328, 4330, 4588, 4590, 4842, 4852]"
O=S(=O)(NC1CCN(CCOc2cccc(c2)-c2ccccc2)CC1)c1ccccc1,0,602.0,"[0, 231, 296, 297, 340, 432, 437, 443, 604, 619, 637, 646, 676, 677, 1138, 1143, 1144, 1563, 1590, 2261, 2546, 2702, 2780, 2819, 2854, 2884, 2974, 3156, 3223, 3401, 3406, 3639, 3660, 3691, 3705, 3728, 3732, 3739, 3740, 3742, 3749, 3750, 3751, 3756, 3772, 3781, 3785, 3786, 3787, 3881, 3883, 3914, 3925, 3947, 3954, 3955, 3999, 4079, 4294, 4319, 4325, 4327, 4328, 4330, 4590, 4842, 4852]"
O=S(=O)(N1CCC[C@H]1CCN1CCN(CC1)c1nsc2ccccc12)c1cccc2ncccc12,1,7.0,"[0, 223, 296, 297, 340, 343, 437, 604, 619, 1565, 1591, 1630, 1633, 2261, 2427, 2780, 2854, 2974, 3142, 3155, 3178, 3223, 3401, 3406, 3639, 3660, 3691, 3705, 3711, 3728, 3732, 3735, 3739, 3740, 3742, 3749, 3750, 3751, 3756, 3762, 3765, 3772, 3781, 3786, 3881, 3883, 3900, 3920, 3925, 3936, 3954, 4079, 4293, 4319, 4325, 4327, 4328, 4330, 4590, 4842, 4852]"
Brc1cccc(OCCN2CCC(CC2)NS(=O)(=O)c2ccccc2)c1I,0,110.0,"[0, 231, 296, 297, 340, 432, 437, 443, 604, 619, 637, 646, 676, 677, 1138, 1143, 1144, 1149, 1563, 1591, 2260, 2261, 2546, 2780, 2819, 2854, 2884, 2949, 2968, 2974, 3156, 3223, 3401, 3406, 3639, 3660, 3691, 3705, 3728, 3732, 3739, 3740, 3742, 3749, 3750, 3751, 3756, 3772, 3781, 3785, 3786, 3787, 3881, 3883, 3914, 3925, 3947, 3954, 3955, 3993, 3999, 4073, 4076, 4079, 4294, 4319, 4325, 4327, 4328, 4330, 4590, 4766, 4842, 4852]"
COc1ccc(CNCCC(c2ccccc2)c2ccc3OCOc3c2)cc1,0,14100.0,"[0, 32, 56, 296, 297, 340, 382, 466, 475, 581, 591, 646, 668, 676, 1563, 1641, 1644, 1810, 1894, 2546, 2666, 2710, 2711, 2759, 2974, 2978, 3221, 3223, 3558, 3559, 3571, 3590, 3639, 3679, 3680, 3681, 3702, 3703, 3739, 3749, 3772, 3881, 3925, 3955, 3999, 4004, 4079, 4286, 4330, 4769]"
COc1ccc(CNCCC(c2ccco2)c2ccccc2OC)cc1,0,10400.0,"[0, 33, 42, 296, 297, 340, 382, 466, 475, 581, 591, 668, 676, 1565, 1587, 1636, 1641, 1810, 2546, 2666, 2694, 2710, 2974, 3158, 3223, 3559, 3605, 3609, 3639, 3681, 3703, 3739, 3749, 3772, 3881, 3925, 3955, 3999, 4079, 4286, 4330]"
Cl.Cl.COc1ccccc1N1CCN(CCCCn2cnc3c4ccccc4ncc3c2=O)CC1,0,276.0,"[296, 340, 343, 345, 425, 437, 604, 619, 668, 1565, 1587, 2261, 2427, 2434, 2435, 2546, 2666, 2694, 2974, 3106, 3142, 3162, 3178, 3179, 3223, 3639, 3691, 3732, 3739, 3740, 3749, 3750, 3751, 3756, 3762, 3772, 3781, 3820, 3881, 3883, 3891, 3918, 3920, 3925, 3942, 3955, 3999, 4003, 4079, 4267, 4293, 4330]"
CCCCCCCCOc1ccc(cc1)C1=N[C@@H](CO)[C@H](C)S1,0,10000.0,"[0, 1, 13, 296, 297, 340, 343, 345, 346, 347, 348, 349, 353, 361, 374, 381, 443, 465, 493, 646, 668, 1147, 1641, 2546, 2710, 2854, 2855, 2948, 2974, 3012, 3223, 3401, 3559, 3639, 3660, 3691, 3705, 3711, 3718, 3721, 3726, 3729, 3736, 3739, 3743, 3749, 3767, 3787, 3808, 3815, 3881, 3906, 3955, 3999, 4018, 4079, 4112, 4294, 4295, 4330, 4712, 4842, 4856]"
Cl.Cl.COc1ccc(cc1)N1CCN(CCCOc2c(C)cc(C)cc2C)CC1,0,3027.0,"[296, 340, 343, 374, 427, 437, 443, 604, 619, 646, 668, 1641, 1810, 1931, 2083, 2261, 2427, 2437, 2546, 2666, 2710, 2974, 3162, 3178, 3223, 3509, 3553, 3559, 3573, 3605, 3639, 3739, 3740, 3743, 3749, 3750, 3751, 3756, 3762, 3772, 3781, 3787, 3820, 3881, 3883, 3891, 3918, 3920, 3925, 3942, 3955, 3999, 4079, 4253, 4292, 4293, 4330]"
CSc1ccccc1OCCN1CCC(C1)NS(=O)(=O)c1cccc(Cl)c1,1,15.0,"[0, 296, 297, 340, 432, 437, 443, 604, 619, 646, 668, 676, 677, 1138, 1143, 1144, 1565, 1590, 1605, 1615, 2258, 2261, 2546, 2694, 2780, 2854, 2875, 2974, 3155, 3223, 3401, 3406, 3639, 3660, 3691, 3732, 3739, 3740, 3742, 3749, 3750, 3751, 3756, 3762, 3772, 3781, 3785, 3786, 3787, 3820, 3868, 3881, 3883, 3913, 3925, 3947, 3954, 3955, 3999, 4018, 4027, 4079, 4293, 4294, 4319, 4325, 4327, 4328, 4330, 4590, 4842, 4852]"
