SMILES,Class,Ki,fps
CCc1cc2CC(Cc2cc1CC)NC[C@H](O)c1ccc(O)c2NC(=O)CCc12,1,45.0,"[0, 16, 296, 297, 299, 340, 400, 402, 465, 466, 503, 505, 668, 676, 677, 757, 838, 1147, 1192, 1645, 1930, 2948, 2974, 3024, 3176, 3223, 3294, 3401, 3429, 3454, 3527, 3528, 3559, 3560, 3573, 3586, 3589, 3590, 3595, 3601, 3639, 3646, 3670, 3680, 3681, 3703, 3739, 3749, 3772, 3781, 3785, 3787, 3881, 3925, 3936, 3942, 3947, 3955, 4079, 4236, 4267, 4294, 4330, 4520, 4768, 4812]"
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,0,570.0,"[0, 16, 296, 297, 299, 466, 476, 668, 676, 757, 820, 821, 825, 828, 1145, 1147, 1153, 1155, 1159, 1172, 1931, 1988, 2258, 2948, 2974, 3223, 3352, 3368, 3401, 3429, 3549, 3584, 3639, 3681, 3749, 3772, 3781, 3785, 3787, 3820, 3865, 3868, 3881, 3925, 3935, 3936, 3947, 3955, 4079, 4266, 4294, 4330, 4812]"
NC(=O)C([C@@H]1CCN(CCc2ccc3OCCc3c2)C1)(c1ccccc1)c1ccccc1,1,15.9,"[0, 17, 296, 297, 340, 437, 443, 604, 619, 646, 1145, 1153, 1157, 1192, 1404, 1563, 1644, 2261, 2546, 2711, 2974, 2978, 3024, 3155, 3223, 3294, 3368, 3381, 3384, 3389, 3395, 3454, 3553, 3559, 3573, 3605, 3639, 3646, 3658, 3659, 3670, 3680, 3681, 3691, 3692, 3700, 3703, 3705, 3706, 3708, 3709, 3728, 3732, 3739, 3740, 3749, 3750, 3751, 3756, 3772, 3781, 3787, 3881, 3883, 3913, 3925, 3955, 3999, 4079, 4236, 4330, 4469, 4515, 4819]"
COc1ccc2c3CCNCc3[nH]c2c1,0,10000.0,"[296, 340, 382, 466, 475, 668, 676, 1644, 2036, 2546, 2666, 2974, 3053, 3065, 3077, 3223, 3477, 3489, 3522, 3563, 3674, 3749, 3772, 3881, 3925, 3955, 3999, 4079, 4330]"
COc1cc(CCNCCc2ccc(O)c(O)c2)ccc1OCCCc1ccccc1,1,53.0,"[296, 340, 343, 374, 382, 412, 413, 443, 466, 475, 565, 592, 646, 668, 676, 781, 1147, 1563, 1644, 1652, 1770, 1772, 2546, 2666, 2711, 2713, 2948, 2974, 3223, 3558, 3559, 3590, 3639, 3679, 3680, 3681, 3703, 3743, 3749, 3772, 3781, 3787, 3881, 3925, 3955, 3999, 4004, 4005, 4079, 4330, 4769]"
CC[C@H](Cc1ccc(O)cc1)NC[C@H](O)c1cc(O)cc(O)c1,0,1270.0,"[0, 16, 296, 297, 299, 465, 466, 581, 668, 676, 677, 757, 1147, 1641, 1768, 1925, 1974, 2948, 2974, 3223, 3401, 3429, 3519, 3559, 3590, 3639, 3660, 3680, 3681, 3691, 3702, 3703, 3709, 3739, 3749, 3772, 3781, 3785, 3787, 3881, 3925, 3936, 3947, 3955, 4079, 4294, 4330, 4751, 4812]"
CCCC[C@H](C)NC[C@@H](O)c1cc(O)cc(O)c1,0,56234.13,"[0, 13, 16, 296, 297, 298, 299, 340, 343, 361, 381, 465, 466, 668, 676, 677, 682, 757, 1147, 1925, 1974, 2948, 2974, 3223, 3401, 3429, 3519, 3590, 3639, 3660, 3681, 3691, 3705, 3711, 3728, 3732, 3739, 3749, 3772, 3781, 3785, 3787, 3881, 3925, 3936, 3947, 3955, 4079, 4294, 4330, 4751, 4812]"
CCCCN1CCC(COC(=O)c2cc(Cl)c(N)c3OCCOc23)CC1,0,1000.0,"[0, 231, 296, 297, 340, 343, 361, 381, 437, 443, 465, 604, 619, 637, 646, 653, 668, 1145, 1192, 1932, 2258, 2261, 2546, 2563, 2591, 2672, 2974, 3024, 3156, 3189, 3223, 3368, 3398, 3399, 3549, 3584, 3590, 3605, 3639, 3658, 3659, 3691, 3705, 3728, 3732, 3736, 3737, 3739, 3740, 3743, 3745, 3749, 3750, 3751, 3756, 3772, 3781, 3787, 3788, 3805, 3820, 3863, 3868, 3881, 3883, 3914, 3925, 3955, 3956, 3970, 3996, 3999, 4004, 4005, 4079, 4242, 4244, 4259, 4266, 4267, 4330, 4644, 4649, 4694, 4728, 4731, 4746, 4762, 4769, 4812, 4828]"
COc1ccccc1OCCNC[C@@H](O)Cc1ccc(O)c(O)c1,0,740.0,"[0, 16, 296, 297, 299, 325, 326, 340, 382, 443, 466, 475, 646, 668, 676, 757, 785, 1147, 1565, 1587, 1644, 1652, 1770, 1772, 2546, 2666, 2694, 2701, 2948, 2974, 3223, 3407, 3433, 3558, 3559, 3590, 3639, 3679, 3680, 3681, 3702, 3703, 3739, 3749, 3772, 3781, 3785, 3787, 3881, 3925, 3945, 3947, 3955, 3999, 4004, 4005, 4079, 4294, 4330, 4769, 4819, 4826]"
Cl.NCC1CC1c1cc(F)c(F)cc1OCC=C,0,807.0,"[0, 137, 200, 296, 297, 338, 492, 646, 1145, 1930, 2259, 2546, 2575, 2974, 2985, 3057, 3061, 3223, 3368, 3381, 3395, 3439, 3547, 3585, 3605, 3639, 3681, 3691, 3703, 3709, 3732, 3739, 3749, 3787, 3820, 3881, 3955, 3999, 4031, 4066, 4079, 4330, 4733, 4809]"
COC(=O)COc1ccc(C[C@@H](C)NC[C@H](O)c2cccc(Cl)c2)cc1,1,3.2,"[0, 13, 16, 296, 297, 298, 299, 466, 503, 556, 561, 581, 591, 646, 668, 676, 677, 682, 757, 1147, 1192, 1523, 1590, 1615, 1641, 2258, 2546, 2597, 2659, 2661, 2666, 2672, 2710, 2948, 2974, 3024, 3223, 3327, 3401, 3429, 3454, 3559, 3584, 3639, 3680, 3681, 3702, 3703, 3749, 3772, 3781, 3785, 3787, 3788, 3820, 3868, 3881, 3925, 3936, 3947, 3955, 3956, 3958, 3966, 3970, 3999, 4079, 4294, 4330, 4694, 4802, 4810, 4812, 4828]"
