"SMILES", "Ki"
"COc1ccc2occ3CC[C@@H](CN)c1c23","860.0"
"CN1CCc2cccc-3c2[C@H]1Cc1cccc(C)c-31","14.4"
"CN(C)[C@@H]1Cc2cccc3nc(O)n(C1)c23","92.0"
"CCCN1CCC2[C@@H]1CCc1cccc(C(N)=O)c21","17.0"
"Fc1ccc(cc1)-n1cc(C2CCN(CCN3CCNC3=O)CC2)c2cc(ccc12)-c1cccnc1","13.0"
"C(COc1cccc2[nH]ccc12)CN1C2CCC1C=C(C2)c1c[nH]c2ccccc12","49.0"
"O[C@H](COc1cccc2[nH]ccc12)CN1C2CCC1C=C(C2)c1ccc2ccccc2c1","173.2"
"CN1CCCC[C@H]1CCN1c2ccccc2Sc2ccc(cc12)[S+](C)[O-]","349.0"
"CC1CN(CCN1CCCCN1C(=O)CC(C)(C)CC1=O)c1ccc2ccccc2n1","15.0"
"Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl","30.0"
"O=S(=O)(N1CCCCC[C@H]1CCN1CCN(CC1)c1cccc2sccc12)c1cccc2ncccc12","12.0"
"O=S(=O)(N1CC[C@@H]1CCN1CCN(CC1)c1cccc2sccc12)c1cccc2ncccc12","9.0"
"O=S(=O)(N1CCCCC[C@H]1CCN1CCN(CC1)c1nsc2ccccc12)c1cccc2ncccc12","48.0"
"O=S(=O)(N1CCC[C@H]1CCN1CCN(CC1)c1cccc2sccc12)c1cccc2cnccc12","10.0"
"Clc1cccc(OCCN2CCC(CC2)NS(=O)(=O)c2ccccc2)c1","1637.0"
"O=C1NCN(c2ccccc2)C11CCN(CCCCc2nc3ccccc3o2)CC1","380.19"
"COc1ccc2[nH]cc(C3=CCN(Cc4cccs4)CC3)c2c1","157.0"
"Cl.Fc1ccc(CCCCN2CCc3ccccc3C2)cc1","141.0"
"Fc1ccc(cc1)C(=O)CCCN1CCc2ccccc2C1","12.0"
"CC(C)Oc1ccc2[nH]cc(C3=CCN(Cc4ccccc4)CC3)c2c1","203.0"
"COc1ccccc1N1CCN(CC2COC3(CCCCC3)O2)CC1","5.129"
"O=C(NCc1ccccc1)N[C@H]1CC[C@H](CCN2CCN(CC2)c2nsc3ccccc23)CC1","5.3"
"O=C(NC1CCc2ccc(CCN3CCN(CC3)c3nsc4ccccc34)cc12)c1cccnc1","4.5"
"FC(F)(F)C(=O)NC1CCc2ccc(CCN3CCN(CC3)c3nsc4ccccc34)cc12","4.9"
"CN(CCNc1cc(Cl)ccc1Cl)CCN1C(=O)CC2(CCCC2)CC1=O","717.0"
"COc1cccc(OC)c1OCCNCC1(COCCO1)c1ccccc1","1000.0"
"COc1cccc(c1)N1CCN(CCCCCCN2C(=O)c3cccc4cccc(C2=O)c34)CC1","47.0"
