"SMILES", "Ki"
"NCCCNCCSP(O)(O)=O",
"CCc1cc2CC(Cc2cc1CC)NC[C@H](O)c1ccc(O)c2NC(=O)CCc12","45.0"
"CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1","570.0"
"NC(=O)C([C@@H]1CCN(CCc2ccc3OCCc3c2)C1)(c1ccccc1)c1ccccc1","15.9"
"CC(C(O)=O)c1cccc(c1)C(=O)c1ccccc1",
"C(Cc1ccccc1)N1CCCC1",
"Nc1ccc(cc1)S(=O)(=O)NC(=O)c1ccccc1",
"COC(=O)Nc1nc2cc(ccc2[nH]1)[S+]([O-])c1ccccc1",
"COc1ccc2c3CCNCc3[nH]c2c1","10000.0"
"COc1cc(CCNCCc2ccc(O)c(O)c2)ccc1OCCCc1ccccc1","53.0"
"CC[C@H](Cc1ccc(O)cc1)NC[C@H](O)c1cc(O)cc(O)c1","1270.0"
"C\\C(\\C=C\\C1=C(C)CCCC1(C)C)=C/C=C/C(C)=CC(O)=O",
"Oc1ccc(OCc2ccccc2)cc1",
"CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O",
"CCCC[C@H](C)NC[C@@H](O)c1cc(O)cc(O)c1","56234.13"
"CCCCN1CCC(COC(=O)c2cc(Cl)c(N)c3OCCOc23)CC1","1000.0"
"Cc1nccn1CC1CCc2c(C1=O)c1ccccc1n2C",
"COc1cc(cc(OC)c1OC)[C@H]1[C@@H]2[C@H](COC2=O)[C@@H](O)c2cc3OCOc3cc12",
"CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O",
"CCCOc1ccccc1-c1nc2[nH]nnc2c(=O)[nH]1",
"COc1ccccc1OCCNC[C@@H](O)Cc1ccc(O)c(O)c1","740.0"
"Cl.NCC1CC1c1cc(F)c(F)cc1OCC=C","807.0"
"CC1Nc2cc(Cl)c(cc2C(=O)N1c1ccccc1C)S(N)(=O)=O",
"COC(=O)COc1ccc(C[C@@H](C)NC[C@H](O)c2cccc(Cl)c2)cc1","3.2"
"CN1CCN(CC1)C(c1ccccc1)c1ccccc1",
"C(N1CCCC1)c1ccccc1",
"Cn1c2nc[nH]c2c(=O)n(C)c1=O",
"COc1ccc(cc1)[C@@H](Cc1ccccc1)NC[C@H](O)Cc1ccc(O)c(NS(C)(=O)=O)c1","3100.0"
"CS(=O)(=O)Nc1ccc(cc1Oc1ccccc1)[N+]([O-])=O",
"CN(C)C=O",
"COc1ccc2n(C)cc(CCN)c2c1","20400.0"
"C\\C1=C/CC[C@@]2(C)O[C@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1",
"COc1ccc(cc1OC)[C@H](Cc1ccccc1)NC[C@@H](O)Cc1ccc(O)c(NS(C)(=O)=O)c1","24.0"
"CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C",
"CC(N)Cc1c[nH]c2ccc(OCc3cccs3)cc12",
"COc1c(I)cc(CC2NCCc3nc(N)sc23)cc1I","426.58"
"CS(=O)(=O)Nc1cc(ccc1O)[C@@H](O)CNCC1CCN(CC1)S(=O)(=O)c1ccc(cc1)-n1cc(CC(O)=O)c2ccccc12","180.0"
