"SMILES", "Ki"
"OC(=O)CCCCCN1CCC(CNC(=O)c2c3OCCCn3c3ccccc23)CC1","10000.0"
"OC=O.O=C(N1CCN(C(=O)C1)c1ccc(OC2CCN(CC2)C2CCCC2)cc1)c1ccc(cc1)C#N","2511.89"
"C[C@@H]1C[C@@H](C)N1C(=O)[C@H]1CN(C)C2Cc3c[nH]c4cccc(C2=C1)c34","1400.0"
"CN(C)CCCNc1c2CCCCCc2nc2ccccc12","7696.0"
"Fc1cccc(CCN2CCCC2)c1",
"CCCCCC(=O)c1ccc(OCCCN2CCN(CC2)C(=O)[C@H](NC(=O)OC(C)(C)C)C(C)C)cc1","3311.31"
"OC(=O)C1CC(C1)N1CCN(CC1)C1=Cc2ccccc2Cn2ccnc12","12.59"
"Clc1ccc2c(CCc3cccnc3C2=C2CCN(CC2)C2CCCC2)c1","3.981"
"Cl.CC(C)N1CCC(CC1)Oc1ccc(cc1)N1CCN(CC1=O)C(=O)c1ccc(F)cc1","2511.89"
"CCOC(=O)C1=C(C)NC(C)=C(C1c1ccccc1\\C=C\\C(=O)OC(C)(C)C)C(=O)OCC",
"ClCC(Cl)Cl",
"Clc1ccc(cc1)N1CCCN(Cc2nc3ccccc3s2)CC1",
"Fc1ccc(OCCCN2CCCN(CC2)c2ccc(Cl)cc2)cc1","509.0"
"Cc1ncoc1-c1nnc(SCCCN2CCc3ccc4oc(nc4c3CC2)C(C)(F)F)n1C","1584.89"
"OC1(C[C@@H]2CC[C@H](C1)N2CCCCC(=O)c1nc2ccccc2s1)c1ccc(Cl)cc1",
"Cc1ccc2c(cccc2n1)-c1nnc(SCCCCN2CCc3cc4nc(oc4c(Br)c3CC2)C(F)(F)F)n1C","1258.93"
"CC[C@H](N)C(=O)N1CCN(CCCOc2ccc(cc2)C(=O)C2CC2)CC1","4677.35"
"Cc1c(Cl)c(Cl)ccc1OC1CCN(CC2CCN(CC2)[C@@H](Cc2ccc(F)cc2)C(O)=O)CC1","31.62"
"OC(=O)[C@H](Cc1cccc(c1)C(F)(F)F)N1CCC(CN2CCC(CC2)Oc2ccc(Cl)c(Cl)c2)CC1","158.49"
"OC(=O)[C@H](N1CCC(CN2CCC(CC2)Oc2ccc(Cl)c(Cl)c2)CC1)c1ccccc1","100.0"
"Cl.OC1(CC2CCC(C1)N2CCCCC(=O)c1nc2ccccc2s1)c1ccc(Cl)cc1","1028.0"
"O=C1NCN(c2ccccc2)C11CCN(CCCCc2nc3ccccc3o2)CC1","535.0"
"Cc1ccc2c(cccc2n1)-c1nnc(SCCCN2CCc3cc4nc(oc4cc3CC2)C(C)(C)C)n1C","5011.87"
"S=C(NC1CCCCC1)N1CCC(CC1)c1cnc[nH]1","10000.0"
"COc1nccnc1CC1=C(CCN(C)C)Cc2cc(Cl)ccc12","1.5"
"OC(=O)COc1cccc(c1)N1CCC(CN2CCC(CC2)Oc2ccc(Cl)c(Cl)c2)CC1","5.012"
"C[C@@H]1O[C@@H](O[C@H]2CC[C@]3(C)[C@H]4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CCC3=C2)c2ccc(=O)oc2)[C@H](O)[C@H](O)[C@H]1O",
"CC(CN1c2ccccc2Sc2ccccc12)N(C)C","0.334"
"NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C(Cl)Cl)cc1Cl",
"COc1cc2nc(nc(N)c2cc1OC)N1CCN(CC1)C(=O)C1CCCO1",
"NCC(c1ccccc1)c1ccccc1","10000.0"
"COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C",
"CCOC(=O)N1CCN(CCCOc2ccc(cc2)C(=O)c2ccc(OC)cc2)CC1","812.83"
"O=C1C[C@@H]2OCC=C3CN4CC[C@@]56[C@@H]4C[C@@H]3[C@@H]2[C@@H]5N1c1ccccc61",
"Cc1oc(nc1CN1CCN(CC1)[C@@H]1CCc2ccccc2C1)-c1ccco1","125.0"
"Fc1ccccc1N1CCN(CCCNc2cncc(Cl)n2)CC1","134.0"
"Cc1cccc(c1)N1CCN(CCNc2cncc(Cl)n2)CC1","2455.0"
"Fc1ccc(cc1)N1CCN(CCNc2cncc(Cl)n2)CC1","302.0"
"Cn1cc(nn1)-c1ccc2n(cc(C3CCN(CCN4CCNC4=O)CC3)c2c1)-c1ccc(F)cc1","1500.0"
"Cc1ccc2c(cccc2n1)-c1nnc(SCCCN2CCc3ccc4oc(nc4c3CC2)C(F)(F)F)n1C","501.19"
"Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1",
"Clc1cc2NC(=O)Cc2cc1CCN1CCN(CC1)c1nsc2ccccc12","5.3"
"OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ncc(=O)[nH]c1=O",
"CSc1ccc(\\C=C2\\C(C)=C(CC(O)=O)c3cc(F)ccc23)cc1",
"Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1",
"O[C@@H](COC[C@@H]1CCCO1)CN1CCN(CC1)c1ccccc1F","4241.0"
"CO[C@@H]1CCCN(Cc2nc(oc2C)-c2cccc(Oc3ccccc3)c2)C1","3265.0"
"Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1",
"N#C\\N=C(\\NCCOc1ccccc1)NC[C@H]1CC[C@@H](C1)c1c[nH]cn1","10000.0"
"Cc1ncoc1-c1nnc(SCCCN2CCc3cc4nc(oc4cc3CC2)C(C)(F)F)n1C","1995.26"
"CNC(=O)c1ccc(Oc2ccc3CCN(CCc3c2)C2CCC2)nc1","2511.89"
"CNC(=O)c1cnc(Oc2ccc3CCN(CCc3c2)C2CCC2)cn1","1584.89"
"O=C(CCCN1CCc2ccccc2C1)c1ccccc1","68.0"
"CN1CCC[C@@H]1Cn1nc(Cc2ccc(Cl)cc2)c2cccnc2c1=O","0.3548"
"COC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(CC2)C(c2ccc(F)cc2)c2ccc(F)cc2)cc1","5.01"
"Fc1ccc(cc1)S(=O)(=O)NC(=O)N1CCC(CC1)N1CCC(CC1)Oc1ccc(Cl)c(Cl)c1","50.12"
"Cc1cc(c(O)c(C)c1CC1=NCCN1)C(C)(C)C",
"COc1nccnc1[C@H](C)C1=C(CCN(C)C)Cc2cc(C)ccc12","2.7"
"COc1nccnc1[C@H](C)C1=C(CCN(C)C)Cc2cc(F)ccc12","0.7"
"NC(=O)N(O)CCC#Cc1ccc(CN2CCN(CC2)[C@H](c2ccccc2)c2ccc(Cl)cc2)o1","150.0"
"Cc1ncoc1-c1nnc(SCCCN2CCc3nc4cc(ccn4c3CC2)C(F)(F)F)n1C","3162.28"
"COc1ccc(CN(CCN(C)CC(C)Nc2ccc3[nH]c(cc3c2)C(=O)N2CCN(C)CC2)c2ccccn2)cc1","213.8"
"Cc1ccc2cc3c(ccc4ccccc34)c3CCc1c23",
"CC(C)NC(=O)NS(=O)(=O)c1cnccc1Nc1cccc(C)c1",
"C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C",
"CCN1CCN(CCCNC(=O)c2ccc(F)cc2Cl)CC1","10000.0"
"Cc1ncoc1-c1nnc(SCCCN2CCc3ccc4nc(oc4c3CC2)C(C)(F)F)n1C","1995.26"
"Oc1ccc(C=C(C#N)C#N)cc1O",
"Clc1ccc2c(CCc3cccnc3C2=C2CCN(Cc3ncccn3)CC2)c1","3.162"
"NC(CO)(CO)CO",
"CCN(CC)CC(=O)Nc1c(C)cccc1C",
"CCCN1CCO[C@@H](C1)c1cccc(O)c1","2000.0"
"CN1CCC(CC1)=C1c2ccccc2C=Cc2ccccc12","0.43"
"CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1",
"Clc1ccc2c(CCc3cccnc3C2=C2CCN(Cc3ccncn3)CC2)c1","5.012"
"N[C@H](CC1CCCCC1)C(=O)N1CCN(CCCOc2ccc(cc2)C(=O)C2CC2)CC1","14454.4"
"Fc1ccc(O[C@@H]([C@H]2CNCCO2)c2ccccc2)c(Cl)c1","10.0"
"Oc1c(I)cc(I)c2cccnc12",
"COc1cc(CN2C3C4C5C6C4C2(O)C2C6CC5C32)cc(OC)c1OC",
"CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O",
"Nc1nc(N)c2nc(c(N)nc2n1)-c1ccccc1",
"C[C@H](COc1ccc(cc1)-c1cn[nH]c(=O)c1)CN1CCC[C@H]1C","10000.0"
"O=C(OCCN1CCCC1)N1c2ccccc2Sc2ccccc12","29.0"
"CCCCCC(=O)c1ccc(OCCCN2CCN(CC2)C(=O)NCC)cc1","1584.89"
"Fc1ccc(cc1)C(=O)CCCN1CCc2ccccc2C1","86.3"
"NCCc1csc(Cc2ccccc2)n1","1.584893192461111E13"
"OC12C3C4C5C3C(C3C5CC4C13)N2CCCCc1ccccc1",
