"SMILES", "Ki"
"CCOc1ccccc1N1CCN(Cc2csc3ccccc23)CC1","219.0"
"Clc1cccc(N2CCCN(CCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl","8.3"
"Clc1cccc(N2CCN(C\\C=C\\CNC(=O)c3ccc-4c(Cc5ccccc-45)c3)CC2)c1Cl","168.0"
"CCCCn1cc(COc2ccc(CN3CCN(CC3)c3ccccc3OC)cc2OC)nn1","63.0"
"O=C1N(CCCCCCN2CCN(CC2)c2cccc3ccccc23)S(=O)(=O)c2ccccc12","8.0"
"CN1CCc2ccccc2Cc2[nH]c3ccccc3c2C[C@H]1CO","2923.0"
"Fc1ccc(F)c(c1)S(=O)(=O)NC1CCN(CCOc2ccccc2-c2ccccc2)C1","18.0"
"Clc1cccc(N2CCN(CCCCNC(=O)c3cc4ccccc4s3)CC2)c1Cl","64.7"
"C[Si](C)(C)C#Cc1cccn1C1CCN(Cc2ccccc2)CC1","4900.0"
"CN1CCc2cc(O)c(O)cc2C1Cc1ccccc1Br","286.0"
"Clc1cccc(C2CCN(CCCCOc3ccc4[nH]c(=O)[nH]c4c3)CC2)c1Cl","10.9"
"Clc1cccc(N2CCN(Cc3cccc(Oc4ccc5CCC(=O)Nc5c4)c3)CC2)c1Cl","113.0"
"Fc1ccc2[nH]cc(C3=CCN(CCCCN4C(=O)c5ccccc5C4=O)CC3)c2c1","3.162"
"COc1ccc2Cc3ccccc3CCN(C)CCCc2c1","25.0"
"CN[C@@H]1Cc2cccc3n(CCOCCOCCCCc4ccccc4)c(=O)n(C1)c23","111.0"
"O=C1N(CCCCCCN2CCN(CC2)c2ncccn2)S(=O)(=O)c2ccccc12","51.0"
"FC(F)(F)c1ccccc1N1CCN(CCCCCCN2C(=O)c3ccccc3S2(=O)=O)CC1","27.0"
"COc1ccccc1N1CCN(CCCCN2CCc3cc(ccc3C2=O)C#C)CC1","8.8"
"Clc1cc2NC(=O)Cc2cc1CCN1CCN(CC1)c1nsc2ccccc12","0.9"
"Clc1cccc(c1)N1CCN(CCCCCCN2C(=O)c3ccccc3S2(=O)=O)CC1","39.0"
"CN[C@@H]1Cc2cccc3n(CCCCCCCCCCCCOCCCCc4ccccc4)c(=O)n(C1)c23","124.0"
"O=C1CCc2ccc(OCCCCN3CCN(CC3)c3cccc4OCCOc34)nc2N1","0.45"
"CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2ccccc12",
"CNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1",
